868_131296_000000_000000	VII. Tea-Masters	seven. Tea Masters	true	22.14	24.07	21.831598
868_131296_000001_000000	In religion the Future is behind us.	In religion the Future is behind us.	true	25.82	28.12	20
868_131296_000001_000001	In art the present is the eternal. The tea-masters held that real appreciation of art is only possible to those who make of it a living influence.	In art the present is the eternal. The tea masters held that real appreciation of art is only possible to those who make of it a living influence.	false	28.58	38.59	21.049713
868_131296_000001_000002	Thus they sought to regulate their daily life by the high standard of refinement which obtained in the tea-room.	Thus they sought to regulate their daily life by the high standard of refinement which obtained in the tea room.	true	39.59	45.1	18
868_131296_000001_000003	In all circumstances serenity of mind should be maintained, and conversation should be conducted as never to mar the harmony of the surroundings.	In all circumstances serenity of mind should be maintained, and conversation should be conducted as never to mar the harmony of the surroundings.	false	46.19	56.5	18.70037
868_131296_000001_000004	The cut and color of the dress, the poise of the body, and the manner of walking could all be made expressions of artistic personality.	The cut and color of the dress, the poise of the body, and the manner of walking could all be made expressions of artistic personality.	true	57.17	65.35	20.873613
868_131296_000001_000005	These were matters not to be lightly ignored, for until one has made himself beautiful he has no right to approach beauty. Thus the tea-master strove to be something more than the artist,--art itself.	These were matters not to be lightly ignored, for until one has made himself beautiful he has no right to approach beauty. Thus the tea master strove to be something more than the artist,--art itself.	true	65.96	78.73	20.967657
868_131296_000001_000006	It was the Zen of aestheticism.	It was the Zen of aestheticism.	true	79.4	81.67	19.470535
868_131296_000001_000007	Perfection is everywhere if we only choose to recognise it.	Perfection is everywhere if we only choose to recognise it.	false	81.89	85.39	21.289417
868_131296_000001_000008	Rikiu loved to quote an old poem which says: "To those who long only for flowers, fain would I show the full-blown spring which abides in the toiling buds of snow-covered hills."	Rikiu loved to quote an old poem which says: "To those who long only for flowers, fain would I show the full blown spring which abides in the toiling buds of snow covered hills."	true	86.12	97.57	20.384836
868_131296_000002_000000	Manifold indeed have been the contributions of the tea-masters to art. They completely revolutionised the classical architecture and interior decorations, and established the new style which we have described in the chapter of the tea-room, a style to whose influence even the palaces and monasteries built after the sixteenth century have all been subject. The many-sided Kobori-Enshiu has left notable examples of his genius in the Imperial villa of Katsura, the castles of Nagoya and Nijo, and the monastery of Kohoan.	Manifold indeed have been the contributions of the tea masters to art. They completely revolutionised the classical architecture and interior decorations, and established the new style which we have described in the chapter of the tea room, a style to whose influence even the palaces and monasteries built after the sixteenth century have all been subject. The many sided Kobori Enshiu has left notable examples of his genius in the Imperial villa of Katsura, the castles of Nagoya and Nijo, and the monastery of Kohoan.	false	99.53	132.87	20.063198
868_131296_000002_000001	All the celebrated gardens of Japan were laid out by the tea-masters.	All the celebrated gardens of Japan were laid out by the tea masters.	true	132.87	136.45	16
868_131296_000002_000002	Our pottery would probably never have attained its high quality of excellence if the tea-masters had not lent it to their inspiration, the manufacture of the utensils used in the tea-ceremony calling forth the utmost expenditure of ingenuity on the parts of our ceramists.	Our pottery would probably never have attained its high quality of excellence if the tea masters had not lent it to their inspiration, the manufacture of the utensils used in the tea ceremony calling forth the utmost expenditure of ingenuity on the parts of our ceramists.	false	136.76	153.82	20.503
868_131296_000002_000003	The Seven Kilns of Enshiu are well known to all students of Japanese pottery.	The Seven Kilns of Enshiu are well known to all students of Japanese pottery.	true	154.67	159.46	21.35909
868_131296_000002_000004	Many of our textile fabrics bear the names of tea-masters who conceived their color or design.	Many of our textile fabrics bear the names of tea masters who conceived their color or design.	true	160.01	164.95	21
868_131296_000002_000005	It is impossible, indeed, to find any department of art in which the tea-masters have not left marks of their genius.	It is impossible, indeed, to find any department of art in which the tea masters have not left marks of their genius.	false	165.5	172.81	20
868_131296_000002_000006	In painting and lacquer it seems almost superfluous to mention the immense services they have rendered.	In painting and lacquer it seems almost superfluous to mention the immense services they have rendered.	true	174.35	179.17	18
868_131296_000002_000007	One of the greatest schools of painting owes its origin to the tea-master Honnami-Koyetsu, famed also as a lacquer artist and potter.	One of the greatest schools of painting owes its origin to the tea master Honnami Koyetsu, famed also as a lacquer artist and potter.	true	179.63	187.63	21
868_131296_000002_000008	Beside his works, the splendid creation of his grandson, Koho, and of his grand-nephews, Korin and Kenzan, almost fall into the shade.	Beside his works, the splendid creation of his grandson, Koho, and of his grand nephews, Korin and Kenzan, almost fall into the shade.	false	188.21	197.11	22.384888
868_131296_000002_000009	The whole Korin school, as it is generally designated, is an expression of Teaism. In the broad lines of this school we seem to find the vitality of nature herself.	The whole Korin school, as it is generally designated, is an expression of Teaism. In the broad lines of this school we seem to find the vitality of nature herself.	true	197.33	207.67	20.096313
868_131296_000003_000000	Great as has been the influence of the tea-masters in the field of art, it is as nothing compared to that which they have exerted on the conduct of life.	Great as has been the influence of the tea masters in the field of art, it is as nothing compared to that which they have exerted on the conduct of life.	true	208.55	218.47	20.912203
868_131296_000003_000001	Not only in the usages of polite society, but also in the arrangement of all our domestic details, do we feel the presence of the tea-masters.	Not only in the usages of polite society, but also in the arrangement of all our domestic details, do we feel the presence of the tea masters.	true	218.69	226.96	19.495941
868_131296_000003_000002	Many of our delicate dishes, as well as our way of serving food, are their inventions.	Many of our delicate dishes, as well as our way of serving food, are their inventions.	true	227.39	232	20
868_131296_000003_000003	They have taught us to dress only in garments of sober colors.	They have taught us to dress only in garments of sober colors.	true	233.36	236.53	15
868_131296_000003_000004	They have instructed us in the proper spirit in which to approach flowers.	They have instructed us in the proper spirit in which to approach flowers.	true	236.93	240.7	20
868_131296_000003_000005	They have given emphasis to our natural love of simplicity, and shown us the beauty of humility.	They have given emphasis to our natural love of simplicity, and shown us the beauty of humility.	true	241.1	246.97	21.077404
868_131296_000003_000006	In fact, through their teachings tea has entered the life of the people.	In fact, through their teachings tea has entered the life of the people.	false	247.34	252.81	19.994549
868_131296_000004_000000	Those of us who know not the secret of properly regulating our own existence on this tumultuous sea of foolish troubles which we call life are constantly in a state of misery while vainly trying to appear happy and contented.	Those of us who know not the secret of properly regulating our own existence on this tumultuous sea of foolish troubles which we call life are constantly in a state of misery while vainly trying to appear happy and contented.	false	252.81	265.5	19.257277
868_131296_000004_000001	We stagger in the attempt to keep our moral equilibrium, and see forerunners of the tempest in every cloud that floats on the horizon.	We stagger in the attempt to keep our moral equilibrium, and see forerunners of the tempest in every cloud that floats on the horizon.	true	265.5	273.1	20
868_131296_000004_000002	Yet there is joy and beauty in the roll of billows as they sweep outward toward eternity.	Yet there is joy and beauty in the roll of billows as they sweep outward toward eternity.	false	273.35	277.81	19
868_131296_000004_000003	Why not enter into their spirit, or, like Liehtse, ride upon the hurricane itself?	Why not enter into their spirit, or, like Liehtse, ride upon the hurricane itself?	false	278.24	283	19.789707
