868_131296_000000_000000	VII. Tea-Masters	seven. Tea Masters
868_131296_000001_000000	In religion the Future is behind us.	In religion the Future is behind us.
868_131296_000001_000004	The cut and color of the dress, the poise of the body, and the manner of walking could all be made expressions of artistic personality.	The cut and color of the dress, the poise of the body, and the manner of walking could all be made expressions of artistic personality.
868_131296_000001_000005	These were matters not to be lightly ignored, for until one has made himself beautiful he has no right to approach beauty. Thus the tea-master strove to be something more than the artist,--art itself.	These were matters not to be lightly ignored, for until one has made himself beautiful he has no right to approach beauty. Thus the tea master strove to be something more than the artist,--art itself.
868_131296_000001_000008	Rikiu loved to quote an old poem which says: "To those who long only for flowers, fain would I show the full-blown spring which abides in the toiling buds of snow-covered hills."	Rikiu loved to quote an old poem which says: "To those who long only for flowers, fain would I show the full blown spring which abides in the toiling buds of snow covered hills."
868_131296_000002_000003	The Seven Kilns of Enshiu are well known to all students of Japanese pottery.	The Seven Kilns of Enshiu are well known to all students of Japanese pottery.
868_131296_000002_000004	Many of our textile fabrics bear the names of tea-masters who conceived their color or design.	Many of our textile fabrics bear the names of tea masters who conceived their color or design.
868_131296_000002_000007	One of the greatest schools of painting owes its origin to the tea-master Honnami-Koyetsu, famed also as a lacquer artist and potter.	One of the greatest schools of painting owes its origin to the tea master Honnami Koyetsu, famed also as a lacquer artist and potter.
868_131296_000002_000009	The whole Korin school, as it is generally designated, is an expression of Teaism. In the broad lines of this school we seem to find the vitality of nature herself.	The whole Korin school, as it is generally designated, is an expression of Teaism. In the broad lines of this school we seem to find the vitality of nature herself.
868_131296_000003_000000	Great as has been the influence of the tea-masters in the field of art, it is as nothing compared to that which they have exerted on the conduct of life.	Great as has been the influence of the tea masters in the field of art, it is as nothing compared to that which they have exerted on the conduct of life.
868_131296_000003_000002	Many of our delicate dishes, as well as our way of serving food, are their inventions.	Many of our delicate dishes, as well as our way of serving food, are their inventions.
868_131296_000003_000004	They have instructed us in the proper spirit in which to approach flowers.	They have instructed us in the proper spirit in which to approach flowers.
868_131296_000003_000005	They have given emphasis to our natural love of simplicity, and shown us the beauty of humility.	They have given emphasis to our natural love of simplicity, and shown us the beauty of humility.
868_131296_000004_000001	We stagger in the attempt to keep our moral equilibrium, and see forerunners of the tempest in every cloud that floats on the horizon.	We stagger in the attempt to keep our moral equilibrium, and see forerunners of the tempest in every cloud that floats on the horizon.
868_131296_000005_000001	The last moments of the great tea-masters were as full of exquisite refinement as had been their lives.	The last moments of the great tea masters were as full of exquisite refinement as had been their lives.
868_131296_000005_000002	Seeking always to be in harmony with the great rhythm of the universe, they were ever prepared to enter the unknown. The "Last Tea of Rikiu" will stand forth forever as the acme of tragic grandeur.	Seeking always to be in harmony with the great rhythm of the universe, they were ever prepared to enter the unknown. The "Last Tea of Rikiu" will stand forth forever as the acme of tragic grandeur.
868_131296_000006_000000	Long had been the friendship between Rikiu and the Taiko-Hideyoshi, and high the estimation in which the great warrior held the tea-master.	Long had been the friendship between Rikiu and the Taiko Hideyoshi, and high the estimation in which the great warrior held the tea master.
868_131296_000006_000001	But the friendship of a despot is ever a dangerous honour.	But the friendship of a despot is ever a dangerous honour.
868_131296_000006_000004	Taking advantage of the coldness which had for some time existed between the Taiko and Rikiu, the enemies of the latter accused him of being implicated in a conspiracy to poison the despot.	Taking advantage of the coldness which had for some time existed between the Taiko and Rikiu, the enemies of the latter accused him of being implicated in a conspiracy to poison the despot.
868_131296_000006_000005	It was whispered to Hideyoshi that the fatal potion was to be administered to him with a cup of the green beverage prepared by the tea-master.	It was whispered to Hideyoshi that the fatal potion was to be administered to him with a cup of the green beverage prepared by the tea master.
868_131296_000007_000000	On the day destined for his self-immolation, Rikiu invited his chief disciples to a last tea-ceremony.	On the day destined for his self immolation, Rikiu invited his chief disciples to a last tea ceremony.
868_131296_000007_000007	Soon the host enters the room.	Soon the host enters the room.
868_131296_000007_000012	"Never again shall this cup, polluted by the lips of misfortune, be used by man." He speaks, and breaks the vessel into fragments.	"Never again shall this cup, polluted by the lips of misfortune, be used by man." He speaks, and breaks the vessel into fragments.
868_131296_000008_000001	One only, the nearest and dearest, is requested to remain and witness the end.	One only, the nearest and dearest, is requested to remain and witness the end.
868_131296_000008_000002	Rikiu then removes his tea-gown and carefully folds it upon the mat, thereby disclosing the immaculate white death robe which it had hitherto concealed.	Rikiu then removes his tea gown and carefully folds it upon the mat, thereby disclosing the immaculate white death robe which it had hitherto concealed.
868_131296_000008_000003	Tenderly he gazes on the shining blade of the fatal dagger, and in exquisite verse thus addresses it:	Tenderly he gazes on the shining blade of the fatal dagger, and in exquisite verse thus addresses it:
