2427_154736_000003_000001	VILLARS TO EVELINA.	VILLARS TO EVELINA.
2427_154736_000003_000002	Berry Hill, Sept. 28th.	Berry Hill, september twenty eighth.
2427_154736_000004_000000	DEAD to the world, and equally insensible to its pleasures or its pains, I long since bad adieu to all joy, and defiance to all sorrow, but what should spring from my Evelina,-sole source, to me, of all earthly felicity.	DEAD to the world, and equally insensible to its pleasures or its pains, I long since bad adieu to all joy, and defiance to all sorrow, but what should spring from my Evelina,-sole source, to me, of all earthly felicity.
2427_154736_000005_000000	Alas, my child!-that innocence, the first, best gift of Heaven, should, of all others, be the blindest to its own danger,-the most exposed to treachery,-and the least able to defend itself, in a world where it is little known, less valued, and perpetually deceived!	Alas, my child!-that innocence, the first, best gift of Heaven, should, of all others, be the blindest to its own danger,-the most exposed to treachery,-and the least able to defend itself, in a world where it is little known, less valued, and perpetually deceived!
2427_154736_000006_000000	Would to Heaven you were here!-then, by degrees, and with gentleness, I might enter upon a subject too delicate for distant discussion.	Would to Heaven you were here!-then, by degrees, and with gentleness, I might enter upon a subject too delicate for distant discussion.
2427_154736_000007_000000	Hitherto I have forborne to speak with you upon the most important of all concerns, the state of your heart:-alas, I need no information!	Hitherto I have forborne to speak with you upon the most important of all concerns, the state of your heart:-alas, I need no information!
2427_154736_000007_000001	I have been silent, indeed, but I have not been blind.	I have been silent, indeed, but I have not been blind.
2427_154736_000008_000000	Long, and with the deepest regret, have I perceived the ascendancy which Lord Orville has gained upon your mind.-You will start at the mention of his name,-you will tremble every word you read;-I grieve to give pain to my gentle Evelina, but I dare not any longer spare her.	Long, and with the deepest regret, have I perceived the ascendancy which Lord Orville has gained upon your mind.-You will start at the mention of his name,-you will tremble every word you read;-I grieve to give pain to my gentle Evelina, but I dare not any longer spare her.
2427_154736_000009_000000	Your first meeting with Lord Orville was decisive.	Your first meeting with Lord Orville was decisive.
2427_154736_000010_000000	Young, animated, entirely off your guard, and thoughtless of consequences, Imagination took the reins; and Reason, slow-paced, though sure-footed, was unequal to the race of so eccentric and flighty a companion.	Young, animated, entirely off your guard, and thoughtless of consequences, Imagination took the reins; and Reason, slow paced, though sure footed, was unequal to the race of so eccentric and flighty a companion.
2427_154736_000010_000001	How rapid was then my Evelina's progress through those regions of fancy and passion whither her new guide conducted her!-She saw Lord Orville at a ball,-and he was the most amiable of men!	How rapid was then my Evelina's progress through those regions of fancy and passion whither her new guide conducted her!-She saw Lord Orville at a ball,-and he was the most amiable of men!
2427_154736_000010_000002	-She met him again at another,-and he had every virtue under Heaven!	-She met him again at another,-and he had every virtue under Heaven!
2427_154736_000012_000000	You flattered yourself that your partiality was the effect of esteem, founded upon a general love of merit, and a principle of justice; and your heart, which fell the sacrifice of your error, was totally gone ere you expected it was in danger.	You flattered yourself that your partiality was the effect of esteem, founded upon a general love of merit, and a principle of justice; and your heart, which fell the sacrifice of your error, was totally gone ere you expected it was in danger.
2427_154736_000014_000000	But, now, since you have again met, and have become more intimate than ever, all my hope from silence and seeming ignorance is at an end.	But, now, since you have again met, and have become more intimate than ever, all my hope from silence and seeming ignorance is at an end.
2427_154736_000015_000001	Make a noble effort for the recovery of your peace, which now, with sorrow I see it, depends wholly upon the presence of Lord Orville.	Make a noble effort for the recovery of your peace, which now, with sorrow I see it, depends wholly upon the presence of Lord Orville.
2427_154736_000015_000002	This effort may indeed be painful; but trust to my experience, when I assure you it is requisite.	This effort may indeed be painful; but trust to my experience, when I assure you it is requisite.
2427_154736_000016_000000	You must quit him!-his sight is baneful to your repose, his society is death to your future tranquillity!	You must quit him!-his sight is baneful to your repose, his society is death to your future tranquillity!
2427_154736_000016_000001	Believe me, my beloved child, my heart aches for your suffering, while it dictates its necessity.	Believe me, my beloved child, my heart aches for your suffering, while it dictates its necessity.
2427_154736_000017_000001	Your health, you tell me, is much mended:-Can you then consent to leave Bristol?-not abruptly, that I do not desire, but in a few days from the time you receive this?	Your health, you tell me, is much mended:-Can you then consent to leave Bristol?-not abruptly, that I do not desire, but in a few days from the time you receive this?
2427_154736_000017_000002	I will write to Mrs. Selwyn, and tell her how much I wish your return; and Mrs. Clinton can take sufficient care of you.	I will write to mrs Selwyn, and tell her how much I wish your return; and mrs Clinton can take sufficient care of you.
2427_154736_000018_000000	I have meditated upon every possible expedient that might tend to your happiness, ere I fixed upon exacting from you a compliance which I am convinced will be most painful to you; but I can satisfy myself in none.	I have meditated upon every possible expedient that might tend to your happiness, ere I fixed upon exacting from you a compliance which I am convinced will be most painful to you; but I can satisfy myself in none.
2427_154736_000018_000001	This will at least be safe; and as to success,-we must leave it to time.	This will at least be safe; and as to success,-we must leave it to time.
2427_154736_000019_000000	I am very glad to hear of Mr. Macartney's welfare.	I am very glad to hear of mr Macartney's welfare.
2427_154736_000020_000001	Heaven preserve and strengthen you!	Heaven preserve and strengthen you!
