2427_154736_000000_000000	But what will poor Mr. Macartney think of me?	But what will poor mr Macartney think of me?	false	0	4.17	18.743362
2427_154736_000000_000001	Happy as I am, I much regret the necessity I have been under of disappointing him.	Happy as I am, I much regret the necessity I have been under of disappointing him.	false	4.17	16.35	24.385042
2427_154736_000001_000000	Adieu, my dearest Sir.	Adieu, my dearest Sir.	false	16.35	21.435	22.331518
2427_154736_000002_000000	LETTER LXVII.	LETTER l x v i i.	false	21.435	23.505	19.358835
2427_154736_000003_000000	MR.	mr	true	23.505	23.82	5
2427_154736_000003_000001	VILLARS TO EVELINA.	VILLARS TO EVELINA.	true	23.82	25.9	24.209661
2427_154736_000003_000002	Berry Hill, Sept. 28th.	Berry Hill, september twenty eighth.	true	26.51	29.29	24.053606
2427_154736_000004_000000	DEAD to the world, and equally insensible to its pleasures or its pains, I long since bad adieu to all joy, and defiance to all sorrow, but what should spring from my Evelina,-sole source, to me, of all earthly felicity.	DEAD to the world, and equally insensible to its pleasures or its pains, I long since bad adieu to all joy, and defiance to all sorrow, but what should spring from my Evelina,-sole source, to me, of all earthly felicity.	true	30.41	45.94	22.826284
2427_154736_000004_000001	How strange, then, is it, that the letter in which she tells me she is the happiest of human beings, should give me most mortal inquietude!	How strange, then, is it, that the letter in which she tells me she is the happiest of human beings, should give me most mortal inquietude!	false	46.52	54.88	20.862411
2427_154736_000005_000000	Alas, my child!-that innocence, the first, best gift of Heaven, should, of all others, be the blindest to its own danger,-the most exposed to treachery,-and the least able to defend itself, in a world where it is little known, less valued, and perpetually deceived!	Alas, my child!-that innocence, the first, best gift of Heaven, should, of all others, be the blindest to its own danger,-the most exposed to treachery,-and the least able to defend itself, in a world where it is little known, less valued, and perpetually deceived!	true	55.43	74.62	23.125244
2427_154736_000006_000000	Would to Heaven you were here!-then, by degrees, and with gentleness, I might enter upon a subject too delicate for distant discussion.	Would to Heaven you were here!-then, by degrees, and with gentleness, I might enter upon a subject too delicate for distant discussion.	true	75.62	83.68	24.008183
2427_154736_000006_000001	Yet is it too interesting, and the situation too critical, to allow of delay.-Oh, my Evelina, your situation is critical indeed!-your peace of mind is at stake, and every chance for your future happiness may depend upon the conduct of the present moment.	Yet is it too interesting, and the situation too critical, to allow of delay.-Oh, my Evelina, your situation is critical indeed!-your peace of mind is at stake, and every chance for your future happiness may depend upon the conduct of the present moment.	false	84.26	100.06	22.41608
2427_154736_000007_000000	Hitherto I have forborne to speak with you upon the most important of all concerns, the state of your heart:-alas, I need no information!	Hitherto I have forborne to speak with you upon the most important of all concerns, the state of your heart:-alas, I need no information!	true	101.15	110.89	23.9958
2427_154736_000007_000001	I have been silent, indeed, but I have not been blind.	I have been silent, indeed, but I have not been blind.	true	111.05	114.52	24.959387
2427_154736_000008_000000	Long, and with the deepest regret, have I perceived the ascendancy which Lord Orville has gained upon your mind.-You will start at the mention of his name,-you will tremble every word you read;-I grieve to give pain to my gentle Evelina, but I dare not any longer spare her.	Long, and with the deepest regret, have I perceived the ascendancy which Lord Orville has gained upon your mind.-You will start at the mention of his name,-you will tremble every word you read;-I grieve to give pain to my gentle Evelina, but I dare not any longer spare her.	true	115.97	133.93	21.45728
2427_154736_000009_000000	Your first meeting with Lord Orville was decisive.	Your first meeting with Lord Orville was decisive.	true	135.23	138.43	22.743792
2427_154736_000009_000001	Lively, fearless, free from all other impressions, such a man as you describe him could not fail of exciting your admiration; and the more dangerously, because he seemed as unconscious of his power as you of your weakness; and therefore you had no alarm, either from his vanity of your own prudence.	Lively, fearless, free from all other impressions, such a man as you describe him could not fail of exciting your admiration; and the more dangerously, because he seemed as unconscious of his power as you of your weakness; and therefore you had no alarm, either from his vanity of your own prudence.	false	138.89	160.15	21.612986
2427_154736_000010_000000	Young, animated, entirely off your guard, and thoughtless of consequences, Imagination took the reins; and Reason, slow-paced, though sure-footed, was unequal to the race of so eccentric and flighty a companion.	Young, animated, entirely off your guard, and thoughtless of consequences, Imagination took the reins; and Reason, slow paced, though sure footed, was unequal to the race of so eccentric and flighty a companion.	true	161.6	177.16	22.91406
2427_154736_000010_000001	How rapid was then my Evelina's progress through those regions of fancy and passion whither her new guide conducted her!-She saw Lord Orville at a ball,-and he was the most amiable of men!	How rapid was then my Evelina's progress through those regions of fancy and passion whither her new guide conducted her!-She saw Lord Orville at a ball,-and he was the most amiable of men!	true	177.8	190.99	22.240774
2427_154736_000010_000002	-She met him again at another,-and he had every virtue under Heaven!	-She met him again at another,-and he had every virtue under Heaven!	true	191.21	195.52	21.405369
2427_154736_000011_000000	I mean not to depreciate the merit of Lord Orville, who, one mysterious instance alone excepted, seems to have deserved the idea you formed of his character; but it was not time, it was not the knowledge of his worth, obtained your regard: your new comrade had not patience to wait any trial; her glowing pencil, dipt in the vivid colours of her creative ideas, painted to you, at the moment of your first acquaintance, all the excellencies, all the good and rare qualities, which a great length of time and intimacy could alone have really discovered.	I mean not to depreciate the merit of Lord Orville, who, one mysterious instance alone excepted, seems to have deserved the idea you formed of his character; but it was not time, it was not the knowledge of his worth, obtained your regard: your new comrade had not patience to wait any trial; her glowing pencil, d i p t in the vivid colours of her creative ideas, painted to you, at the moment of your first acquaintance, all the excellencies, all the good and rare qualities, which a great length of time and intimacy could alone have really discovered.	false	196.88	233.56	22.232498
2427_154736_000012_000000	You flattered yourself that your partiality was the effect of esteem, founded upon a general love of merit, and a principle of justice; and your heart, which fell the sacrifice of your error, was totally gone ere you expected it was in danger.	You flattered yourself that your partiality was the effect of esteem, founded upon a general love of merit, and a principle of justice; and your heart, which fell the sacrifice of your error, was totally gone ere you expected it was in danger.	true	234.95	250.66	23.775778
2427_154736_000013_000000	A thousand times have I been upon the point of showing you the perils of your situation; but the same inexperience which occasioned your mistake, I hoped, with the assistance of time and absence, would effect a cure: I was, indeed, most unwilling to destroy your illusion, while I dared hope it might itself contribute to the restoration of your tranquillity; since your ignorance of the danger, and force of your attachment, might possibly prevent that despondency with which young people, in similar circumstances, are apt to persuade themselves, that what is only difficult, is absolutely impossible.	A thousand times have I been upon the point of showing you the perils of your situation; but the same inexperience which occasioned your mistake, I hoped, with the assistance of time and absence, would effect a cure: I was, indeed, most unwilling to destroy your illusion, while I dared hope it might itself contribute to the restoration of your tranquillity; since your ignorance of the danger, and force of your attachment, might possibly prevent that despondency with which young people, in similar circumstances, are apt to persuade themselves, that what is only difficult, is absolutely impossible.	true	251.93	290.11	22.556984
2427_154736_000014_000000	But, now, since you have again met, and have become more intimate than ever, all my hope from silence and seeming ignorance is at an end.	But, now, since you have again met, and have become more intimate than ever, all my hope from silence and seeming ignorance is at an end.	true	291.74	300.13	21.995743
