5242_35926_000000_000000	"Let him be killed!" said the king.	"Let him be killed!" said the king.	false	0	1.41	21
5242_35926_000001_000000	"King!" cried Owen once more, "do this deed, and I tell you that before the sun is down great evil will overtake you."	"King!" cried Owen once more, "do this deed, and I tell you that before the sun is down great evil will overtake you."	false	1.41	5.7	17
5242_35926_000002_000000	"Do you threaten me, Messenger?	"Do you threaten me, Messenger?	false	5.7	6.15	10
5242_35926_000002_000001	Well, we will see.	Well, we will see.	false	6.15	6.42	0
5242_35926_000002_000002	Let him be killed, I say."	Let him be killed, I say."	false	6.42	6.84	-3
5242_35926_000003_000000	Then the man was led away; but, before he went he found time to thank Owen and Nodwengo the prince, and to call down good fortune upon them.	Then the man was led away; but, before he went he found time to thank Owen and Nodwengo the prince, and to call down good fortune upon them.	false	6.84	7.02	22
5242_35926_000004_000000	CHAPTER VI	CHAPTER six	false	7.02	7.02	
5242_35926_000005_000000	THE DRINKING OF THE CUP	THE DRINKING OF THE CUP	false	7.02	8.44	22
5242_35926_000006_000000	Now the king's word was done, the anger went out of his eyes, and once more his countenance grew weary.	Now the king's word was done, the anger went out of his eyes, and once more his countenance grew weary.	true	9.05	15.04	16
5242_35926_000006_000001	A command was issued, and, with the most perfect order, moving like one man, the regiments changed their array, forming up battalion upon battalion in face of the king, that they might give him the royal salute so soon as he had drunk the cup of the first-fruits.	A command was issued, and, with the most perfect order, moving like one man, the regiments changed their array, forming up battalion upon battalion in face of the king, that they might give him the royal salute so soon as he had drunk the cup of the first fruits.	true	15.35	29.74	16
5242_35926_000007_000000	A herald stood forward and cried:--	A herald stood forward and cried:--	true	30.05	32.17	23.788
5242_35926_000008_000000	"Hearken, you Sons of Fire!	"Hearken, you Sons of Fire!	true	32.3	34.365	21.096848
5242_35926_000008_000001	Hearken, you Children of Umsuka, Shaker of the Earth!	Hearken, you Children of Umsuka, Shaker of the Earth!	true	34.365	38.16	22.90712
5242_35926_000008_000002	Have any of you a boon to ask of the king?"	Have any of you a boon to ask of the king?"	true	38.16	40.84	18
5242_35926_000009_000000	Men stood forward, and having saluted, one by one asked this thing or that.	Men stood forward, and having saluted, one by one asked this thing or that.	true	41.27	45.94	16
5242_35926_000009_000001	The king heard their requests, and as he nodded or turned his head away, so they were granted or refused.	The king heard their requests, and as he nodded or turned his head away, so they were granted or refused.	true	46.43	52.81	19
5242_35926_000010_000000	When all had done, the Prince Hafela came forward, lifted his spear, and cried:--	When all had done, the Prince Hafela came forward, lifted his spear, and cried:--	true	53	57.675	20
5242_35926_000011_000000	"A boon, King!"	"A boon, King!"	true	57.675	59.17	20.7931
5242_35926_000012_000000	"What is it?" asked his father, eyeing him curiously.	"What is it?" asked his father, eyeing him curiously.	true	59.63	63.25	16
5242_35926_000013_000000	"A small matter, King," he replied.	"A small matter, King," he replied.	true	63.56	66.67	19.96887
5242_35926_000013_000001	"A while ago I named a certain woman, Noma, the ward of Hokosa the wizard, and she was sealed to me to fill the place of my first wife, the queen that is to be.	"A while ago I named a certain woman, Noma, the ward of Hokosa the wizard, and she was sealed to me to fill the place of my first wife, the queen that is to be.	true	66.77	78.22	20.02563
5242_35926_000013_000002	She passed into the House of the Royal Women, and, by your command, King, it was fixed that I should marry her according to our customs to-morrow, after the feast of the first-fruits is ended.	She passed into the House of the Royal Women, and, by your command, King, it was fixed that I should marry her according to our customs to morrow, after the feast of the first fruits is ended.	true	78.5	90.91	21.79499
5242_35926_000013_000003	King, my heart is changed towards that woman; I no longer desire to take her to wife, and I pray that you will order that she shall now be handed back to Hokosa her guardian."	King, my heart is changed towards that woman; I no longer desire to take her to wife, and I pray that you will order that she shall now be handed back to Hokosa her guardian."	true	91.1	102.19	22
5242_35926_000014_000000	"You blow hot and cold with the same mouth, Hafela," said Umsuka, "and in love or war I do not like such men.	"You blow hot and cold with the same mouth, Hafela," said Umsuka, "and in love or war one do not like such men.	false	102.92	112.15	19.248053
5242_35926_000014_000001	What have you to say to this demand, Hokosa?"	What have you to say to this demand, Hokosa?"	true	112.25	115.03	21.748495
5242_35926_000015_000000	Now Hokosa stepped forward from where he stood at the head of the company of wizards.	Now Hokosa stepped forward from where he stood at the head of the company of wizards.	true	115.25	119.53	17
