4222_12898_000000_000000	CHAPTER IV.	CHAPTER four.	false	2.61	9.18	24.40426
4222_12898_000001_000000	THE FIGHT AT LEXINGTON.	THE FIGHT AT LEXINGTON.	false	9.18	19.99	23.337818
4222_12898_000002_000000	Harold remained for four months longer with his cousin.	Harold remained for four months longer with his cousin.	true	21.02	23.95	20.414358
4222_12898_000002_000001	The Indians had made several attacks upon settlements at other points of the frontier, but they had not repeated their incursion in the neighborhood of the lake.	The Indians had made several attacks upon settlements at other points of the frontier, but they had not repeated their incursion in the neighborhood of the lake.	true	24.2	32.62	22.551323
4222_12898_000002_000002	The farming operations had gone on regularly, but the men always worked with their rifles ready to their hand.	The farming operations had gone on regularly, but the men always worked with their rifles ready to their hand.	true	33.08	39.52	24.398914
4222_12898_000002_000003	Pearson had predicted that the Indians were not likely to return to that neighborhood.	Pearson had predicted that the Indians were not likely to return to that neighborhood.	false	39.92	44.44	22.383392
4222_12898_000002_000004	Mr. Welch's farm was the only one along the lake that had escaped, and the loss the Indians had sustained in attacking it had been so heavy that they were not likely to make an expedition in that quarter, where the chances of booty were so small and the certainty of a desperate resistance so great.	mr Welch's farm was the only one along the lake that had escaped, and the loss the Indians had sustained in attacking it had been so heavy that they were not likely to make an expedition in that quarter, where the chances of booty were so small and the certainty of a desperate resistance so great.	true	44.75	62.47	23.113008
4222_12898_000003_000000	Other matters occurred which rendered the renewal of the attack improbable.	Other matters occurred which rendered the renewal of the attack improbable.	true	62.69	67.39	26.462606
4222_12898_000003_000001	The news was brought by a wandering hunter that a quarrel had arisen between the Shawnees and the Iroquois, and that the latter had recalled their braves from the frontier to defend their own villages in case of hostilities breaking out between them and the rival tribe.	The news was brought by a wandering hunter that a quarrel had arisen between the Shawnees and the Iroquois, and that the latter had recalled their braves from the frontier to defend their own villages in case of hostilities breaking out between them and the rival tribe.	true	67.67	82.87	23.775198
4222_12898_000004_000000	There was no occasion for Harold to wait for news from home, for his father had, before starting, definitely fixed the day for his return, and when that time approached Harold started on his eastward journey, in order to be at home about the date of their arrival.	There was no occasion for Harold to wait for news from home, for his father had, before starting, definitely fixed the day for his return, and when that time approached Harold started on his eastward journey, in order to be at home about the date of their arrival.	true	82.94	97.95	22.847858
4222_12898_000004_000001	Pearson took him in his canoe to the end of the lake and accompanied him to the settlement, whence he was able to obtain a conveyance to Detroit. Here he took a passage in a trading boat and made his way by water to Montreal, thence down through Lake Champlain and the Hudson River to New York, and thence to Boston.	Pearson took him in his canoe to the end of the lake and accompanied him to the settlement, whence he was able to obtain a conveyance to Detroit. Here he took a passage in a trading boat and made his way by water to Montreal, thence down through Lake Champlain and the Hudson River to New York, and thence to Boston.	false	97.95	117.55	21.656729
4222_12898_000005_000000	The journey had occupied him longer than he expected, and Mr. and Mrs. Wilson were already in their home at Concord when he arrived. The meeting was a joyful one.	The journey had occupied him longer than he expected, and mr and mrs Wilson were already in their home at Concord when he arrived. The meeting was a joyful one.	false	117.71	127.11	21.5211
4222_12898_000005_000001	His parents had upon their return home found letters from Mr. Welch and his wife describing the events which had happened at the farm, speaking in the highest terms of the courage and coolness in danger which Harold had displayed, and giving him full credit for the saving of their daughter's life.	His parents had upon their return home found letters from mr Welch and his wife describing the events which had happened at the farm, speaking in the highest terms of the courage and coolness in danger which Harold had displayed, and giving him full credit for the saving of their daughter's life.	false	127.11	144.64	21.872072
4222_12898_000006_000000	Upon the day after Harold's return two gentlemen called upon Captain Wilson and asked him to sign the agreement which a number of colonists had entered into to resist the mother country to the last. This Captain Wilson positively refused to do.	Upon the day after Harold's return two gentlemen called upon Captain Wilson and asked him to sign the agreement which a number of colonists had entered into to resist the mother country to the last. This Captain Wilson positively refused to do.	true	144.89	159.225	22.366714
4222_12898_000007_000000	"I am an Englishman," he said, "and my sympathies are wholly with my country.	"I am an Englishman," he said, "and my sympathies are wholly with my country.	true	159.225	163.6	20.816544
4222_12898_000007_000001	I do not say that the whole of the demands of England are justifiable.	I do not say that the whole of the demands of England are justifiable.	true	163.73	167.71	22.058685
4222_12898_000007_000002	I think that Parliament has been deceived as to the spirit existing here.	I think that Parliament has been deceived as to the spirit existing here.	false	167.99	172.18	21.616415
4222_12898_000007_000003	But I consider that it has done nothing whatever to justify the attitude of the colonists.	But I consider that it has done nothing whatever to justify the attitude of the colonists.	true	172.49	177.55	21.830198
4222_12898_000007_000004	The soldiers of England have fought for you against French and Indians and are still stationed here to protect you.	The soldiers of England have fought for you against French and Indians and are still stationed here to protect you.	true	178.01	184.09	20
