7145_87280_000002_000000	After we had all returned to Greenwich the princess and Brandon were together frequently.	After we had all returned to Greenwich the princess and Brandon were together frequently.
7145_87280_000002_000001	Upon several occasions he was invited, with others, to her parlor for card playing.	Upon several occasions he was invited, with others, to her parlor for card playing.
7145_87280_000002_000002	But we spent two evenings, with only four of us present, prior to the disastrous events which changed everything, and of which I am soon to tell you.	But we spent two evenings, with only four of us present, prior to the disastrous events which changed everything, and of which I am soon to tell you.
7145_87280_000002_000003	During these two evenings the "Sailor Lass" was in constant demand.	During these two evenings the "Sailor Lass" was in constant demand.
7145_87280_000003_000000	This pair, who should have remained apart, met constantly in and about the palace, and every glance added fuel to the flame.	This pair, who should have remained apart, met constantly in and about the palace, and every glance added fuel to the flame.
7145_87280_000003_000002	Notwithstanding these haughty moods, anyone with half an eye could see that the princess was gradually succumbing to the budding woman; that Brandon's stronger nature had dominated her with that half fear which every woman feels who loves a strong man--stronger than herself.	Notwithstanding these haughty moods, anyone with half an eye could see that the princess was gradually succumbing to the budding woman; that Brandon's stronger nature had dominated her with that half fear which every woman feels who loves a strong man-stronger than herself.
7145_87280_000004_000000	One day the rumor spread through the court that the old French king, Louis XII, whose wife, Anne of Brittany, had just died, had asked Mary's hand in marriage.	One day the rumor spread through the court that the old French king, Louis the twelfth, whose wife, Anne of Brittany, had just died, had asked Mary's hand in marriage.
7145_87280_000004_000003	This modern Ulysses made a masterful effort, but alas! had no ships to carry him away, and no wax with which to fill his ears.	This modern Ulysses made a masterful effort, but alas! had no ships to carry him away, and no wax with which to fill his ears.
7145_87280_000004_000005	Ships, too, are good, with masts to tie one's self to, and sails and rudder, and a gust of wind to waft one quickly past the island.	Ships, too, are good, with masts to tie one's self to, and sails and rudder, and a gust of wind to waft one quickly past the island.
7145_87280_000004_000006	In fact, one cannot take too many precautions when in those enchanted waters.	In fact, one cannot take too many precautions when in those enchanted waters.
7145_87280_000005_000000	Matters began to look dark to me.	Matters began to look dark to me.
7145_87280_000005_000002	In truth, it might, I hoped, die in the dawning, for my lady was as capricious as a May day; but it was love--love as plain as the sun at rising.	In truth, it might, I hoped, die in the dawning, for my lady was as capricious as a May day; but it was love-love as plain as the sun at rising.
7145_87280_000005_000003	She sought Brandon upon all occasions, and made opportunities to meet him; not openly--at any rate, not with Brandon's knowledge, nor with any connivance on his part, but apparently caring little what he or any one else might see.	She sought Brandon upon all occasions, and made opportunities to meet him; not openly-at any rate, not with Brandon's knowledge, nor with any connivance on his part, but apparently caring little what he or any one else might see.
7145_87280_000005_000004	Love lying in her heart had made her a little more shy than formerly in seeking him, but her straightforward way of taking whatever she wanted made her transparent little attempts at concealment very pathetic.	Love lying in her heart had made her a little more shy than formerly in seeking him, but her straightforward way of taking whatever she wanted made her transparent little attempts at concealment very pathetic.
7145_87280_000006_000001	But with Brandon's stronger nature the sun would go till noon and there would burn for life.	But with Brandon's stronger nature the sun would go till noon and there would burn for life.
7145_87280_000006_000002	The sun, however, had not reached its noon with Brandon, either; since he had set his brain against his heart, and had done what he could to stay the all-consuming orb at its dawning.	The sun, however, had not reached its noon with Brandon, either; since he had set his brain against his heart, and had done what he could to stay the all consuming orb at its dawning.
