1121_135824_000000_000000	"Danny didn't mention that he is a good swimmer and not at all afraid of the water.	"Danny didn't mention that he is a good swimmer and not at all afraid of the water.	false	3.99	9.36	19.799929
1121_135824_000000_000001	No one has more enemies than he, and the fact that he is alive and here at school this morning is due to his everlasting watchfulness.	No one has more enemies than he, and the fact that he is alive and here at school this morning is due to his everlasting watchfulness.	false	9.36	17.49	21.65086
1121_135824_000000_000002	This will do for to-day.	This will do for to day.	false	17.49	19.68	18.050879
1121_135824_000000_000003	To-morrow we will take up others of the Mouse family."	To morrow we will take up others of the Mouse family."	false	19.68	23.4	17
1121_135824_000001_000000	CHAPTER XVI Danny's Northern Cousins and Nimbleheels	CHAPTER sixteen Danny's Northern Cousins and Nimbleheels	false	23.4	33.39	19.058846
1121_135824_000002_000000	Whitefoot the Wood Mouse and Danny Meadow Mouse had become so interested that they decided they couldn't afford to miss the next lesson.	Whitefoot the Wood Mouse and Danny Meadow Mouse had become so interested that they decided they couldn't afford to miss the next lesson.	true	33.39	41.08	16
1121_135824_000002_000001	Neither did either of them feel like making the long journey to his home and back again.	Neither did either of them feel like making the long journey to his home and back again.	true	41.39	46.27	17
1121_135824_000002_000002	So Whitefoot found a hole in a stump near by and decided to camp out there for a few days.	So Whitefoot found a hole in a stump near by and decided to camp out there for a few days.	true	46.52	52.48	21
1121_135824_000002_000003	Danny decided to do the same thing in a comfortable place under a pile of brush not far away.	Danny decided to do the same thing in a comfortable place under a pile of brush not far away.	true	52.85	58.66	15
1121_135824_000002_000004	So the next morning both were on hand when school opened.	So the next morning both were on hand when school opened.	true	59.03	63.07	20
1121_135824_000003_000000	"I told you yesterday that I would tell you about some of Danny's cousins," began Old Mother Nature just as Chatterer the Red Squirrel, who was late, came hurrying up quite out of breath.	"I told you yesterday that I would tell you about some of Danny's cousins," began Old Mother Nature just as Chatterer the Red Squirrel, who was late, came hurrying up quite out of breath.	true	63.77	75.61	21
1121_135824_000003_000001	"Way up in the Far North are two of Danny's cousins more closely related to him than to any other members of the Mouse family.	"Way up in the Far North are two of Danny's cousins more closely related to him than to any other members of the Mouse family.	true	75.89	84.43	16
1121_135824_000003_000002	Yet, strange to say, they are not called Mice at all, but Lemmings.	Yet, strange to say, they are not called Mice at all, but Lemmings.	true	84.59	89.98	20
1121_135824_000003_000003	However, they belong to the Mouse family.	However, they belong to the Mouse family.	true	90.17	92.95	20.889692
1121_135824_000004_000000	"Bandy the Banded Lemming is the most interesting, because he is the one member of the entire family who changes the color of his coat.	"Bandy the Banded Lemming is the most interesting, because he is the one member of the entire family who changes the color of his coat.	true	93.53	102.16	13
1121_135824_000004_000001	In summer he wears beautiful shades of reddish brown and gray, but in winter his coat is wholly white.	In summer he wears beautiful shades of reddish brown and gray, but in winter his coat is wholly white.	true	102.5	109.75	15
