612_121760_000001_000000	CHAPTER XXIII	CHAPTER twenty three
612_121760_000002_000000	Knight-Errantry	Knight Errantry
612_121760_000003_000001	Indeed, I had great liberty with regard to her, and took her out for a trot and a gallop as often as I pleased.	Indeed, I had great liberty with regard to her, and took her out for a trot and a gallop as often as I pleased.
612_121760_000003_000003	I believe he was never quite without a hope that somehow or other he should find her again in the next world.	I believe he was never quite without a hope that somehow or other he should find her again in the next world.
612_121760_000003_000004	At all events I am certain that it was hard for him to believe that so much wise affection should have been created to be again uncreated.	At all events I am certain that it was hard for him to believe that so much wise affection should have been created to be again uncreated.
612_121760_000004_000002	It was a lovely night. A kind of grey peace filled earth and air and sky.	It was a lovely night. A kind of grey peace filled earth and air and sky.
612_121760_000004_000003	It was not dark, although rather cloudy; only a dim dusk, like a vapour of darkness, floated around everything.	It was not dark, although rather cloudy; only a dim dusk, like a vapour of darkness, floated around everything.
612_121760_000004_000004	I was fond of being out at night, but I had never before contemplated going so far alone.	I was fond of being out at night, but I had never before contemplated going so far alone.
612_121760_000004_000005	I should not, however, feel alone with Missy under me, for she and I were on the best of terms, although sometimes she would take a fit of obstinacy, and refuse to go in any other than the direction she pleased.	I should not, however, feel alone with Missy under me, for she and I were on the best of terms, although sometimes she would take a fit of obstinacy, and refuse to go in any other than the direction she pleased.
612_121760_000006_000001	Everything seemed thinking about me, but nothing would tell me what it thought.	Everything seemed thinking about me, but nothing would tell me what it thought.
612_121760_000006_000002	Not feeling, however, that I was doing wrong, I was only awed not frightened by the stillness.	Not feeling, however, that I was doing wrong, I was only awed not frightened by the stillness.
612_121760_000006_000003	I made Missy slacken her speed, and rode on more gently, in better harmony with the night.	I made Missy slacken her speed, and rode on more gently, in better harmony with the night.
612_121760_000006_000005	I did not like the noise she made, and got upon the grass, for here there was no fence.	I did not like the noise she made, and got upon the grass, for here there was no fence.
612_121760_000006_000008	She tore away over the field in quite another direction from that in which I had been taking her, and the gallop quickened until she was going at her utmost speed.	She tore away over the field in quite another direction from that in which I had been taking her, and the gallop quickened until she was going at her utmost speed.
612_121760_000006_000009	The rapidity of the motion and the darkness together--for it seemed darkness now--I confess made me frightened.	The rapidity of the motion and the darkness together-for it seemed darkness now-I confess made me frightened.
612_121760_000006_000011	In a minute I had lost my reckoning, and could not tell where I was in the field, which was a pretty large one; but soon finding that we were galloping down a hill so steep that I had trouble in retaining my seat, I began, not at all to my comfort, to surmise in what direction the mare was carrying me.	In a minute I had lost my reckoning, and could not tell where I was in the field, which was a pretty large one; but soon finding that we were galloping down a hill so steep that I had trouble in retaining my seat, I began, not at all to my comfort, to surmise in what direction the mare was carrying me.
612_121760_000006_000016	She avoided it, and galloped past, but bore me to a far more frightful goal, suddenly dropping into a canter, and then standing stock-still.	She avoided it, and galloped past, but bore me to a far more frightful goal, suddenly dropping into a canter, and then standing stock still.
612_121760_000007_000000	It was a cottage half in ruins, occupied by an old woman whom I dimly recollected having once gone with my father to see--a good many years ago, as it appeared to me now.	It was a cottage half in ruins, occupied by an old woman whom I dimly recollected having once gone with my father to see-a good many years ago, as it appeared to me now.
612_121760_000007_000001	She was still alive, however, very old, and bedridden.	She was still alive, however, very old, and bedridden.
612_121760_000007_000005	Now there is nothing particularly frightful about a pair of bellows, however large it may be, and yet the recollection of that huge structure of leather and wood, with the great iron nose projecting from the contracting cheeks of it, at the head of the old woman's bed, so capable yet so useless, did return upon me with terror in the dusk of that lonely night.	Now there is nothing particularly frightful about a pair of bellows, however large it may be, and yet the recollection of that huge structure of leather and wood, with the great iron nose projecting from the contracting cheeks of it, at the head of the old woman's bed, so capable yet so useless, did return upon me with terror in the dusk of that lonely night.
612_121760_000007_000007	If there was any truth in the story, it is easily accounted for by the fact that the poor old woman had been a little out of her mind for many years,--and no wonder, for she was nearly a hundred, they said.	If there was any truth in the story, it is easily accounted for by the fact that the poor old woman had been a little out of her mind for many years,--and no wonder, for she was nearly a hundred, they said.
612_121760_000007_000008	Neither is it any wonder that when Missy stopped almost suddenly, with her fore-feet and her neck stretched forward, and her nose pointed straight for the door of the cottage at a few yards' distance, I should have felt very queer indeed.	Neither is it any wonder that when Missy stopped almost suddenly, with her fore feet and her neck stretched forward, and her nose pointed straight for the door of the cottage at a few yards' distance, I should have felt very queer indeed.
612_121760_000007_000014	There she had to stop, for I had shut it when I brought her out.	There she had to stop, for I had shut it when I brought her out.
612_121760_000007_000015	It was mortifying to find myself there instead of under John Adam's hayloft, the rescuer of Jamie Duff.	It was mortifying to find myself there instead of under john Adam's hayloft, the rescuer of Jamie Duff.
612_121760_000007_000016	But I did not think of that for a while.	But I did not think of that for a while.
612_121760_000007_000017	Shaken with terror, and afraid to dismount and be next the ground, I called upon Andrew as well as my fear would permit; but my voice was nearly unmanageable, and I could do little more than howl with it.	Shaken with terror, and afraid to dismount and be next the ground, I called upon Andrew as well as my fear would permit; but my voice was nearly unmanageable, and I could do little more than howl with it.
612_121760_000008_000000	In a few minutes, to me a time of awful duration--for who could tell what might be following me up from the hollow?--Andrew appeared half-dressed, and not in the best of tempers, remarking it was an odd thing to go out riding when honest people were in their beds, except, he added, I meant to take to the highway.	In a few minutes, to me a time of awful duration-for who could tell what might be following me up from the hollow?--Andrew appeared half dressed, and not in the best of tempers, remarking it was an odd thing to go out riding when honest people were in their beds, except, he added, I meant to take to the highway.
612_121760_000008_000001	Thereupon, rendered more communicative by the trial I had gone through, I told him the whole story, what I had intended and how I had been frustrated.	Thereupon, rendered more communicative by the trial I had gone through, I told him the whole story, what I had intended and how I had been frustrated.
612_121760_000011_000002	It's all waste to be frightened before you know whether the thing is worth it."	It's all waste to be frightened before you know whether the thing is worth it."
612_121760_000012_000001	I was still seated on Missy.	I was still seated on Missy.
612_121760_000012_000002	To go home having done nothing for Jamie, and therefore nothing for Elsie, after all my grand ideas of rescue and restoration, was too mortifying.	To go home having done nothing for Jamie, and therefore nothing for Elsie, after all my grand ideas of rescue and restoration, was too mortifying.
612_121760_000012_000006	When he reappeared, I asked him:	When he reappeared, I asked him:
612_121760_000013_000000	"What do you think it could be, Andrew?"	"What do you think it could be, Andrew?"
612_121760_000014_000000	"How should I tell?" returned Andrew.	"How should I tell?" returned Andrew.
612_121760_000014_000001	"The old woman has a very queer cock, I know, that always roosts on the top of her bed, and crows like no cock I ever heard crow.	"The old woman has a very queer cock, I know, that always roosts on the top of her bed, and crows like no cock I ever heard crow.
612_121760_000016_000002	Thus armed, and mounted with my feet in the stirrups, and therefore a good pull on Missy's mouth, I found my courage once more equal to the task before me.	Thus armed, and mounted with my feet in the stirrups, and therefore a good pull on Missy's mouth, I found my courage once more equal to the task before me.
