2272_150674_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	false	7.95	10.21	21.012434
2272_150674_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	10.34	13.33	18
2272_150674_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	13.43	18.54	24.640749
2272_150674_000001_000000	DECLINE OF THE ROMAN EMPIRE ***	DECLINE OF THE ROMAN EMPIRE asterisk asterisk asterisk	false	18.54	19.23	25.321428
2272_150674_000002_000000	Produced by David Reed	Produced by David Reed	false	19.23	21.72	26.152695
2272_150674_000003_000000	HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE	HISTORY OF THE DECLINE AND FALL OF THE ROMAN EMPIRE	true	21.72	24.51	9
2272_150674_000004_000000	Edward Gibbon, Esq.	Edward Gibbon, e s q.	false	24.51	24.51	
2272_150674_000005_000000	With notes by the Rev.	With notes by the Rev.	false	24.51	24.51	
2272_150674_000005_000001	H. H. Milman	h h Milman	false	24.51	24.525	-20
2272_150674_000006_000000	Vol. 5	vol five	true	24.525	25.74	28.648184
2272_150674_000007_000000	Chapter XLIX: Conquest Of Italy By The Franks.--Part I.	Chapter forty nine: Conquest Of Italy By The Franks.--Part one	false	25.74	28.24	25.64093
2272_150674_000008_000000	Introduction, Worship, And Persecution Of Images.--Revolt Of Italy And Rome.--Temporal Dominion Of The Popes.--Conquest Of Italy By The Franks.--Establishment Of Images.--Character And Coronation Of Charlemagne.--Restoration And Decay Of The Roman Empire In The West.--Independence Of Italy.-- Constitution Of The Germanic Body.	Introduction, Worship, And Persecution Of Images.--Revolt Of Italy And Rome.--Temporal Dominion Of The Popes.--Conquest Of Italy By The Franks.--Establishment Of Images.--Character And Coronation Of Charlemagne.--Restoration And Decay Of The Roman Empire In The West.--Independence Of Italy.-- Constitution Of The Germanic Body.	false	28.67	52.54	20.98815
2272_150674_000009_000000	In the connection of the church and state, I have considered the former as subservient only, and relative, to the latter; a salutary maxim, if in fact, as well as in narrative, it had ever been held sacred.	In the connection of the church and state, I have considered the former as subservient only, and relative, to the latter; a salutary maxim, if in fact, as well as in narrative, it had ever been held sacred.	true	53	65.44	22.318207
2272_150674_000009_000001	The Oriental philosophy of the Gnostics, the dark abyss of predestination and grace, and the strange transformation of the Eucharist from the sign to the substance of Christ's body, [1] I have purposely abandoned to the curiosity of speculative divines.	The Oriental philosophy of the Gnostics, the dark abyss of predestination and grace, and the strange transformation of the Eucharist from the sign to the substance of Christ's body, [one] I have purposely abandoned to the curiosity of speculative divines.	false	65.87	80.23	18
