1226_141270_000001_000000	CHAPTER X.	CHAPTER ten
1226_141270_000006_000000	So he set a train of negotiations on foot for making a long truce with the Turks, not wishing to have two wars on his hands at the same time. When he had accomplished this object, he formed a league with the kingdoms of Poland and Denmark to make war upon Sweden.	So he set a train of negotiations on foot for making a long truce with the Turks, not wishing to have two wars on his hands at the same time. When he had accomplished this object, he formed a league with the kingdoms of Poland and Denmark to make war upon Sweden.
1226_141270_000006_000001	So exactly were all his plans laid, that the war with Sweden was declared on the very next day after the truce of the Turks was concluded.	So exactly were all his plans laid, that the war with Sweden was declared on the very next day after the truce of the Turks was concluded.
1226_141270_000007_000000	The King of Sweden at this time was Charles XII.	The King of Sweden at this time was Charles the twelfth.
1226_141270_000010_000000	Narva, as appears by the map, is situated on the sea-coast, near the frontier--much nearer than Riga.	Narva, as appears by the map, is situated on the sea coast, near the frontier-much nearer than Riga.
1226_141270_000010_000002	He also calculated that when Narva was in his hands the way would be open for him to advance on Riga.	He also calculated that when Narva was in his hands the way would be open for him to advance on Riga.
1226_141270_000010_000003	Indeed, at the same time while he was commencing the siege of Narva, his ally, the King of Poland, advanced from his own dominions to Riga, and was now prepared to attack that city at the same time that the Czar was besieging Narva.	Indeed, at the same time while he was commencing the siege of Narva, his ally, the King of Poland, advanced from his own dominions to Riga, and was now prepared to attack that city at the same time that the Czar was besieging Narva.
1226_141270_000011_000001	The only cause of quarrel which Peter pretended to have against the king was the uncivil treatment which he had received at the hands of the Governor of Riga in refusing to allow him to see the fortifications when he passed through that city on his tour.	The only cause of quarrel which peter pretended to have against the king was the uncivil treatment which he had received at the hands of the Governor of Riga in refusing to allow him to see the fortifications when he passed through that city on his tour.
1226_141270_000011_000003	Still, the negotiations had not been closed, and the government of Sweden had no idea that the misunderstanding would lead to war.	Still, the negotiations had not been closed, and the government of Sweden had no idea that the misunderstanding would lead to war.
1226_141270_000011_000006	The preparations were made with great dispatch, and the fleet sailed for Riga.	The preparations were made with great dispatch, and the fleet sailed for Riga.
1226_141270_000012_000000	The news, too, of this war occasioned great dissatisfaction among the governments of western Europe.	The news, too, of this war occasioned great dissatisfaction among the governments of western Europe.
1226_141270_000012_000001	The government of Holland was particularly displeased, on account of the interference and interruption which the war would occasion to all their commerce in the Baltic.	The government of Holland was particularly displeased, on account of the interference and interruption which the war would occasion to all their commerce in the Baltic.
1226_141270_000012_000004	Riga was a very important commercial port, and there were a great many wealthy Dutch merchants there, whose interests the Dutch government were very anxious to protect.	Riga was a very important commercial port, and there were a great many wealthy Dutch merchants there, whose interests the Dutch government were very anxious to protect.
1226_141270_000013_000001	Augustus, for that was the name of the King of Poland, finding that now, since so great a force had arrived to succor and strengthen the place, there was no hope for success in any of his operations against it, concluded to make a virtue of necessity, and so he drew off his army, and sent word to the Dutch government that he did so in compliance with their wishes.	Augustus, for that was the name of the King of Poland, finding that now, since so great a force had arrived to succor and strengthen the place, there was no hope for success in any of his operations against it, concluded to make a virtue of necessity, and so he drew off his army, and sent word to the Dutch government that he did so in compliance with their wishes.
1226_141270_000014_000000	The King of Sweden had, of course, nothing now to do but to advance from Riga to Narva and attack the army of the Czar.	The King of Sweden had, of course, nothing now to do but to advance from Riga to Narva and attack the army of the Czar.
1226_141270_000015_000003	The person whom the Czar had made commander-in-chief at the siege of Narva was a German officer.	The person whom the Czar had made commander in chief at the siege of Narva was a German officer.
1226_141270_000015_000004	His name was General Croy.	His name was General Croy.
1226_141270_000016_000000	General Croy had been many weeks before Narva at the time when the King of Sweden arrived at Riga, but he had made little progress in taking the town.	General Croy had been many weeks before Narva at the time when the King of Sweden arrived at Riga, but he had made little progress in taking the town.
1226_141270_000016_000001	The place was strongly fortified, and the garrison, though comparatively weak, defended it with great bravery.	The place was strongly fortified, and the garrison, though comparatively weak, defended it with great bravery.
1226_141270_000017_000001	Although his army was very much smaller than that of the Russians, he immediately set out on his march to Narva; but, instead of moving along the regular roads, and so falling into the ambuscade which the Russians had laid for him, he turned off into back and circuitous by-ways, so as to avoid the snare altogether.	Although his army was very much smaller than that of the Russians, he immediately set out on his march to Narva; but, instead of moving along the regular roads, and so falling into the ambuscade which the Russians had laid for him, he turned off into back and circuitous by ways, so as to avoid the snare altogether.
1226_141270_000017_000002	It was in the dead of winter, and the roads which he followed, besides being rough and intricate, were obstructed with snow, and the Russians had thought little of them, so that at last, when the Swedish army arrived at their advanced posts, they were taken entirely by surprise.	It was in the dead of winter, and the roads which he followed, besides being rough and intricate, were obstructed with snow, and the Russians had thought little of them, so that at last, when the Swedish army arrived at their advanced posts, they were taken entirely by surprise.
1226_141270_000017_000003	The advanced posts were driven in, and the Swedes pressed on, the Russians flying before them, and carrying confusion to the posts in the rear.	The advanced posts were driven in, and the Swedes pressed on, the Russians flying before them, and carrying confusion to the posts in the rear.
1226_141270_000017_000004	The surprise of the Russians, and the confusion consequent upon it, were greatly increased by the state of the weather; for there was a violent snow-storm at the time, and the snow, blowing into the Russians' faces, prevented their seeing what the numbers were of the enemy so suddenly assaulting them, or taking any effectual measures to restore their own ranks to order when once deranged.	The surprise of the Russians, and the confusion consequent upon it, were greatly increased by the state of the weather; for there was a violent snow storm at the time, and the snow, blowing into the Russians' faces, prevented their seeing what the numbers were of the enemy so suddenly assaulting them, or taking any effectual measures to restore their own ranks to order when once deranged.
1226_141270_000018_000000	When at length the Swedes, having thus driven in the advanced posts, reached the Russian camp itself, they immediately made an assault upon it.	When at length the Swedes, having thus driven in the advanced posts, reached the Russian camp itself, they immediately made an assault upon it.
1226_141270_000018_000001	The camp was defended by a rampart and by a double ditch, but on went the assaulting soldiers over all the obstacles, pushing their way with their bayonets, and carrying all before them.	The camp was defended by a rampart and by a double ditch, but on went the assaulting soldiers over all the obstacles, pushing their way with their bayonets, and carrying all before them.
1226_141270_000018_000002	The Russians were entirely defeated and put to flight.	The Russians were entirely defeated and put to flight.
1226_141270_000019_000001	Indeed, the officers do not wish to arrest them until it is sure that the enemy is so completely overwhelmed that their rallying again is utterly impossible.	Indeed, the officers do not wish to arrest them until it is sure that the enemy is so completely overwhelmed that their rallying again is utterly impossible.
1226_141270_000019_000002	In this case twenty thousand of the Russian soldiers were left dead upon the field.	In this case twenty thousand of the Russian soldiers were left dead upon the field.
1226_141270_000019_000003	The Swedes, on the other hand, lost only two or three thousand.	The Swedes, on the other hand, lost only two or three thousand.
1226_141270_000020_000000	Besides those who were killed, immense numbers were taken prisoners. General Croy, and all the other principal generals in command, were among the prisoners.	Besides those who were killed, immense numbers were taken prisoners. General Croy, and all the other principal generals in command, were among the prisoners.
1226_141270_000021_000000	The number of prisoners was so very great that it was not possible for the Swedes to retain them, on account of the expense and trouble of feeding them, and keeping them warm at that season of the year; so they determined to detain the officers only, and to send the men away.	The number of prisoners was so very great that it was not possible for the Swedes to retain them, on account of the expense and trouble of feeding them, and keeping them warm at that season of the year; so they determined to detain the officers only, and to send the men away.
1226_141270_000021_000002	They cut their clothes in such a manner that they could only be prevented from falling off by being held together by both hands; and the weather was so cold--the ground, moreover, being covered with snow--that the men could only save themselves from perishing by keeping their clothes around them.	They cut their clothes in such a manner that they could only be prevented from falling off by being held together by both hands; and the weather was so cold-the ground, moreover, being covered with snow-that the men could only save themselves from perishing by keeping their clothes around them.
1226_141270_000022_000000	In this pitiful plight the whole body of prisoners were driven off, like a flock of sheep, by a small body of Swedish soldiery, for a distance of about a league on the road toward Russia, and then left to find the rest of the way themselves.	In this pitiful plight the whole body of prisoners were driven off, like a flock of sheep, by a small body of Swedish soldiery, for a distance of about a league on the road toward Russia, and then left to find the rest of the way themselves.
1226_141270_000023_000001	He said that he expected to be beaten at first by the Swedes.	He said that he expected to be beaten at first by the Swedes.
1226_141270_000023_000002	"They have beaten us once," said he, "and they may beat us again; but they will teach us in time to beat them."	"They have beaten us once," said he, "and they may beat us again; but they will teach us in time to beat them."
1226_141270_000024_000001	He set about raising recruits in all parts of the empire.	He set about raising recruits in all parts of the empire.
