1226_141270_000000_000000	[1] 1858.	[one] eighteen fifty eight.	false	0	0.81	-1
1226_141270_000001_000000	CHAPTER X.	CHAPTER ten	true	0.81	1.74	21
1226_141270_000002_000000	THE BATTLE OF NARVA.	THE BATTLE OF NARVA.	false	1.74	2.31	20.53622
1226_141270_000003_000000	1700-1701	seventeen hundred to seventeen o one	false	2.31	2.61	19
1226_141270_000004_000000	Origin of the war with Sweden--Peace with the Turks--Charles XII--Siege of Narva--The frontier--Plan of the campaign--Indignation of the King of Sweden--Remonstrances of Holland and England--The King of Sweden at Riga--the Czar a subordinate--General Croy--His plans--Operations of the king--Surprise and defeat of the Russians--Terrible slaughter--Whimsical plan for disposing of the prisoners--Effect upon the Czar--New plans and arrangements	Origin of the war with Sweden-Peace with the Turks-Charles the twelfth-Siege of Narva-The frontier-Plan of the campaign-Indignation of the King of Sweden-Remonstrances of Holland and England-The King of Sweden at Riga-the Czar a subordinate-General Croy-His plans-Operations of the king-Surprise and defeat of the Russians-Terrible slaughter-Whimsical plan for disposing of the prisoners-Effect upon the Czar-New plans and arrangements	false	2.61	26.46	22.916422
1226_141270_000005_000000	The reader will perhaps recollect how desirous Peter had long been to extend his dominions toward the west, so as to have a sea-port under his control on the Baltic Sea; for, at the time when he succeeded to the throne, the eastern shores of the Baltic belonged to Poland and to Sweden, so that the Russians were confined, in a great measure, in their naval operations to the waters of the Black and Caspian Seas, and to the rivers flowing into them.	The reader will perhaps recollect how desirous peter had long been to extend his dominions toward the west, so as to have a sea port under his control on the Baltic Sea; for, at the time when he succeeded to the throne, the eastern shores of the Baltic belonged to Poland and to Sweden, so that the Russians were confined, in a great measure, in their naval operations to the waters of the Black and Caspian Seas, and to the rivers flowing into them.	false	26.46	54.33	19
1226_141270_000005_000001	You will also recollect that when, at the commencement of his tour, he arrived at the town of Riga, which stands at the head of the Gulf of Riga, a sort of branch of the Baltic, he had been much offended at the refusal of the governor of the place, acting under the orders of the King of Sweden, to allow him to view the fortifications there.	You will also recollect that when, at the commencement of his tour, he arrived at the town of Riga, which stands at the head of the Gulf of Riga, a sort of branch of the Baltic, he had been much offended at the refusal of the governor of the place, acting under the orders of the King of Sweden, to allow him to view the fortifications there.	false	54.33	73.57	22
1226_141270_000005_000002	He then resolved that Riga, and the whole province of which it was the capital, should one day be his.	He then resolved that Riga, and the whole province of which it was the capital, should one day be his.	true	73.76	79.21	16
1226_141270_000005_000003	The year after he returned from his travels--that is, in 1699, the country being by that time restored to its ordinary state of repose after the suppression of the rebellion--he concluded that the time had arrived for carrying his resolution into effect.	The year after he returned from his travels-that is, in sixteen ninety nine, the country being by that time restored to its ordinary state of repose after the suppression of the rebellion-he concluded that the time had arrived for carrying his resolution into effect.	false	79.76	96.73	21.689829
1226_141270_000006_000000	So he set a train of negotiations on foot for making a long truce with the Turks, not wishing to have two wars on his hands at the same time. When he had accomplished this object, he formed a league with the kingdoms of Poland and Denmark to make war upon Sweden.	So he set a train of negotiations on foot for making a long truce with the Turks, not wishing to have two wars on his hands at the same time. When he had accomplished this object, he formed a league with the kingdoms of Poland and Denmark to make war upon Sweden.	true	97.37	114.79	23.972721
1226_141270_000006_000001	So exactly were all his plans laid, that the war with Sweden was declared on the very next day after the truce of the Turks was concluded.	So exactly were all his plans laid, that the war with Sweden was declared on the very next day after the truce of the Turks was concluded.	true	115.04	124.75	26.709066
