7910_80534_000003_000000	CHAPTER XXVII	CHAPTER twenty seven
7910_80534_000004_000000	CLARA'S RETURN	CLARA'S RETURN
7910_80534_000005_000001	This afternoon her pause on each landing was longer than usual, for a yellow fog, which mocked the pale glimmer of gas-jets on the staircase, made her gasp asthmatically.	This afternoon her pause on each landing was longer than usual, for a yellow fog, which mocked the pale glimmer of gas jets on the staircase, made her gasp asthmatically.
7910_80534_000005_000003	She reached the door at length, and being too much exhausted to search her pocket for the latchkey, knocked for admission. Amy Hewett opened to her, and she sank on a chair in the first room, where the other two Hewett children were bending over 'home-lessons' with a studiousness not altogether natural.	She reached the door at length, and being too much exhausted to search her pocket for the latchkey, knocked for admission. Amy Hewett opened to her, and she sank on a chair in the first room, where the other two Hewett children were bending over 'home lessons' with a studiousness not altogether natural.
7910_80534_000005_000004	Mrs. Eagles had a shrewd eye; having glanced at Annie and Tom with a discreet smile, she turned her look towards the elder girl, who was standing full in the lamplight.	mrs Eagles had a shrewd eye; having glanced at Annie and Tom with a discreet smile, she turned her look towards the elder girl, who was standing full in the lamplight.
7910_80534_000006_000000	'Come here, Amy,' she said after a moment's scrutiny.	'Come here, Amy,' she said after a moment's scrutiny.
7910_80534_000008_000000	'Why, I haven't touched a drop, Mrs. Eagles!'	'Why, I haven't touched a drop, mrs Eagles!'
7910_80534_000009_000002	You're a silly girl, that's what you are!'	You're a silly girl, that's what you are!'
7910_80534_000010_000000	Of late Amy Hewett had become the victim of a singular propensity; whenever she could obtain vinegar, she drank it as a toper does spirits.	Of late Amy Hewett had become the victim of a singular propensity; whenever she could obtain vinegar, she drank it as a toper does spirits.
7910_80534_000010_000001	Inadequate nourishment, and especially an unsatisfied palate, frequently have this result in female children among the poor; it is an anticipation of what will befall them as soon as they find their way to the publichouse.	Inadequate nourishment, and especially an unsatisfied palate, frequently have this result in female children among the poor; it is an anticipation of what will befall them as soon as they find their way to the publichouse.
7910_80534_000011_000000	Having administered a scolding, Mrs. Eagles went into the room which she and her husband occupied.	Having administered a scolding, mrs Eagles went into the room which she and her husband occupied.
7910_80534_000011_000001	It was so encumbered with furniture that not more than eight or ten square feet of floor can have been available for movement.	It was so encumbered with furniture that not more than eight or ten square feet of floor can have been available for movement.
7910_80534_000011_000002	On the bed sat Mr. Eagles, a spare, large-headed, ugly, but very thoughtful-looking man; he and Sidney Kirkwood had been acquaintances and fellow-workmen for some years, but no close intimacy had arisen between them, owing to the difference of their tastes and views.	On the bed sat mr Eagles, a spare, large headed, ugly, but very thoughtful looking man; he and Sidney Kirkwood had been acquaintances and fellow workmen for some years, but no close intimacy had arisen between them, owing to the difference of their tastes and views.
7910_80534_000011_000005	Long before there existed a 'Financial Reform Almanack,' Eagles practically represented that work in his own person.	Long before there existed a 'Financial Reform Almanack,' Eagles practically represented that work in his own person.
7910_80534_000011_000008	'There it is in black and white!' But Sidney's faculties were quite unequal to calculations of this kind, and Eagles could never summon resolve to explain his schemes before an audience.	'There it is in black and white!' But Sidney's faculties were quite unequal to calculations of this kind, and Eagles could never summon resolve to explain his schemes before an audience.
7910_80534_000011_000009	Indefatigably he worked on, and the work had to be its own reward.	Indefatigably he worked on, and the work had to be its own reward.
7910_80534_000012_000000	He was busy in the usual way this afternoon, as he sat on the bed, coatless, a trade journal open on his knees.	He was busy in the usual way this afternoon, as he sat on the bed, coatless, a trade journal open on his knees.
7910_80534_000012_000001	His wife never disturbed him; she was a placid, ruminative woman, generally finding the details of her own weekly budget quite a sufficient occupation.	His wife never disturbed him; she was a placid, ruminative woman, generally finding the details of her own weekly budget quite a sufficient occupation.
7910_80534_000012_000002	When she had taken off her bonnet and was turning out the contents of her bag, Eagles remarked quietly:	When she had taken off her bonnet and was turning out the contents of her bag, Eagles remarked quietly:
7910_80534_000013_000000	'They'll have a bad journey.'	'They'll have a bad journey.'
7910_80534_000014_000000	'What a day for her to be travelling all that distance, poor thing!	'What a day for her to be travelling all that distance, poor thing!
7910_80534_000015_000002	The truth of the situation was, that John had received by post, from he knew not whom, a newspaper report of the inquest held on the body of Grace Danver, wherein, of course, was an account of what had happened to Clara Vale; in the margin was pencilled, 'Clara Vale's real name is Clara Hewett.' An hour after receiving this John encountered Sidney Kirkwood.	The truth of the situation was, that john had received by post, from he knew not whom, a newspaper report of the inquest held on the body of Grace Danver, wherein, of course, was an account of what had happened to Clara Vale; in the margin was pencilled, 'Clara Vale's real name is Clara Hewett.' An hour after receiving this john encountered Sidney Kirkwood.
7910_80534_000015_000003	They read the report together.	They read the report together.
7910_80534_000015_000004	Before the coroner it had been made public that the dead woman was in truth named Rudd; she who was injured refused to give any details concerning herself, and her history escaped the reporters.	Before the coroner it had been made public that the dead woman was in truth named Rudd; she who was injured refused to give any details concerning herself, and her history escaped the reporters.
7910_80534_000015_000005	Harbouring no doubt of the information thus mysteriously sent him--the handwriting seemed to be that of a man, but gave no further hint as to its origin--Hewett the next day journeyed down into Lancashire, Sidney supplying him with money.	Harbouring no doubt of the information thus mysteriously sent him-the handwriting seemed to be that of a man, but gave no further hint as to its origin-Hewett the next day journeyed down into Lancashire, Sidney supplying him with money.
7910_80534_000015_000007	One consolation alone offered itself in the course of Hewett's inquiries; Clara, if she recovered, would not have lost her eyesight.	One consolation alone offered itself in the course of Hewett's inquiries; Clara, if she recovered, would not have lost her eyesight.
7910_80534_000015_000008	The fluid had been thrown too low to effect the worst injury; the accident of a trembling hand, of a movement on her part, had kept her eyes untouched.	The fluid had been thrown too low to effect the worst injury; the accident of a trembling hand, of a movement on her part, had kept her eyes untouched.
7910_80534_000016_000000	Necessity brought the father back to London almost at once, but the news sent him at brief intervals continued to be favourable.	Necessity brought the father back to London almost at once, but the news sent him at brief intervals continued to be favourable.
7910_80534_000016_000001	Now that the girl could be removed from the infirmary, there was no retreat for her but her father's home.	Now that the girl could be removed from the infirmary, there was no retreat for her but her father's home.
7910_80534_000017_000001	The children were aware that an all but forgotten sister was returning to them, and that she had been very ill; they promised quietude.	The children were aware that an all but forgotten sister was returning to them, and that she had been very ill; they promised quietude.
7910_80534_000017_000002	Amy set the tea-table in order, and kept the kettle ready. . . .	Amy set the tea table in order, and kept the kettle ready. . . .
7910_80534_000017_000003	The knock for which they were waiting!	The knock for which they were waiting!
7910_80534_000017_000004	Mrs. Eagles withdrew into her own room; Amy went to the door.	mrs Eagles withdrew into her own room; Amy went to the door.
7910_80534_000018_000000	A tall figure, so wrapped and veiled that nothing but the womanly outline could be discerned, entered, supported by John Hewett.	A tall figure, so wrapped and veiled that nothing but the womanly outline could be discerned, entered, supported by john Hewett.
7910_80534_000019_000000	'Is there a light in the other room, Amy?' John inquired in a thick voice.	'Is there a light in the other room, Amy?' john inquired in a thick voice.
7910_80534_000020_000000	'Yes, father.'	'Yes, father.'
7910_80534_000021_000000	He led the muffled form into the chamber where Amy and Annie slept.	He led the muffled form into the chamber where Amy and Annie slept.
7910_80534_000021_000001	The door closed, and for several minutes the three children stood regarding each other, alarmed, mute.	The door closed, and for several minutes the three children stood regarding each other, alarmed, mute.
7910_80534_000021_000002	Then their father joined them.	Then their father joined them.
7910_80534_000021_000003	He looked about in an absent way, slowly drew off his overcoat, and when Amy offered to take it, bent and kissed her cheek.	He looked about in an absent way, slowly drew off his overcoat, and when Amy offered to take it, bent and kissed her cheek.
7910_80534_000021_000004	The girl was startled to hear him sob and to see tears starting from his eyes.	The girl was startled to hear him sob and to see tears starting from his eyes.
7910_80534_000021_000005	Turning suddenly away, he stood before the fire and made a pretence of warming himself; but his sobs overmastered him.	Turning suddenly away, he stood before the fire and made a pretence of warming himself; but his sobs overmastered him.
7910_80534_000022_000000	'Shall I pour out the tea, father?' Amy ventured to ask, when there was again perfect silence.	'Shall I pour out the tea, father?' Amy ventured to ask, when there was again perfect silence.
7910_80534_000023_000000	'Haven't you had yours?' he replied, half-facing her.	'Haven't you had yours?' he replied, half facing her.
7910_80534_000025_000000	'Get it, then--all of you.	'Get it, then-all of you.
7910_80534_000025_000001	Yes, you can pour me out a cup--and put another on the little tray.	Yes, you can pour me out a cup-and put another on the little tray.
7910_80534_000025_000002	Is this stuff in the saucepan ready?' 'Mrs. Eagles said it would be in five minutes.'.	Is this stuff in the saucepan ready?' 'mrs Eagles said it would be in five minutes.'.
7910_80534_000026_000000	'All right.	'All right.
7910_80534_000027_000000	He went to Mrs. Eagles' room and talked there for a short time. Presently Mrs. Eagles herself came out and silently removed from the saucepan a mixture of broth and meat.	He went to mrs Eagles' room and talked there for a short time. Presently mrs Eagles herself came out and silently removed from the saucepan a mixture of broth and meat.
7910_80534_000027_000001	Having already taken the cup of tea to Clara, Hewett now returned to her with this food.	Having already taken the cup of tea to Clara, Hewett now returned to her with this food.
7910_80534_000027_000002	She was sitting by the fire, her face resting upon her hands.	She was sitting by the fire, her face resting upon her hands.
7910_80534_000027_000003	The lamp was extinguished; she had said that the firelight was enough.	The lamp was extinguished; she had said that the firelight was enough.
7910_80534_000027_000004	John deposited his burden on the table, then touched her shoulder gently and spoke in so soft a voice that one would not have recognised it as his.	john deposited his burden on the table, then touched her shoulder gently and spoke in so soft a voice that one would not have recognised it as his.
7910_80534_000028_000001	Here's somethin' as has been made particular.	Here's somethin' as has been made particular.
7910_80534_000028_000002	After travellin'--just a spoonful or two.'	After travellin'--just a spoonful or two.'
7910_80534_000029_000000	Clara expressed reluctance.	Clara expressed reluctance.
7910_80534_000030_000000	'I don't feel hungry, father.	'I don't feel hungry, father.
7910_80534_000030_000001	Presently, perhaps.'	Presently, perhaps.'
