718_129596_000001_000001	ALONE WITH THE BEAST FOLK.	ALONE WITH THE BEAST FOLK.
718_129596_000002_000002	Among the chips scattered about the beach lay the two axes that had been used to chop up the boats. The tide was creeping in behind me.	Among the chips scattered about the beach lay the two axes that had been used to chop up the boats. The tide was creeping in behind me.
718_129596_000002_000003	There was nothing for it but courage.	There was nothing for it but courage.
718_129596_000002_000005	I took half-a-dozen steps, picked up the blood-stained whip that lay beneath the body of the Wolf-man, and cracked it.	I took half a dozen steps, picked up the blood stained whip that lay beneath the body of the Wolf man, and cracked it.
718_129596_000002_000006	They stopped and stared at me.	They stopped and stared at me.
718_129596_000003_000000	"Salute!" said I. "Bow down!"	"Salute!" said i "Bow down!"
718_129596_000004_000000	They hesitated.	They hesitated.
718_129596_000004_000001	One bent his knees.	One bent his knees.
718_129596_000004_000002	I repeated my command, with my heart in my mouth, and advanced upon them.	I repeated my command, with my heart in my mouth, and advanced upon them.
718_129596_000004_000003	One knelt, then the other two.	One knelt, then the other two.
718_129596_000005_000000	I turned and walked towards the dead bodies, keeping my face towards the three kneeling Beast Men, very much as an actor passing up the stage faces the audience.	I turned and walked towards the dead bodies, keeping my face towards the three kneeling Beast Men, very much as an actor passing up the stage faces the audience.
718_129596_000006_000000	"They broke the Law," said I, putting my foot on the Sayer of the Law. "They have been slain,--even the Sayer of the Law; even the Other with the Whip.	"They broke the Law," said I, putting my foot on the Sayer of the Law. "They have been slain,--even the Sayer of the Law; even the Other with the Whip.
718_129596_000006_000001	Great is the Law!	Great is the Law!
718_129596_000006_000002	Come and see."	Come and see."
718_129596_000007_000000	"None escape," said one of them, advancing and peering.	"None escape," said one of them, advancing and peering.
718_129596_000008_000000	"None escape," said I. "Therefore hear and do as I command." They stood up, looking questioningly at one another.	"None escape," said i "Therefore hear and do as I command." They stood up, looking questioningly at one another.
718_129596_000009_000000	"Stand there," said I.	"Stand there," said i
718_129596_000011_000000	"Take him," said I, standing up again and pointing with the whip; "take him, and carry him out and cast him into the sea."	"Take him," said I, standing up again and pointing with the whip; "take him, and carry him out and cast him into the sea."
