7011_66622_000000_000000	CHAPTER VIII	CHAPTER eight	true	19.695	20.71	29.301453
7011_66622_000001_000000	HOW WOLF BECAME THE COMPANION OF MEN	HOW WOLF BECAME THE COMPANION OF MEN	true	20.75	23.41	21.244978
7011_66622_000002_000000	Twice that night Rod was awakened by Mukoki opening the cabin door.	Twice that night Rod was awakened by Mukoki opening the cabin door.	true	24.32	28.6	24
7011_66622_000002_000001	The second time he raised himself upon his elbows and quietly watched the old warrior.	The second time he raised himself upon his elbows and quietly watched the old warrior.	true	29.33	34.15	21
7011_66622_000002_000002	It was a brilliantly clear night and a flood of moonlight was pouring into the camp.	It was a brilliantly clear night and a flood of moonlight was pouring into the camp.	true	34.37	38.86	21.758638
7011_66622_000002_000003	He could hear Mukoki chuckling and grunting, as though communicating with himself, and at last, his curiosity getting the better of him, he wrapped his blanket about him and joined the Indian at the door.	He could hear Mukoki chuckling and grunting, as though communicating with himself, and at last, his curiosity getting the better of him, he wrapped his blanket about him and joined the Indian at the door.	false	39.08	49.93	23.058437
7011_66622_000003_000000	Mukoki was peering up into space.	Mukoki was peering up into space.	true	50.39	52.69	24
7011_66622_000003_000001	Rod followed his gaze.	Rod followed his gaze.	true	52.82	54.52	18.763412
7011_66622_000003_000002	The moon was directly above the cabin.	The moon was directly above the cabin.	true	54.68	56.98	24.304052
7011_66622_000003_000003	The sky was clear of clouds and so bright was the light that objects on the farther side of the lake were plainly visible.	The sky was clear of clouds and so bright was the light that objects on the farther side of the lake were plainly visible.	true	57.2	63.82	23.191101
7011_66622_000004_000000	Besides, it was bitter cold--so cold that his face began to tingle as he stood there.	Besides, it was bitter cold-so cold that his face began to tingle as he stood there.	true	63.95	68.83	23.163692
7011_66622_000004_000001	These things he noticed, but he could see nothing to hold Mukoki's vision in the sky above unless it was the glorious beauty of the night.	These things he noticed, but he could see nothing to hold Mukoki's vision in the sky above unless it was the glorious beauty of the night.	true	69.08	76.18	22
7011_66622_000005_000000	"What is it, Mukoki?" he asked.	"What is it, Mukoki?" he asked.	true	76.76	78.52	27.915071
7011_66622_000006_000000	The old Indian looked silently at him for a moment, some mysterious, all-absorbing joy revealed in every lineament of his face.	The old Indian looked silently at him for a moment, some mysterious, all absorbing joy revealed in every lineament of his face.	true	78.56	85.66	20
7011_66622_000007_000000	"Wolf night!" he whispered.	"Wolf night!" he whispered.	true	86.06	87.79	20.107904
7011_66622_000008_000000	He looked back to where Wabi was sleeping.	He looked back to where w a b i was sleeping.	false	87.95	90.01	26.34719
7011_66622_000009_000000	"Wolf night!" he repeated, and slipped like a shadow to the side of the unconscious young hunter.	"Wolf night!" he repeated, and slipped like a shadow to the side of the unconscious young hunter.	true	90.23	95.08	21.249298
7011_66622_000009_000001	Rod regarded his actions with growing wonder. He saw him bend over Wabi, shake him by the shoulders, and heard him repeat again, "Wolf night!	Rod regarded his actions with growing wonder. He saw him bend over w a b i, shake him by the shoulders, and heard him repeat again, "Wolf night!	false	95.54	103.36	20.580568
7011_66622_000009_000002	Wolf night!"	Wolf night!"	true	103.37	104.22	21.03175
7011_66622_000010_000000	Wabi awoke and sat up in his blankets, and Mukoki came back to the door. He had dressed himself before this, and now, with his rifle, slipped out into the night.	w a b i awoke and sat up in his blankets, and Mukoki came back to the door. He had dressed himself before this, and now, with his rifle, slipped out into the night.	false	104.22	113.89	21.259512
7011_66622_000010_000001	The young Indian had joined Rod at the open door and together they watched Mukoki's gaunt figure as it sped swiftly across the lake, up the hill and over into the wilderness desolation beyond.	The young Indian had joined Rod at the open door and together they watched Mukoki's gaunt figure as it sped swiftly across the lake, up the hill and over into the wilderness desolation beyond.	true	114.23	125.29	21
7011_66622_000011_000000	When Rod looked at Wabi he saw that the Indian boy's eyes were wide and staring, with an expression in them that was something between fright and horror.	When Rod looked at w a b i he saw that the Indian boy's eyes were wide and staring, with an expression in them that was something between fright and horror.	false	126.5	134.44	18
7011_66622_000011_000001	Without speaking he went to the table and lighted the candles and then dressed.	Without speaking he went to the table and lighted the candles and then dressed.	true	134.72	138.49	18
7011_66622_000011_000002	When he was done his face still bore traces of suppressed excitement.	When he was done his face still bore traces of suppressed excitement.	true	138.68	142.51	22.351667
7011_66622_000012_000000	He ran back to the door and whistled loudly.	He ran back to the door and whistled loudly.	true	143.33	145.96	20
7011_66622_000012_000001	From his shelter beside the cabin the captive wolf responded with a snarling whine.	From his shelter beside the cabin the captive wolf responded with a snarling whine.	true	146.12	150.55	19
7011_66622_000012_000002	Again he whistled, a dozen times, twenty, but there came no reply.	Again he whistled, a dozen times, twenty, but there came no reply.	true	150.83	154.75	21
