7011_66622_000000_000000	CHAPTER VIII	CHAPTER eight
7011_66622_000001_000000	HOW WOLF BECAME THE COMPANION OF MEN	HOW WOLF BECAME THE COMPANION OF MEN
7011_66622_000002_000000	Twice that night Rod was awakened by Mukoki opening the cabin door.	Twice that night Rod was awakened by Mukoki opening the cabin door.
7011_66622_000002_000001	The second time he raised himself upon his elbows and quietly watched the old warrior.	The second time he raised himself upon his elbows and quietly watched the old warrior.
7011_66622_000002_000002	It was a brilliantly clear night and a flood of moonlight was pouring into the camp.	It was a brilliantly clear night and a flood of moonlight was pouring into the camp.
7011_66622_000003_000000	Mukoki was peering up into space.	Mukoki was peering up into space.
7011_66622_000003_000002	The moon was directly above the cabin.	The moon was directly above the cabin.
7011_66622_000003_000003	The sky was clear of clouds and so bright was the light that objects on the farther side of the lake were plainly visible.	The sky was clear of clouds and so bright was the light that objects on the farther side of the lake were plainly visible.
7011_66622_000004_000000	Besides, it was bitter cold--so cold that his face began to tingle as he stood there.	Besides, it was bitter cold-so cold that his face began to tingle as he stood there.
7011_66622_000004_000001	These things he noticed, but he could see nothing to hold Mukoki's vision in the sky above unless it was the glorious beauty of the night.	These things he noticed, but he could see nothing to hold Mukoki's vision in the sky above unless it was the glorious beauty of the night.
7011_66622_000005_000000	"What is it, Mukoki?" he asked.	"What is it, Mukoki?" he asked.
7011_66622_000006_000000	The old Indian looked silently at him for a moment, some mysterious, all-absorbing joy revealed in every lineament of his face.	The old Indian looked silently at him for a moment, some mysterious, all absorbing joy revealed in every lineament of his face.
7011_66622_000007_000000	"Wolf night!" he whispered.	"Wolf night!" he whispered.
7011_66622_000009_000000	"Wolf night!" he repeated, and slipped like a shadow to the side of the unconscious young hunter.	"Wolf night!" he repeated, and slipped like a shadow to the side of the unconscious young hunter.
7011_66622_000009_000002	Wolf night!"	Wolf night!"
7011_66622_000010_000001	The young Indian had joined Rod at the open door and together they watched Mukoki's gaunt figure as it sped swiftly across the lake, up the hill and over into the wilderness desolation beyond.	The young Indian had joined Rod at the open door and together they watched Mukoki's gaunt figure as it sped swiftly across the lake, up the hill and over into the wilderness desolation beyond.
7011_66622_000011_000002	When he was done his face still bore traces of suppressed excitement.	When he was done his face still bore traces of suppressed excitement.
7011_66622_000012_000000	He ran back to the door and whistled loudly.	He ran back to the door and whistled loudly.
7011_66622_000012_000002	Again he whistled, a dozen times, twenty, but there came no reply.	Again he whistled, a dozen times, twenty, but there came no reply.
7011_66622_000016_000000	"Did Minnetaki ever tell you--anything--queer--about Mukoki, Rod?"	"Did Minnetaki ever tell you-anything-queer-about Mukoki, Rod?"
7011_66622_000018_000000	"Well, once in a great while Mukoki has--not exactly a fit, but a little mad spell!	"Well, once in a great while Mukoki has-not exactly a fit, but a little mad spell!
7011_66622_000018_000003	But the Indians at the Post believe that at certain times he goes crazy over wolves."	But the Indians at the Post believe that at certain times he goes crazy over wolves."
7011_66622_000019_000000	"Wolves!" exclaimed Rod.	"Wolves!" exclaimed Rod.
7011_66622_000020_000000	"Yes, wolves.	"Yes, wolves.
7011_66622_000020_000001	And he has good reason.	And he has good reason.
7011_66622_000020_000005	He was the happiest Indian at the Post, and one of the poorest.	He was the happiest Indian at the Post, and one of the poorest.
7011_66622_000020_000006	One day Mukoki came to the Post with a little bundle of fur, and most of the things he got in exchange for it, mother says, were for the kid.	One day Mukoki came to the Post with a little bundle of fur, and most of the things he got in exchange for it, mother says, were for the kid.
7011_66622_000020_000007	He reached the store at night and expected to leave for home the next noon, which would bring him to his camp before dark.	He reached the store at night and expected to leave for home the next noon, which would bring him to his camp before dark.
7011_66622_000020_000010	Well--"	Well-"
7011_66622_000022_000001	And then, the people at the Post say, the mother must have slipped and hurt herself.	And then, the people at the Post say, the mother must have slipped and hurt herself.
7011_66622_000022_000007	He calls this a 'wolf night.' No one can stop him from going out; no one can get him to talk; he will allow no one to accompany him when in such a mood.	He calls this a 'wolf night.' No one can stop him from going out; no one can get him to talk; he will allow no one to accompany him when in such a mood.
7011_66622_000022_000009	But he will come back.	But he will come back.
7011_66622_000024_000000	"What does Mukoki mean by 'wolf night'?" he asked.	"What does Mukoki mean by 'wolf night'?" he asked.
7011_66622_000025_000003	He can catch them in every trap he sets, which no other trapper in the world can do; he can tell you a hundred different things about a certain wolf simply by its track, and because of his wonderful knowledge he can tell, by some instinct that is almost supernatural, when a 'wolf night' comes.	He can catch them in every trap he sets, which no other trapper in the world can do; he can tell you a hundred different things about a certain wolf simply by its track, and because of his wonderful knowledge he can tell, by some instinct that is almost supernatural, when a 'wolf night' comes.
7011_66622_000025_000004	Something in the air to-night, something in the sky--in the moon--in the very way the wilderness looks, tells him that stray wolves in the plains and hills are 'packing' or banding together to-night, and that in the morning the sun will be shining, and they will be on the sunny sides of the mountains.	Something in the air to night, something in the sky-in the moon-in the very way the wilderness looks, tells him that stray wolves in the plains and hills are 'packing' or banding together to night, and that in the morning the sun will be shining, and they will be on the sunny sides of the mountains.
7011_66622_000025_000006	To-morrow night, if Mukoki comes back by then, we shall have some exciting sport with the wolves, and then you will see how Wolf out there does his work!"	To morrow night, if Mukoki comes back by then, we shall have some exciting sport with the wolves, and then you will see how Wolf out there does his work!"
7011_66622_000026_000000	There followed several minutes of silence.	There followed several minutes of silence.
7011_66622_000026_000002	Rod took out his watch.	Rod took out his watch.
7011_66622_000026_000003	It lacked only ten minutes of midnight.	It lacked only ten minutes of midnight.
7011_66622_000026_000004	Yet neither seemed possessed with a desire to return to their interrupted sleep.	Yet neither seemed possessed with a desire to return to their interrupted sleep.
7011_66622_000027_000003	Wolf, as well as Mukoki, has good cause for what he does.	Wolf, as well as Mukoki, has good cause for what he does.
7011_66622_000027_000004	You might call it animal vengeance.	You might call it animal vengeance.
7011_66622_000027_000007	We caught Wolf in a lynx trap, Mukoki and I. He wasn't much more than a whelp then--about six months old, Mukoki said. And while he was in the trap, helpless and unable to defend himself, three or four of his lovely tribe jumped upon him and tried to kill him for breakfast.	We caught Wolf in a lynx trap, Mukoki and i He wasn't much more than a whelp then-about six months old, Mukoki said. And while he was in the trap, helpless and unable to defend himself, three or four of his lovely tribe jumped upon him and tried to kill him for breakfast.
7011_66622_000027_000008	We hove in sight just in time to drive the cannibals off. We kept Wolf, sewed up his side and throat, tamed him--and to-morrow night you will see how Mukoki has taught him to get even with his people."	We hove in sight just in time to drive the cannibals off. We kept Wolf, sewed up his side and throat, tamed him-and to morrow night you will see how Mukoki has taught him to get even with his people."
7011_66622_000028_000000	It was two hours later when Rod and Wabigoon extinguished the candles and returned to their blankets.	It was two hours later when Rod and Wabigoon extinguished the candles and returned to their blankets.
7011_66622_000028_000001	And for another hour after that the former found it impossible to sleep.	And for another hour after that the former found it impossible to sleep.
