6690_73075_000000_000000	"That is addressed to a child six years of age.	"That is addressed to a child six years of age.	false	0	3.75	17.476147
6690_73075_000001_000000	"'I have known,' the book continues, 'poor children who concealed their sins in confession for years; they were very unhappy, were tormented with remorse, and if they had died in that state they would certainly have gone to the everlasting fires of hell.'" . . .	"'I have known,' the book continues, 'poor children who concealed their sins in confession for years; they were very unhappy, were tormented with remorse, and if they had died in that state they would certainly have gone to the everlasting fires of hell.'" . . .	false	3.75	8.73	16
6690_73075_000002_000000	Now here is something against nature, something that I have seen time after time in the faces and bearing of priests and heard in their preaching.	Now here is something against nature, something that I have seen time after time in the faces and bearing of priests and heard in their preaching.	false	8.73	9.69	6
6690_73075_000002_000001	It is a distinct lust.	It is a distinct lust.	false	9.69	9.75	-2
6690_73075_000002_000002	Much nobility and devotion there are among priests, saintly lives and kindly lives, lives of real worship, lives no man may better; this that I write is not of all, perhaps not of many priests.	Much nobility and devotion there are among priests, saintly lives and kindly lives, lives of real worship, lives no man may better; this that I write is not of all, perhaps not of many priests.	false	9.75	15.63	11
6690_73075_000002_000003	But there has been in all ages that have known sacerdotalism this terrible type of the priest; priestcraft and priestly power release an aggressive and narrow disposition to a recklessness of suffering and a hatred of liberty that surely exceeds the badness of any other sort of men.	But there has been in all ages that have known sacerdotalism this terrible type of the priest; priestcraft and priestly power release an aggressive and narrow disposition to a recklessness of suffering and a hatred of liberty that surely exceeds the badness of any other sort of men.	false	15.63	29.07	17.072428
6690_73075_000003_000000	8.	eight.	true	29.07	29.59	14
6690_73075_000003_000001	THE CHILDREN'S GOD	THE CHILDREN'S GOD	true	29.69	31.51	18.398129
6690_73075_000004_000000	Children do not naturally love God.	Children do not naturally love God.	true	32.48	35.23	14
6690_73075_000004_000001	They have no great capacity for an idea so subtle and mature as the idea of God.	They have no great capacity for an idea so subtle and mature as the idea of God.	true	35.42	40.84	8
6690_73075_000004_000002	While they are still children in a home and cared for, life is too kind and easy for them to feel any great need of God.	While they are still children in a home and cared for, life is too kind and easy for them to feel any great need of God.	true	40.88	47.8	13
6690_73075_000004_000003	All things are still something God-like. . . .	All things are still something God like. . . .	true	47.87	50.86	15.478077
6690_73075_000005_000000	The true God, our modern minds insist upon believing, can have no appetite for unnatural praise and adoration.	The true God, our modern minds insist upon believing, can have no appetite for unnatural praise and adoration.	true	51.35	58.48	9
6690_73075_000005_000001	He does not clamour for the attention of children.	He does not clamour for the attention of children.	true	58.67	61.75	17.44328
6690_73075_000005_000002	He is not like one of those senile uncles who dream of glory in the nursery, who love to hear it said, "The children adore him." If children are loved and trained to truth, justice, and mutual forbearance, they will be ready for the true God as their needs bring them within his scope.	He is not like one of those senile uncles who dream of glory in the nursery, who love to hear it said, "The children adore him." If children are loved and trained to truth, justice, and mutual forbearance, they will be ready for the true God as their needs bring them within his scope.	true	61.88	78.97	15
6690_73075_000005_000003	They should be left to their innocence, and to their trust in the innocence of the world, as long as they can be. They should be told only of God as a Great Friend whom some day they will need more and understand and know better.	They should be left to their innocence, and to their trust in the innocence of the world, as long as they can be. They should be told only of God as a Great Friend whom some day they will need more and understand and know better.	true	78.98	93.04	18
6690_73075_000005_000004	That is as much as most children need.	That is as much as most children need.	true	93.05	95.98	19.029907
6690_73075_000005_000005	The phrases of religion put too early into their mouths may become a cant, something worse than blasphemy.	The phrases of religion put too early into their mouths may become a cant, something worse than blasphemy.	false	96.17	102.79	17.65417
6690_73075_000006_000000	Yet children are sometimes very near to God.	Yet children are sometimes very near to God.	true	103.16	106.18	15
6690_73075_000006_000001	Creative passion stirs in their play.	Creative passion stirs in their play.	true	106.19	109.05	17.875114
6690_73075_000006_000002	At times they display a divine simplicity.	At times they display a divine simplicity.	true	109.05	112.33	20.281527
6690_73075_000006_000003	But it does not follow that therefore they should be afflicted with theological formulae or inducted into ceremonies and rites that they may dislike or misinterpret.	But it does not follow that therefore they should be afflicted with theological formulae or inducted into ceremonies and rites that they may dislike or misinterpret.	true	112.43	122.05	16
6690_73075_000006_000004	If by any accident, by the death of a friend or a distressing story, the thought of death afflicts a child, then he may begin to hear of God, who takes those that serve him out of their slain bodies into his shining immortality.	If by any accident, by the death of a friend or a distressing story, the thought of death afflicts a child, then he may begin to hear of God, who takes those that serve him out of their slain bodies into his shining immortality.	false	122.84	136.63	13
