8142_3967_000002_000000	CHAPTER XV	CHAPTER fifteen
8142_3967_000003_000000	OVERGROWN MUGWORT	OVERGROWN MUGWORT
8142_3967_000004_000000	When Genji was an exile on the sea-coast, many people had been longing for his return.	When Genji was an exile on the sea coast, many people had been longing for his return.
8142_3967_000004_000001	Among these was the Princess Hitachi.	Among these was the Princess Hitachi.
8142_3967_000004_000002	She was, as we have seen, the survivor of his Royal father, and the kindness which she had received from Genji was to her like the reflection of the broad starlit sky in a basin of water.	She was, as we have seen, the survivor of his Royal father, and the kindness which she had received from Genji was to her like the reflection of the broad starlit sky in a basin of water.
8142_3967_000004_000003	After Genji left the capital, however, no correspondence ever passed between them.	After Genji left the capital, however, no correspondence ever passed between them.
8142_3967_000004_000004	Several of her servants left her, and her residence became more lonely than ever.	Several of her servants left her, and her residence became more lonely than ever.
8142_3967_000004_000006	One might imagine some mysterious "tree-spirit" to reign there.	One might imagine some mysterious "tree spirit" to reign there.
8142_3967_000004_000007	Nevertheless, such grounds as these, surrounded with lofty trees, are more tempting to those who desire to have a stylish dwelling.	Nevertheless, such grounds as these, surrounded with lofty trees, are more tempting to those who desire to have a stylish dwelling.
8142_3967_000004_000008	Hence there were several Durios (local governors) who had become rich, and having returned from different provinces, sounded the Princess to see if she were inclined to part with her residence; but this she always refused to do, saying that, however unfortunate she might be, she was not able to give up a mansion inherited from her parents.	Hence there were several Durios (local governors) who had become rich, and having returned from different provinces, sounded the Princess to see if she were inclined to part with her residence; but this she always refused to do, saying that, however unfortunate she might be, she was not able to give up a mansion inherited from her parents.
8142_3967_000005_000000	The mansion contained also a store of rare and antique articles. Several fashionable persons endeavored to induce the Princess to part with them; but such people appeared only contemptible to her, as she looked upon them as proposing such a thing solely because they knew she was poor.	The mansion contained also a store of rare and antique articles. Several fashionable persons endeavored to induce the Princess to part with them; but such people appeared only contemptible to her, as she looked upon them as proposing such a thing solely because they knew she was poor.
8142_3967_000006_000000	Scarcely anyone paid a visit to her dwelling, her only occasional visitor being her brother, a priest, who came to see her when he came to the capital, but he was a man of eccentric character, and was not very flourishing in his circumstances.	Scarcely anyone paid a visit to her dwelling, her only occasional visitor being her brother, a priest, who came to see her when he came to the capital, but he was a man of eccentric character, and was not very flourishing in his circumstances.
8142_3967_000007_000001	The surrounding walls of massive earth broke down here and there and crumbled away, being trampled over by wandering cattle.	The surrounding walls of massive earth broke down here and there and crumbled away, being trampled over by wandering cattle.
8142_3967_000007_000002	In spring and summer boys would sometimes play there.	In spring and summer boys would sometimes play there.
8142_3967_000007_000004	Only one blessing remained there--no thief intruded into the enclosure, as no temptation was offered to them for their attack.	Only one blessing remained there-no thief intruded into the enclosure, as no temptation was offered to them for their attack.
8142_3967_000008_000000	But never did the Princess lose her accustomed reserve, which her parents had instilled into her mind.	But never did the Princess lose her accustomed reserve, which her parents had instilled into her mind.
8142_3967_000008_000001	Society for her had no attractions.	Society for her had no attractions.
8142_3967_000009_000001	This marriage had been considered an unequal match by the father of the Princess, and for this reason she was not very friendly with the family.	This marriage had been considered an unequal match by the father of the Princess, and for this reason she was not very friendly with the family.
8142_3967_000009_000002	Jijiu, however, who was a daughter of the Princess's nurse, and who still remained with the Princess, used to go to her.	Jijiu, however, who was a daughter of the Princess's nurse, and who still remained with the Princess, used to go to her.
8142_3967_000009_000004	It seems to me that where a lady of ordinary degree is elevated to a higher position, she often acquires a refinement like one originally belonging to it; but there are other women, who when degraded from their rank spoil their taste and habits just like the lady in question.	It seems to me that where a lady of ordinary degree is elevated to a higher position, she often acquires a refinement like one originally belonging to it; but there are other women, who when degraded from their rank spoil their taste and habits just like the lady in question.
8142_3967_000009_000005	She fondly hoped to revenge herself for having been formerly looked down upon, by showing an apparent kindness to the Princess Hitachi, and by wishing to take her into her home, and make her wait upon her daughters.	She fondly hoped to revenge herself for having been formerly looked down upon, by showing an apparent kindness to the Princess Hitachi, and by wishing to take her into her home, and make her wait upon her daughters.
8142_3967_000009_000006	With this view she told Jijiu to tell her mistress to come to her, and Jijiu did so; but the Princess did not comply with this request.	With this view she told Jijiu to tell her mistress to come to her, and Jijiu did so; but the Princess did not comply with this request.
8142_3967_000011_000000	About this time Genji returned, but for some while she heard nothing from him, and only the public rejoicing of many people, and the news about him from the outside world reached her ears.	About this time Genji returned, but for some while she heard nothing from him, and only the public rejoicing of many people, and the news about him from the outside world reached her ears.
8142_3967_000011_000003	It is not praiseworthy to display such self-importance as you did in the lifetime of your father." And again she pressed her to go with her, but the Princess still clung to the hope that the time would come when Genji would remember her and renew his kindness.	It is not praiseworthy to display such self importance as you did in the lifetime of your father." And again she pressed her to go with her, but the Princess still clung to the hope that the time would come when Genji would remember her and renew his kindness.
8142_3967_000012_000000	Winter came!	Winter came!
8142_3967_000012_000001	One day, quite unexpectedly, the aunt arrived at the mansion, bringing as a present a dress for the Princess.	One day, quite unexpectedly, the aunt arrived at the mansion, bringing as a present a dress for the Princess.
8142_3967_000012_000002	Her carriage dashed into the garden in a most pompous style, and drove right up to the southern front of the building.	Her carriage dashed into the garden in a most pompous style, and drove right up to the southern front of the building.
8142_3967_000013_000000	"I must soon be leaving the capital," said the visitor.	"I must soon be leaving the capital," said the visitor.
8142_3967_000013_000001	"It is not my wish to leave you behind, but you would not listen to me, and now there is no help.	"It is not my wish to leave you behind, but you would not listen to me, and now there is no help.
8142_3967_000013_000002	But this one, this Jijiu at least, I wish to take with me.	But this one, this Jijiu at least, I wish to take with me.
8142_3967_000013_000003	I have come to-day to fetch her.	I have come to day to fetch her.
8142_3967_000013_000004	I cannot understand how you can be content with your present condition."	I cannot understand how you can be content with your present condition."
8142_3967_000014_000000	Here she manifested a certain sadness, but her delight at her husband's promotion was unmistakable, and she continued:--	Here she manifested a certain sadness, but her delight at her husband's promotion was unmistakable, and she continued:--
8142_3967_000015_000000	"When your father was alive, I was looked down upon by him, which caused a coolness between us.	"When your father was alive, I was looked down upon by him, which caused a coolness between us.
8142_3967_000015_000001	But nevertheless I at no time entertained any ill-will towards you, only you were much favored by Prince Genji, as I heard, which made me abstain from visiting you often; but fortune is fickle, for those in a humble position often enjoy comfort, and those that are higher in station are not quite so well circumstanced.	But nevertheless I at no time entertained any ill will towards you, only you were much favored by Prince Genji, as I heard, which made me abstain from visiting you often; but fortune is fickle, for those in a humble position often enjoy comfort, and those that are higher in station are not quite so well circumstanced.
8142_3967_000015_000002	I do really feel sorry to leave you behind."	I do really feel sorry to leave you behind."
8142_3967_000016_000000	The Princess said very little, but her answer was, "I really thank you for your kind attention, but I do not think I am now fit to move about in the world.	The Princess said very little, but her answer was, "I really thank you for your kind attention, but I do not think I am now fit to move about in the world.
8142_3967_000016_000001	I shall be quite happy to bury myself under this roof."	I shall be quite happy to bury myself under this roof."
8142_3967_000017_000000	"Well, you may think so, but it is simply foolish to abandon one's self, and to bury one's life under such a mass of dilapidation.	"Well, you may think so, but it is simply foolish to abandon one's self, and to bury one's life under such a mass of dilapidation.
8142_3967_000017_000001	Had Prince Genji been kind enough to repair the place, it might have become transformed into a golden palace, and how joyous would it not be?	Had Prince Genji been kind enough to repair the place, it might have become transformed into a golden palace, and how joyous would it not be?
8142_3967_000017_000002	but this you cannot expect.	but this you cannot expect.
8142_3967_000017_000004	How, then, can you expect him to say that, because you have been faithful to him, he will therefore come to you again?"	How, then, can you expect him to say that, because you have been faithful to him, he will therefore come to you again?"
8142_3967_000018_000000	These words touched the Princess, but she gave no vent to her feelings.	These words touched the Princess, but she gave no vent to her feelings.
8142_3967_000018_000001	The visitor, therefore, hurried Jijiu to get ready, saying that they must leave before the dusk.	The visitor, therefore, hurried Jijiu to get ready, saying that they must leave before the dusk.
8142_3967_000019_000001	Thus I am puzzled between the two.	Thus I am puzzled between the two.
8142_3967_000019_000002	Let me, however, say this, I will only see the lady off to-day."	Let me, however, say this, I will only see the lady off to day."
8142_3967_000021_000000	Jijiu had been an attendant on the Princess for a very long time, besides, her mother (the nurse), before she died, told the Princess and her daughter that she hoped they might be long together; so the parting with Jijiu was very trying to the Princess who said to her that though she could not blame her for leaving, she still felt sorry to lose her.	Jijiu had been an attendant on the Princess for a very long time, besides, her mother (the nurse), before she died, told the Princess and her daughter that she hoped they might be long together; so the parting with Jijiu was very trying to the Princess who said to her that though she could not blame her for leaving, she still felt sorry to lose her.
8142_3967_000021_000001	To this Jijiu replied, that she never forgot the wishes of her mother, and was only too happy to share joy and sorrow with the Princess; yet she was sorry to say that circumstances obliged her to leave her for some time; but before she could say much, she was hurried away by the visitor.	To this Jijiu replied, that she never forgot the wishes of her mother, and was only too happy to share joy and sorrow with the Princess; yet she was sorry to say that circumstances obliged her to leave her for some time; but before she could say much, she was hurried away by the visitor.
8142_3967_000022_000000	It was one evening in April of the following year that Genji happened to be going to the villa of "the falling flowers," and passed by the mansion of the Princess.	It was one evening in April of the following year that Genji happened to be going to the villa of "the falling flowers," and passed by the mansion of the Princess.
