8142_3967_000000_000000	FOOTNOTES:	FOOTNOTES:	false	0	0.21	-20
8142_3967_000001_000000	[Footnote 123: A line of an old ode about the beacon in the bay of Naniwa, at the same time expressing the desire of meeting with a loved one.	[Footnote one hundred twenty three: A line of an old ode about the beacon in the bay of Naniwa, at the same time expressing the desire of meeting with a loved one.	false	0.21	5.04	24.659918
8142_3967_000001_000001	It is impossible to translate this ode literally, as in the original there is a play upon words, the word beacon (in Japanese) also meaning "enthusiastic endeavor." The word "myo-tzkushi" (= beacon) more properly means "water-marker" though disused in the modern Japanese.	It is impossible to translate this ode literally, as in the original there is a play upon words, the word beacon (in Japanese) also meaning "enthusiastic endeavor." The word "m y o t z kushi" (equals beacon) more properly means "water marker" though disused in the modern Japanese.	false	5.04	21.6	24.42884
8142_3967_000001_000002	In the translation a little liberty has been taken.]	In the translation a little liberty has been taken.]	false	21.6	25.5	24.089085
8142_3967_000002_000000	CHAPTER XV	CHAPTER fifteen	true	25.5	26.65	34.83248
8142_3967_000003_000000	OVERGROWN MUGWORT	OVERGROWN MUGWORT	true	26.66	28.72	24.343163
8142_3967_000004_000000	When Genji was an exile on the sea-coast, many people had been longing for his return.	When Genji was an exile on the sea coast, many people had been longing for his return.	true	29.15	34.63	23.782051
8142_3967_000004_000001	Among these was the Princess Hitachi.	Among these was the Princess Hitachi.	true	34.82	37.51	26.375622
8142_3967_000004_000002	She was, as we have seen, the survivor of his Royal father, and the kindness which she had received from Genji was to her like the reflection of the broad starlit sky in a basin of water.	She was, as we have seen, the survivor of his Royal father, and the kindness which she had received from Genji was to her like the reflection of the broad starlit sky in a basin of water.	true	37.55	48.82	23.092646
8142_3967_000004_000003	After Genji left the capital, however, no correspondence ever passed between them.	After Genji left the capital, however, no correspondence ever passed between them.	true	49.19	53.68	26.312386
8142_3967_000004_000004	Several of her servants left her, and her residence became more lonely than ever.	Several of her servants left her, and her residence became more lonely than ever.	true	53.9	58.42	24.009548
8142_3967_000004_000005	A fox might have found a covert in the overgrown shrubbery, and the cry of the owl might have been heard among the thick branches.	A fox might have found a covert in the overgrown shrubbery, and the cry of the owl might have been heard among the thick branches.	false	58.52	66.52	22.63831
8142_3967_000004_000006	One might imagine some mysterious "tree-spirit" to reign there.	One might imagine some mysterious "tree spirit" to reign there.	true	66.8	70.74	27.620115
8142_3967_000004_000007	Nevertheless, such grounds as these, surrounded with lofty trees, are more tempting to those who desire to have a stylish dwelling.	Nevertheless, such grounds as these, surrounded with lofty trees, are more tempting to those who desire to have a stylish dwelling.	true	70.74	78.6	23.634867
8142_3967_000004_000008	Hence there were several Durios (local governors) who had become rich, and having returned from different provinces, sounded the Princess to see if she were inclined to part with her residence; but this she always refused to do, saying that, however unfortunate she might be, she was not able to give up a mansion inherited from her parents.	Hence there were several Durios (local governors) who had become rich, and having returned from different provinces, sounded the Princess to see if she were inclined to part with her residence; but this she always refused to do, saying that, however unfortunate she might be, she was not able to give up a mansion inherited from her parents.	true	78.6	98.44	25.316444
8142_3967_000005_000000	The mansion contained also a store of rare and antique articles. Several fashionable persons endeavored to induce the Princess to part with them; but such people appeared only contemptible to her, as she looked upon them as proposing such a thing solely because they knew she was poor.	The mansion contained also a store of rare and antique articles. Several fashionable persons endeavored to induce the Princess to part with them; but such people appeared only contemptible to her, as she looked upon them as proposing such a thing solely because they knew she was poor.	true	98.87	115.5	25.845898
8142_3967_000005_000001	Her attendants sometimes suggested to her that it was by no means an uncommon occurrence for one to dispose of such articles when destiny necessitated the sacrifice; but her reply was that these things had been handed down to her only that she might make use of them, and that she would be violating the wishes of the dead if she consented to part with them, allowing them to become the ornament of the dwellings of some lowborn upstarts.	Her attendants sometimes suggested to her that it was by no means an uncommon occurrence for one to dispose of such articles when destiny necessitated the sacrifice; but her reply was that these things had been handed down to her only that she might make use of them, and that she would be violating the wishes of the dead if she consented to part with them, allowing them to become the ornament of the dwellings of some lowborn upstarts.	false	115.5	139.84	23.986822
8142_3967_000006_000000	Scarcely anyone paid a visit to her dwelling, her only occasional visitor being her brother, a priest, who came to see her when he came to the capital, but he was a man of eccentric character, and was not very flourishing in his circumstances.	Scarcely anyone paid a visit to her dwelling, her only occasional visitor being her brother, a priest, who came to see her when he came to the capital, but he was a man of eccentric character, and was not very flourishing in his circumstances.	true	140.27	154.24	23.48368
8142_3967_000007_000000	Such being the state of affairs with the Princess Hitachi, the grounds of her mansion became more and more desolate and wild, the mugwort growing so tall that it reached the veranda.	Such being the state of affairs with the Princess Hitachi, the grounds of her mansion became more and more desolate and wild, the mugwort growing so tall that it reached the veranda.	false	154.58	165.1	26.057259
8142_3967_000007_000001	The surrounding walls of massive earth broke down here and there and crumbled away, being trampled over by wandering cattle.	The surrounding walls of massive earth broke down here and there and crumbled away, being trampled over by wandering cattle.	true	165.35	172.3	20.502626
8142_3967_000007_000002	In spring and summer boys would sometimes play there.	In spring and summer boys would sometimes play there.	true	172.64	175.74	25.842352
8142_3967_000007_000003	In the autumn a gale blew down a corridor, and carried away part of the shingle roof.	In the autumn a gale blew down a corridor, and carried away part of the shingle roof.	false	175.74	181.72	22.982958
8142_3967_000007_000004	Only one blessing remained there--no thief intruded into the enclosure, as no temptation was offered to them for their attack.	Only one blessing remained there-no thief intruded into the enclosure, as no temptation was offered to them for their attack.	true	181.79	189.76	23.75546
8142_3967_000008_000000	But never did the Princess lose her accustomed reserve, which her parents had instilled into her mind.	But never did the Princess lose her accustomed reserve, which her parents had instilled into her mind.	true	190.34	196.48	24.22415
8142_3967_000008_000001	Society for her had no attractions.	Society for her had no attractions.	true	196.55	199.23	28.135914
8142_3967_000008_000002	She solaced the hours of her loneliness by looking over ancient story-books and poems, which were stored in the old bookshelves, such as the Karamori, Hakoya-no-toji, or Kakya-hime. These, with their illustrations, were her chief resources.	She solaced the hours of her loneliness by looking over ancient story books and poems, which were stored in the old bookshelves, such as the Karamori, Hakoya no toji, or Kakya hime. These, with their illustrations, were her chief resources.	false	199.23	214.75	24.778439
