5002_70998_000002_000000	CHAPTER XXXIV	CHAPTER thirty four
5002_70998_000003_000000	It was the wedding-day of four happy people.	It was the wedding day of four happy people.
5002_70998_000003_000001	The day was bright, the sky blue, and Sherwood had taken upon itself early summer raiment.	The day was bright, the sky blue, and Sherwood had taken upon itself early summer raiment.
5002_70998_000004_000000	The old church of Nottingham was already crowded to excess.	The old church of Nottingham was already crowded to excess.
5002_70998_000006_000002	Richard meant to employ these fellows shrewdly and test their loyalty.	Richard meant to employ these fellows shrewdly and test their loyalty.
5002_70998_000007_000000	The hour was reached, and at once a small company was seen issuing forth from Nottingham Castle.	The hour was reached, and at once a small company was seen issuing forth from Nottingham Castle.
5002_70998_000008_000004	Arthur-a-Bland, with a gold chain about his neck, given him by the knight Sir Richard, walked with Middle the Tinker on his left and Much the Miller on his right.	Arthur a Bland, with a gold chain about his neck, given him by the knight Sir Richard, walked with Middle the Tinker on his left and Much the Miller on his right.
5002_70998_000009_000000	They came to the lych gate, and the crowd jostled itself in its admiration.	They came to the lych gate, and the crowd jostled itself in its admiration.
5002_70998_000009_000001	As they walked, rather consciously, up the narrow path between the smiling ranks of their fellows the crowd cheered them radiantly.	As they walked, rather consciously, up the narrow path between the smiling ranks of their fellows the crowd cheered them radiantly.
5002_70998_000011_000001	For Robin Hood and Will Scarlett the Bishop had enmity and contempt, but towards the Earls of Huntingdon and Nottingham this time-serving man could only profess an abundance of respect.	For Robin Hood and Will Scarlett the Bishop had enmity and contempt, but towards the Earls of Huntingdon and Nottingham this time serving man could only profess an abundance of respect.
5002_70998_000012_000000	The brides were to be escorted from Gamewell by no other person than the King himself.	The brides were to be escorted from Gamewell by no other person than the King himself.
5002_70998_000012_000001	He was to give them both in marriage, and had promised them jewels and to spare when they were come to Court.	He was to give them both in marriage, and had promised them jewels and to spare when they were come to Court.
5002_70998_000013_000001	The people were wild with joy at having their King amongst them like this.	The people were wild with joy at having their King amongst them like this.
5002_70998_000014_000001	As the King jumped down from his horse before the lych gate, and held out his strong hand to help the brides from off their milk-white mares, the whole place became alive with excitement and rapture.	As the King jumped down from his horse before the lych gate, and held out his strong hand to help the brides from off their milk white mares, the whole place became alive with excitement and rapture.
5002_70998_000015_000000	Little maids, with baskets of violets and primroses, flung their offerings prettily under the feet of the two beauteous blushing brides, who leaned so timidly upon the King's proud arms.	Little maids, with baskets of violets and primroses, flung their offerings prettily under the feet of the two beauteous blushing brides, who leaned so timidly upon the King's proud arms.
5002_70998_000016_000001	The Bishop had spoken the Latin service impressively and with unction.	The Bishop had spoken the Latin service impressively and with unction.
5002_70998_000017_000000	In the first row stood Monceux, in all the pomp of his shrievalty, with his councilmen and aldermen.	In the first row stood Monceux, in all the pomp of his shrievalty, with his councilmen and aldermen.
5002_70998_000017_000001	Master Simeon, with face leaner than ever and inturning eyes, glared impotently at the chief actors in this historic scene.	Master Simeon, with face leaner than ever and inturning eyes, glared impotently at the chief actors in this historic scene.
5002_70998_000018_000002	But now that the double marriage was nearly made she suddenly appeared, thrusting her way rudely through the gathered crowd at the church door.	But now that the double marriage was nearly made she suddenly appeared, thrusting her way rudely through the gathered crowd at the church door.
5002_70998_000018_000003	She was wild-eyed, dishevelled, her dress fastened all awry.	She was wild eyed, dishevelled, her dress fastened all awry.
5002_70998_000018_000004	Folks looked once at her, and then exchanged glances between themselves.	Folks looked once at her, and then exchanged glances between themselves.
5002_70998_000019_000000	"Stay this mockery of marriage, my lord," she cried, fiercely facing the Bishop.	"Stay this mockery of marriage, my lord," she cried, fiercely facing the Bishop.
5002_70998_000020_000002	Is no crime too great for you?"	Is no crime too great for you?"
