6865_95963_000000_000000	The Master exclaimed, "What a work for philanthropy!	The Master exclaimed, "What a work for philanthropy!	false	0	0.12	-20
6865_95963_000000_000001	He would require indeed to be a sage!	He would require indeed to be a sage!	false	0.12	0.27	53
6865_95963_000000_000002	He would put into shade even Yau and Shun!--Well, a philanthropic person, desiring for himself a firm footing, is led on to give one to others; desiring for himself an enlightened perception of things, he is led on to help others to be similarly enlightened.	He would put into shade even Yau and Shun!--Well, a philanthropic person, desiring for himself a firm footing, is led on to give one to others; desiring for himself an enlightened perception of things, he is led on to help others to be similarly enlightened.	false	0.27	1.08	12
6865_95963_000000_000003	If one could take an illustration coming closer home to us than yours, that might be made the starting-point for speaking about philanthropy."	If one could take an illustration coming closer home to us than yours, that might be made the starting point for speaking about philanthropy."	false	1.08	1.5	6
6865_95963_000001_000000	[Footnote 14: At this time Confucius was Criminal Judge in his native State of Lu.	[Footnote fourteen: At this time Confucius was Criminal Judge in his native State of Lu.	false	1.5	2.07	12
6865_95963_000001_000001	Yuen Sz had been a disciple.	Yuen s z had been a disciple.	false	2.07	3.99	13
6865_95963_000001_000002	The commentators add that this was the officer's proper salary, and that he did wrong to refuse it.]	The commentators add that this was the officer's proper salary, and that he did wrong to refuse it.]	false	3.99	6.57	19
6865_95963_000002_000000	[Footnote 15: The doctrine afterwards known by that name, and which gave its title to a Confucian treatise.]	[Footnote fifteen: The doctrine afterwards known by that name, and which gave its title to a Confucian treatise.]	false	6.57	9.24	21.21711
6865_95963_000003_000000	BOOK VII	BOOK seven	true	9.24	10.36	18.633701
6865_95963_000004_000000	Characteristics of Confucius--An Incident	Characteristics of Confucius-An Incident	true	10.4	13.75	21.957697
6865_95963_000005_000000	Said the Master:--	Said the Master:--	true	14.45	15.7	24.934654
6865_95963_000006_000000	"I, as a transmitter[16] and not an originator, and as one who believes in and loves the ancients, venture to compare myself with our old P'ang.	"I, as a transmitter[sixteen] and not an originator, and as one who believes in and loves the ancients, venture to compare myself with our old P'ang.	false	15.95	35.19	19.545223
