6620_283138_000000_000001	OF SOME VERBAL DISPUTES.	OF SOME VERBAL DISPUTES.
6620_283138_000002_000000	First, I do not find that in the English, or any other modern tongue, the boundaries are exactly fixed between virtues and talents, vices and defects, or that a precise definition can be given of the one as contradistinguished from the other.	First, I do not find that in the English, or any other modern tongue, the boundaries are exactly fixed between virtues and talents, vices and defects, or that a precise definition can be given of the one as contradistinguished from the other.
6620_283138_000002_000002	Should we affirm that the qualities alone, which prompt us to act our part in society, are entitled to that honourable distinction; it must immediately occur that these are indeed the most valuable qualities, and are commonly denominated the SOCIAL virtues; but that this very epithet supposes that there are also virtues of another species.	Should we affirm that the qualities alone, which prompt us to act our part in society, are entitled to that honourable distinction; it must immediately occur that these are indeed the most valuable qualities, and are commonly denominated the SOCIAL virtues; but that this very epithet supposes that there are also virtues of another species.
6620_283138_000002_000005	It is fortunate, amidst all this seeming perplexity, that the question, being merely verbal, cannot possibly be of any importance.	It is fortunate, amidst all this seeming perplexity, that the question, being merely verbal, cannot possibly be of any importance.
6620_283138_000002_000006	A moral, philosophical discourse needs not enter into all these caprices of language, which are so variable in different dialects, and in different ages of the same dialect.	A moral, philosophical discourse needs not enter into all these caprices of language, which are so variable in different dialects, and in different ages of the same dialect.
6620_283138_000005_000002	No time can efface the cruel ideas of a man's own foolish conduct, or of affronts, which cowardice or impudence has brought upon him.	No time can efface the cruel ideas of a man's own foolish conduct, or of affronts, which cowardice or impudence has brought upon him.
6620_283138_000005_000003	They still haunt his solitary hours, damp his most aspiring thoughts, and show him, even to himself, in the most contemptible and most odious colours imaginable.	They still haunt his solitary hours, damp his most aspiring thoughts, and show him, even to himself, in the most contemptible and most odious colours imaginable.
6620_283138_000006_000002	These we display with care, if not with ostentation; and we commonly show more ambition of excelling in them, than even in the social virtues themselves, which are, in reality, of such superior excellence.	These we display with care, if not with ostentation; and we commonly show more ambition of excelling in them, than even in the social virtues themselves, which are, in reality, of such superior excellence.
6620_283138_000007_000000	It is hard to tell, whether you hurt a man's character most by calling him a knave or a coward, and whether a beastly glutton or drunkard be not as odious and contemptible, as a selfish, ungenerous miser.	It is hard to tell, whether you hurt a man's character most by calling him a knave or a coward, and whether a beastly glutton or drunkard be not as odious and contemptible, as a selfish, ungenerous miser.
6620_283138_000007_000002	The figure which a man makes in life, the reception which he meets with in company, the esteem paid him by his acquaintance; all these advantages depend as much upon his good sense and judgement, as upon any other part of his character.	The figure which a man makes in life, the reception which he meets with in company, the esteem paid him by his acquaintance; all these advantages depend as much upon his good sense and judgement, as upon any other part of his character.
6620_283138_000008_000000	What is it then we can here dispute about?	What is it then we can here dispute about?
