4945_29091_000000_000000	CHAPTER X.	CHAPTER ten	false	0.69	8.49	20.466452
4945_29091_000001_000000	Only two or three days had elapsed since the funeral, when something happened which was to change the drift of Laura's life somewhat, and influence in a greater or lesser degree the formation of her character.	Only two or three days had elapsed since the funeral, when something happened which was to change the drift of Laura's life somewhat, and influence in a greater or lesser degree the formation of her character.	false	8.49	39.1	20.5271
4945_29091_000002_000000	Major Lackland had once been a man of note in the State--a man of extraordinary natural ability and as extraordinary learning.	Major Lackland had once been a man of note in the State-a man of extraordinary natural ability and as extraordinary learning.	true	41.48	49.39	21.391983
4945_29091_000002_000001	He had been universally trusted and honored in his day, but had finally, fallen into misfortune; while serving his third term in Congress, and while upon the point of being elevated to the Senate--which was considered the summit of earthly aggrandizement in those days--he had yielded to temptation, when in distress for money wherewith to save his estate; and sold his vote.	He had been universally trusted and honored in his day, but had finally, fallen into misfortune; while serving his third term in Congress, and while upon the point of being elevated to the Senate-which was considered the summit of earthly aggrandizement in those days-he had yielded to temptation, when in distress for money wherewith to save his estate; and sold his vote.	true	50.18	73.42	22.03173
4945_29091_000002_000002	His crime was discovered, and his fall followed instantly.	His crime was discovered, and his fall followed instantly.	true	75.05	78.13	23.591675
4945_29091_000002_000003	Nothing could reinstate him in the confidence of the people, his ruin was irretrievable--his disgrace complete.	Nothing could reinstate him in the confidence of the people, his ruin was irretrievable-his disgrace complete.	true	78.17	86.74	22.64034
4945_29091_000002_000004	All doors were closed against him, all men avoided him.	All doors were closed against him, all men avoided him.	true	87.5	90.73	22.599586
4945_29091_000002_000005	After years of skulking retirement and dissipation, death had relieved him of his troubles at last, and his funeral followed close upon that of Mr. Hawkins.	After years of skulking retirement and dissipation, death had relieved him of his troubles at last, and his funeral followed close upon that of mr Hawkins.	true	91.88	100.48	22.239033
4945_29091_000002_000006	He died as he had latterly lived--wholly alone and friendless.	He died as he had latterly lived-wholly alone and friendless.	true	102.23	106.69	21.816977
4945_29091_000002_000007	He had no relatives--or if he had they did not acknowledge him.	He had no relatives-or if he had they did not acknowledge him.	false	107.36	112.14	20.470709
4945_29091_000002_000008	The coroner's jury found certain memoranda upon his body and about the premises which revealed a fact not suspected by the villagers before-viz., that Laura was not the child of Mr. and Mrs. Hawkins.	The coroner's jury found certain memoranda upon his body and about the premises which revealed a fact not suspected by the villagers before viz., that Laura was not the child of mr and mrs Hawkins.	true	112.14	125.47	21.63991
4945_29091_000003_000000	The gossips were soon at work.	The gossips were soon at work.	true	128.12	129.97	21.285574
4945_29091_000003_000001	They were but little hampered by the fact that the memoranda referred to betrayed nothing but the bare circumstance that Laura's real parents were unknown, and stopped there. So far from being hampered by this, the gossips seemed to gain all the more freedom from it.	They were but little hampered by the fact that the memoranda referred to betrayed nothing but the bare circumstance that Laura's real parents were unknown, and stopped there. So far from being hampered by this, the gossips seemed to gain all the more freedom from it.	true	130.16	145.99	21.584513
4945_29091_000003_000002	They supplied all the missing information themselves, they filled up all the blanks.	They supplied all the missing information themselves, they filled up all the blanks.	true	146.54	151.36	21.121862
4945_29091_000003_000003	The town soon teemed with histories of Laura's origin and secret history, no two versions precisely alike, but all elaborate, exhaustive, mysterious and interesting, and all agreeing in one vital particular--to-wit, that there was a suspicious cloud about her birth, not to say a disreputable one.	The town soon teemed with histories of Laura's origin and secret history, no two versions precisely alike, but all elaborate, exhaustive, mysterious and interesting, and all agreeing in one vital particular-to wit, that there was a suspicious cloud about her birth, not to say a disreputable one.	false	152.45	172.84	22.659258
4945_29091_000004_000000	Laura began to encounter cold looks, averted eyes and peculiar nods and gestures which perplexed her beyond measure; but presently the pervading gossip found its way to her, and she understood them--then.	Laura began to encounter cold looks, averted eyes and peculiar nods and gestures which perplexed her beyond measure; but presently the pervading gossip found its way to her, and she understood them-then.	false	176.06	189.4	22.823061
4945_29091_000004_000001	Her pride was stung.	Her pride was stung.	true	190.97	193.03	26.333286
4945_29091_000004_000002	She was astonished, and at first incredulous.	She was astonished, and at first incredulous.	true	193.79	197.14	21.357086
4945_29091_000004_000003	She was about to ask her mother if there was any truth in these reports, but upon second thought held her peace.	She was about to ask her mother if there was any truth in these reports, but upon second thought held her peace.	true	198.41	204.4	23.563942
4945_29091_000004_000004	She soon gathered that Major Lackland's memoranda seemed to refer to letters which had passed between himself and Judge Hawkins.	She soon gathered that Major Lackland's memoranda seemed to refer to letters which had passed between himself and Judge Hawkins.	true	205.13	211.99	21
4945_29091_000004_000005	She shaped her course without difficulty the day that that hint reached her.	She shaped her course without difficulty the day that that hint reached her.	true	213.14	217.03	25.366049
4945_29091_000005_000000	That night she sat in her room till all was still, and then she stole into the garret and began a search.	That night she sat in her room till all was still, and then she stole into the garret and began a search.	true	218.75	224.44	21
4945_29091_000005_000001	She rummaged long among boxes of musty papers relating to business matters of no interest to her, but at last she found several bundles of letters.	She rummaged long among boxes of musty papers relating to business matters of no interest to her, but at last she found several bundles of letters.	false	224.84	233.29	20.098242
4945_29091_000005_000002	One bundle was marked "private," and in that she found what she wanted.	One bundle was marked "private," and in that she found what she wanted.	true	233.9	238.6	22.486647
4945_29091_000005_000003	She selected six or eight letters from the package and began to devour their contents, heedless of the cold.	She selected six or eight letters from the package and began to devour their contents, heedless of the cold.	true	239.84	246.37	21.68512
4945_29091_000006_000000	By the dates, these letters were from five to seven years old.	By the dates, these letters were from five to seven years old.	true	248.15	251.89	18.89619
4945_29091_000006_000001	They were all from Major Lackland to Mr. Hawkins.	They were all from Major Lackland to mr Hawkins.	true	251.93	254.89	21.784916
4945_29091_000006_000002	The substance of them was, that some one in the east had been inquiring of Major Lackland about a lost child and its parents, and that it was conjectured that the child might be Laura.	The substance of them was, that some one in the east had been inquiring of Major Lackland about a lost child and its parents, and that it was conjectured that the child might be Laura.	true	256.04	271.11	21.008867
4945_29091_000007_000000	Evidently some of the letters were missing, for the name of the inquirer was not mentioned; there was a casual reference to "this handsome-featured aristocratic gentleman," as if the reader and the writer were accustomed to speak of him and knew who was meant.	Evidently some of the letters were missing, for the name of the inquirer was not mentioned; there was a casual reference to "this handsome featured aristocratic gentleman," as if the reader and the writer were accustomed to speak of him and knew who was meant.	false	271.11	284.71	20.389992
4945_29091_000008_000000	In one letter the Major said he agreed with Mr. Hawkins that the inquirer seemed not altogether on the wrong track; but he also agreed that it would be best to keep quiet until more convincing developments were forthcoming.	In one letter the Major said he agreed with mr Hawkins that the inquirer seemed not altogether on the wrong track; but he also agreed that it would be best to keep quiet until more convincing developments were forthcoming.	true	287.15	300.34	21.972729
4945_29091_000009_000000	Another letter said that "the poor soul broke completely down when he saw Laura's picture, and declared it must be she."	Another letter said that "the poor soul broke completely down when he saw Laura's picture, and declared it must be she."	true	302.99	310.51	22.154694
