666_11243_000000_000000	CHAPTER XIII	CHAPTER thirteen	false	0.96	33.37	19.579752
666_11243_000001_000000	THE BAZAAR	THE BAZAAR	true	33.53	35.02	20.796713
666_11243_000002_000000	The Wesleyan Bazaar, the greatest undertaking of its kind ever known in Bursley, gradually became a cloud which filled the entire social horizon.	The Wesleyan Bazaar, the greatest undertaking of its kind ever known in Bursley, gradually became a cloud which filled the entire social horizon.	true	35.72	47.775	21.321716
666_11243_000002_000001	Mrs. Sutton, organiser of the Sunday-school stall, pressed all her friends into the service, and a fortnight after the death of Sarah Vodrey, Anna and even Agnes gave much of their spare time to the work, which was carried on under pressure increasing daily as the final moments approached.	mrs Sutton, organiser of the Sunday school stall, pressed all her friends into the service, and a fortnight after the death of Sarah Vodrey, Anna and even Agnes gave much of their spare time to the work, which was carried on under pressure increasing daily as the final moments approached.	true	47.775	70.84	22.589384
666_11243_000002_000002	This was well for Anna, in that it diverted her thoughts by keeping her energies fully engaged.	This was well for Anna, in that it diverted her thoughts by keeping her energies fully engaged.	true	71.51	78.285	22
666_11243_000002_000003	One morning, however, it occurred to Mrs. Sutton to reflect that Anna, at such a period of life, should be otherwise employed.	One morning, however, it occurred to mrs Sutton to reflect that Anna, at such a period of life, should be otherwise employed.	true	78.285	88.78	22.782959
666_11243_000002_000004	Anna had called at the Suttons' to deliver some finished garments.	Anna had called at the Suttons' to deliver some finished garments.	true	89.12	94	21.437664
666_11243_000003_000000	'My dear,' she said, 'I am very much obliged to you for all this industry.	'My dear,' she said, 'I am very much obliged to you for all this industry.	true	94.7	101.05	21.791515
666_11243_000003_000001	But I've been thinking that as you are to be married in February you ought to be preparing your things.'	But I've been thinking that as you are to be married in February you ought to be preparing your things.'	true	101.18	108.01	21
666_11243_000004_000000	'My things!' Anna repeated idly; and then she remembered Mynors' phrase, on the hill, 'Can you be ready by that time?'	'My things!' Anna repeated idly; and then she remembered Mynors' phrase, on the hill, 'Can you be ready by that time?'	true	108.08	117.52	21.55432
666_11243_000005_000000	'Yes,' said Mrs. Sutton; 'but possibly you've been getting forward with them on the quiet.'	'Yes,' said mrs Sutton; 'but possibly you've been getting forward with them on the quiet.'	true	117.77	124.48	22.282686
666_11243_000006_000000	'Tell me,' said Anna, with an air of interest; 'I've meant to ask you before: Is it the bride's place to provide all the house-linen, and that sort of thing?'	'Tell me,' said Anna, with an air of interest; 'I've meant to ask you before: Is it the bride's place to provide all the house linen, and that sort of thing?'	true	124.85	136.42	22.33687
666_11243_000007_000000	'It was in my day; but those things alter so.	'It was in my day; but those things alter so.	true	136.76	140.14	23
666_11243_000007_000001	The bride took all the house-linen to her husband, and as many clothes for herself as would last a year; that was the rule.	The bride took all the house linen to her husband, and as many clothes for herself as would last a year; that was the rule.	true	140.24	148.81	21.747808
666_11243_000007_000002	We used to stitch everything at home in those days--everything; and we had what we called a "bottom drawer" to store them in.	We used to stitch everything at home in those days-everything; and we had what we called a "bottom drawer" to store them in.	true	148.97	158.73	20.9233
666_11243_000007_000003	As soon as a girl passed her fifteenth birthday, she began to sew for the "bottom drawer." But all those things change so, I dare say it's different now.'	As soon as a girl passed her fifteenth birthday, she began to sew for the "bottom drawer." But all those things change so, I dare say it's different now.'	true	158.73	169.27	21.787363
666_11243_000008_000000	'How much will it cost to buy everything, do you think?' Anna asked.	'How much will it cost to buy everything, do you think?' Anna asked.	true	169.88	174.31	22.885933
666_11243_000009_000000	Just then Beatrice entered the room.	Just then Beatrice entered the room.	true	174.59	177.16	22.123165
666_11243_000010_000000	'Beatrice, Anna is inquiring how much it will cost to buy her trousseau, and the house-linen.	'Beatrice, Anna is inquiring how much it will cost to buy her trousseau, and the house linen.	false	177.59	184.6	20.38724
666_11243_000010_000001	What do you say?'	What do you say?'	true	184.79	186.1	20.31442
666_11243_000011_000000	'Oh!' Beatrice replied, without any hesitation, 'a couple of hundred at least.'	'Oh!' Beatrice replied, without any hesitation, 'a couple of hundred at least.'	true	186.47	192.04	22.003965
666_11243_000012_000000	Mrs. Sutton, reading Anna's face, smiled reassuringly.	mrs Sutton, reading Anna's face, smiled reassuringly.	true	192.8	197.8	20.150965
666_11243_000012_000001	'Nonsense, Bee! I dare say you could do it on a hundred with care, Anna.'	'Nonsense, Bee! I dare say you could do it on a hundred with care, Anna.'	true	197.9	203.53	20.962185
666_11243_000013_000000	'Why should Anna want to do it with care?' Beatrice asked curtly.	'Why should Anna want to do it with care?' Beatrice asked curtly.	false	203.87	207.97	22
