666_11243_000001_000000	THE BAZAAR	THE BAZAAR
666_11243_000002_000000	The Wesleyan Bazaar, the greatest undertaking of its kind ever known in Bursley, gradually became a cloud which filled the entire social horizon.	The Wesleyan Bazaar, the greatest undertaking of its kind ever known in Bursley, gradually became a cloud which filled the entire social horizon.
666_11243_000002_000001	Mrs. Sutton, organiser of the Sunday-school stall, pressed all her friends into the service, and a fortnight after the death of Sarah Vodrey, Anna and even Agnes gave much of their spare time to the work, which was carried on under pressure increasing daily as the final moments approached.	mrs Sutton, organiser of the Sunday school stall, pressed all her friends into the service, and a fortnight after the death of Sarah Vodrey, Anna and even Agnes gave much of their spare time to the work, which was carried on under pressure increasing daily as the final moments approached.
666_11243_000002_000002	This was well for Anna, in that it diverted her thoughts by keeping her energies fully engaged.	This was well for Anna, in that it diverted her thoughts by keeping her energies fully engaged.
666_11243_000002_000003	One morning, however, it occurred to Mrs. Sutton to reflect that Anna, at such a period of life, should be otherwise employed.	One morning, however, it occurred to mrs Sutton to reflect that Anna, at such a period of life, should be otherwise employed.
666_11243_000002_000004	Anna had called at the Suttons' to deliver some finished garments.	Anna had called at the Suttons' to deliver some finished garments.
666_11243_000003_000000	'My dear,' she said, 'I am very much obliged to you for all this industry.	'My dear,' she said, 'I am very much obliged to you for all this industry.
666_11243_000003_000001	But I've been thinking that as you are to be married in February you ought to be preparing your things.'	But I've been thinking that as you are to be married in February you ought to be preparing your things.'
666_11243_000004_000000	'My things!' Anna repeated idly; and then she remembered Mynors' phrase, on the hill, 'Can you be ready by that time?'	'My things!' Anna repeated idly; and then she remembered Mynors' phrase, on the hill, 'Can you be ready by that time?'
666_11243_000005_000000	'Yes,' said Mrs. Sutton; 'but possibly you've been getting forward with them on the quiet.'	'Yes,' said mrs Sutton; 'but possibly you've been getting forward with them on the quiet.'
666_11243_000006_000000	'Tell me,' said Anna, with an air of interest; 'I've meant to ask you before: Is it the bride's place to provide all the house-linen, and that sort of thing?'	'Tell me,' said Anna, with an air of interest; 'I've meant to ask you before: Is it the bride's place to provide all the house linen, and that sort of thing?'
666_11243_000007_000000	'It was in my day; but those things alter so.	'It was in my day; but those things alter so.
666_11243_000007_000001	The bride took all the house-linen to her husband, and as many clothes for herself as would last a year; that was the rule.	The bride took all the house linen to her husband, and as many clothes for herself as would last a year; that was the rule.
666_11243_000007_000002	We used to stitch everything at home in those days--everything; and we had what we called a "bottom drawer" to store them in.	We used to stitch everything at home in those days-everything; and we had what we called a "bottom drawer" to store them in.
666_11243_000007_000003	As soon as a girl passed her fifteenth birthday, she began to sew for the "bottom drawer." But all those things change so, I dare say it's different now.'	As soon as a girl passed her fifteenth birthday, she began to sew for the "bottom drawer." But all those things change so, I dare say it's different now.'
666_11243_000008_000000	'How much will it cost to buy everything, do you think?' Anna asked.	'How much will it cost to buy everything, do you think?' Anna asked.
666_11243_000009_000000	Just then Beatrice entered the room.	Just then Beatrice entered the room.
666_11243_000010_000001	What do you say?'	What do you say?'
666_11243_000011_000000	'Oh!' Beatrice replied, without any hesitation, 'a couple of hundred at least.'	'Oh!' Beatrice replied, without any hesitation, 'a couple of hundred at least.'
666_11243_000012_000000	Mrs. Sutton, reading Anna's face, smiled reassuringly.	mrs Sutton, reading Anna's face, smiled reassuringly.
666_11243_000012_000001	'Nonsense, Bee! I dare say you could do it on a hundred with care, Anna.'	'Nonsense, Bee! I dare say you could do it on a hundred with care, Anna.'
666_11243_000014_000001	She had not spoken to him, save under necessity, since the evening spent at the Suttons'.	She had not spoken to him, save under necessity, since the evening spent at the Suttons'.
666_11243_000015_000000	'What's afoot now?' he questioned savagely.	'What's afoot now?' he questioned savagely.
666_11243_000017_000002	What clothes dost want?	What clothes dost want?
666_11243_000017_000003	A few pounds will cover them.'	A few pounds will cover them.'
666_11243_000020_000000	'Yes, father, it is.'	'Yes, father, it is.'
666_11243_000023_000000	'What business an' ye for go blabbing thy affairs all over Bosley?	'What business an' ye for go blabbing thy affairs all over Bosley?
666_11243_000023_000002	Go and get dinner.	Go and get dinner.
666_11243_000024_000000	That evening, when Agnes had gone to bed, she resumed the struggle.	That evening, when Agnes had gone to bed, she resumed the struggle.
666_11243_000025_000000	'Father, I must have that hundred pounds.	'Father, I must have that hundred pounds.
666_11243_000025_000002	I mean it.'	I mean it.'
666_11243_000026_000001	What?'	What?'
666_11243_000027_000000	'I mean I must have a hundred pounds.'	'I mean I must have a hundred pounds.'
666_11243_000029_000000	'But you needn't give it me all at once,' she pursued.	'But you needn't give it me all at once,' she pursued.
666_11243_000030_000000	He gazed at her, glowering.	He gazed at her, glowering.
666_11243_000032_000000	'Father, it isn't.' Her voice broke, but only for an instant.	'Father, it isn't.' Her voice broke, but only for an instant.
666_11243_000032_000001	'I'm asking you for my own money.	'I'm asking you for my own money.
666_11243_000035_000000	Her calm insistence maddened him.	Her calm insistence maddened him.
666_11243_000035_000001	Jumping up from his chair, he stamped out of the room, and she heard him strike a match in his office.	Jumping up from his chair, he stamped out of the room, and she heard him strike a match in his office.
666_11243_000035_000002	Presently he returned, and threw angrily on to the table in front of her a cheque-book and pass-book.	Presently he returned, and threw angrily on to the table in front of her a cheque book and pass book.
666_11243_000035_000003	The deposit-book she had always kept herself for convenience of paying into the bank.	The deposit book she had always kept herself for convenience of paying into the bank.
666_11243_000037_000000	The next evening Henry came up.	The next evening Henry came up.
666_11243_000037_000001	She observed that his face had a grave look, but intent on her own difficulties she did not remark on it, and proceeded at once to do what she resolved to do.	She observed that his face had a grave look, but intent on her own difficulties she did not remark on it, and proceeded at once to do what she resolved to do.
666_11243_000037_000002	It was a cold night in November, yet the miser, wrathfully sullen, chose to sit in his office without a fire.	It was a cold night in November, yet the miser, wrathfully sullen, chose to sit in his office without a fire.
666_11243_000037_000003	Agnes was working sums in the kitchen.	Agnes was working sums in the kitchen.
666_11243_000039_000000	'Not about the wedding, I hope,' he said.	'Not about the wedding, I hope,' he said.
666_11243_000040_000000	'It was about money.	'It was about money.
666_11243_000041_000000	'Why not?' he inquired.	'Why not?' he inquired.
666_11243_000042_000000	'I've my own things to get,' she said, 'and I've all the house-linen to buy.'	'I've my own things to get,' she said, 'and I've all the house linen to buy.'
666_11243_000043_000001	You buy the house-linen, do you?' She saw that he was relieved by that information.	You buy the house linen, do you?' She saw that he was relieved by that information.
666_11243_000044_000000	'Of course.	'Of course.
666_11243_000045_000000	Henry's face broke into a laugh, and Anna was obliged to smile. 'Capital!' he said.	Henry's face broke into a laugh, and Anna was obliged to smile. 'Capital!' he said.
666_11243_000045_000001	'Couldn't be better.'	'Couldn't be better.'
666_11243_000047_000000	He examined the three books.	He examined the three books.
666_11243_000047_000001	'A very tidy bit,' he said; 'something over two hundred and fifty pounds.	'A very tidy bit,' he said; 'something over two hundred and fifty pounds.
666_11243_000047_000002	So you can draw cheques at your ease.'	So you can draw cheques at your ease.'
666_11243_000048_000000	'Draw me a cheque for twenty pounds,' she said; and then, while he wrote: 'Henry, after we're married, I shall want you to take charge of all this.'	'Draw me a cheque for twenty pounds,' she said; and then, while he wrote: 'Henry, after we're married, I shall want you to take charge of all this.'
666_11243_000049_000000	'Yes, of course; I will do that, dear.	'Yes, of course; I will do that, dear.
666_11243_000049_000002	Still, if your father says nothing, it is not for me to say anything.'	Still, if your father says nothing, it is not for me to say anything.'
666_11243_000051_000001	His countenance shone with delight.	His countenance shone with delight.
666_11243_000052_000000	'Surely not!' he protested formally.	'Surely not!' he protested formally.
666_11243_000055_000000	Later in the evening he disclosed, perfunctorily, the matter which had been a serious weight on his mind when he entered the house, but which this revelation of vast wealth had diminished to a trifle.	Later in the evening he disclosed, perfunctorily, the matter which had been a serious weight on his mind when he entered the house, but which this revelation of vast wealth had diminished to a trifle.
666_11243_000055_000001	Titus Price had been the treasurer of the building fund which the bazaar was designed to assist.	titus Price had been the treasurer of the building fund which the bazaar was designed to assist.
666_11243_000056_000000	'It's a dreadful thing for Willie, if it gets about,' he said; 'a tale of that sort would follow him to Australia.'	'It's a dreadful thing for Willie, if it gets about,' he said; 'a tale of that sort would follow him to Australia.'
666_11243_000057_000002	You must enter it in the books and say nothing.'	You must enter it in the books and say nothing.'
666_11243_000058_000001	'I can't alter the accounts.	'I can't alter the accounts.
666_11243_000058_000002	At least I can't alter the bank-book and the vouchers.	At least I can't alter the bank book and the vouchers.
666_11243_000058_000003	The auditor would detect it in a minute.	The auditor would detect it in a minute.
666_11243_000058_000005	He, at any rate, must know, and perhaps the stewards.'	He, at any rate, must know, and perhaps the stewards.'
666_11243_000059_000000	'But you can urge them to say nothing.	'But you can urge them to say nothing.
666_11243_000059_000001	Tell them that you will make it good.	Tell them that you will make it good.
666_11243_000059_000002	I will write a cheque at once.'	I will write a cheque at once.'
666_11243_000060_000000	'I had meant to find the fifty myself,' he said.	'I had meant to find the fifty myself,' he said.
666_11243_000060_000001	It was a peddling sum to him now.	It was a peddling sum to him now.
666_11243_000061_000000	'Let me pay half, then,' she asked.	'Let me pay half, then,' she asked.
666_11243_000062_000000	'If you like,' he urged, smiling faintly at her eagerness.	'If you like,' he urged, smiling faintly at her eagerness.
666_11243_000062_000001	'The thing is bound to be kept quiet--it would create such a frightful scandal. Poor old chap!' he added, carelessly, 'I suppose he was hard run, and meant to put it back--as they all do mean.'	'The thing is bound to be kept quiet-it would create such a frightful scandal. Poor old chap!' he added, carelessly, 'I suppose he was hard run, and meant to put it back-as they all do mean.'
