1401_14358_000001_000000	RINALDO AND BAYARD	RINALDO AND BAYARD
1401_14358_000002_000000	CHARLEMAGNE was overwhelmed with grief at the loss of so many of his bravest warriors at the disaster of Roncesvalles, and bitterly reproached himself for his credulity in resigning himself so completely to the counsels of the treacherous Count Gan.	CHARLEMAGNE was overwhelmed with grief at the loss of so many of his bravest warriors at the disaster of Roncesvalles, and bitterly reproached himself for his credulity in resigning himself so completely to the counsels of the treacherous Count Gan.
1401_14358_000002_000001	Yet he soon fell into a similar snare when he suffered his unworthy son, Charlot, to acquire such an influence over him, that he constantly led him into acts of cruelty and injustice that in his right mind he would have scorned to commit.	Yet he soon fell into a similar snare when he suffered his unworthy son, Charlot, to acquire such an influence over him, that he constantly led him into acts of cruelty and injustice that in his right mind he would have scorned to commit.
1401_14358_000002_000002	Rinaldo and his brothers, for some slight offence to the imperious young prince, were forced to fly from Paris, and to take shelter in their castle of Montalban; for Charles had publicly said, if he could take them he would hang them all.	Rinaldo and his brothers, for some slight offence to the imperious young prince, were forced to fly from Paris, and to take shelter in their castle of Montalban; for Charles had publicly said, if he could take them he would hang them all.
1401_14358_000002_000003	He sent numbers of his bravest knights to arrest them, but all without success.	He sent numbers of his bravest knights to arrest them, but all without success.
1401_14358_000003_000000	At last Charles himself raised a great army, and went in person to compel the paladin to submit.	At last Charles himself raised a great army, and went in person to compel the paladin to submit.
1401_14358_000004_000001	His brothers had been taken prisoners in a skirmish, and his only hope of saving their lives was in making terms with the king.	His brothers had been taken prisoners in a skirmish, and his only hope of saving their lives was in making terms with the king.
1401_14358_000005_000000	So he sent a messenger, offering to yield himself and his castle if the king would spare his and his brothers' lives.	So he sent a messenger, offering to yield himself and his castle if the king would spare his and his brothers' lives.
1401_14358_000005_000001	While the messenger was gone Rinaldo, impatient to learn what tidings he might bring, rode out to meet him.	While the messenger was gone Rinaldo, impatient to learn what tidings he might bring, rode out to meet him.
1401_14358_000005_000003	Then he sat down, and, as he waited, he fell asleep.	Then he sat down, and, as he waited, he fell asleep.
1401_14358_000005_000005	Just then came along some country people, who said to one another, "Look, is not that the great horse Bayard that Rinaldo rides?	Just then came along some country people, who said to one another, "Look, is not that the great horse Bayard that Rinaldo rides?
1401_14358_000005_000006	Let us take him, and carry him to King Charles, who will pay us well for our trouble." They did so, and the king was delighted with his prize, and gave them a present that made them rich to their dying day.	Let us take him, and carry him to King Charles, who will pay us well for our trouble." They did so, and the king was delighted with his prize, and gave them a present that made them rich to their dying day.
