8183_118119_000000_000000	FROM VIRGINIA, MARYLAND AND DELAWARE.	FROM VIRGINIA, MARYLAND AND DELAWARE.
8183_118119_000001_000000	ARCHER BARLOW, ALIAS EMIT ROBINS.	ARCHER BARLOW, ALIAS EMIT ROBINS.
8183_118119_000002_000000	This passenger arrived from Norfolk, Va. in 1853.	This passenger arrived from norfolk virginia in eighteen fifty three.
8183_118119_000002_000001	For the last four years previous to escaping, he had been under the yoke of Dr. George Wilson.	For the last four years previous to escaping, he had been under the yoke of dr George Wilson.
8183_118119_000002_000002	Archer declared that he had been "very badly treated" by the Doctor, which he urged as his reason for leaving.	Archer declared that he had been "very badly treated" by the Doctor, which he urged as his reason for leaving.
8183_118119_000002_000004	As Archer had been "sickly" most of the time, during the last year, he complained that there was "no reduction" in his hire on this account.	As Archer had been "sickly" most of the time, during the last year, he complained that there was "no reduction" in his hire on this account.
8183_118119_000002_000006	When a slave reached this decision, he was in a very hopeful state.	When a slave reached this decision, he was in a very hopeful state.
8183_118119_000002_000007	He was near the Underground Rail Road, and was sure to find it, sooner or later.	He was near the Underground Rail Road, and was sure to find it, sooner or later.
8183_118119_000002_000009	His arrival in Philadelphia, per one of the Richmond steamers, was greeted with joy by the Vigilance Committee, who extended to him the usual aid and care, and forwarded him on to freedom.	His arrival in Philadelphia, per one of the Richmond steamers, was greeted with joy by the Vigilance Committee, who extended to him the usual aid and care, and forwarded him on to freedom.
8183_118119_000002_000010	For a number of years, he has been a citizen of Boston.	For a number of years, he has been a citizen of Boston.
8183_118119_000004_000000	This "piece of property" fled in the fall of 1853.	This "piece of property" fled in the fall of eighteen fifty three.
8183_118119_000004_000001	As a specimen of this article of commerce, he evinced considerable intelligence.	As a specimen of this article of commerce, he evinced considerable intelligence.
8183_118119_000004_000002	He was a man of dark color, although not totally free from the admixture of the "superior" southern blood in his veins; in stature, he was only ordinary.	He was a man of dark color, although not totally free from the admixture of the "superior" southern blood in his veins; in stature, he was only ordinary.
8183_118119_000004_000003	For leaving, he gave the following reasons: "I found that I was working for my master, for his advantage, and when I was sick, I had to pay just as much as if I were well--$7 a month.	For leaving, he gave the following reasons: "I found that I was working for my master, for his advantage, and when I was sick, I had to pay just as much as if I were well-seven dollars a month.
8183_118119_000004_000004	But my master was cross, and said that he intended to sell me--to do better by me another year.	But my master was cross, and said that he intended to sell me-to do better by me another year.
8183_118119_000004_000008	The man whom Samuel was compelled to call master was named Hoyle.	The man whom Samuel was compelled to call master was named Hoyle.
8183_118119_000005_000000	The Committee's interview with Samuel was quite satisfactory, and they cheerfully accorded to him brotherly kindness and material aid at the same time.	The Committee's interview with Samuel was quite satisfactory, and they cheerfully accorded to him brotherly kindness and material aid at the same time.
8183_118119_000006_000000	JOHN SPENCER AND HIS SON WILLIAM, AND JAMES ALBERT.	john SPENCER AND HIS SON WILLIAM, AND james ALBERT.
8183_118119_000007_000000	These individuals escaped from the eastern shore of Maryland, in the Spring of 1853, but were led to conclude that they could enjoy the freedom they had aimed to find, in New Jersey.	These individuals escaped from the eastern shore of Maryland, in the Spring of eighteen fifty three, but were led to conclude that they could enjoy the freedom they had aimed to find, in New Jersey.
