6235_36641_000007_000000	A Pearl Worth Ten Million	A Pearl Worth Ten Million
6235_36641_000008_000000	NIGHT FELL.	NIGHT FELL.
6235_36641_000008_000001	I went to bed.	I went to bed.
6235_36641_000008_000002	I slept pretty poorly.	I slept pretty poorly.
6235_36641_000009_000000	The next day at four o'clock in the morning, I was awakened by the steward whom Captain Nemo had placed expressly at my service. I got up quickly, dressed, and went into the lounge.	The next day at four o'clock in the morning, I was awakened by the steward whom Captain Nemo had placed expressly at my service. I got up quickly, dressed, and went into the lounge.
6235_36641_000010_000000	Captain Nemo was waiting for me.	Captain Nemo was waiting for me.
6235_36641_000011_000000	"Professor Aronnax," he said to me, "are you ready to start?"	"Professor Aronnax," he said to me, "are you ready to start?"
6235_36641_000013_000000	"Kindly follow me."	"Kindly follow me."
6235_36641_000014_000000	"What about my companions, captain?"	"What about my companions, captain?"
6235_36641_000015_000000	"They've been alerted and are waiting for us."	"They've been alerted and are waiting for us."
6235_36641_000016_000000	"Aren't we going to put on our diving suits?" I asked.	"Aren't we going to put on our diving suits?" I asked.
6235_36641_000017_000000	"Not yet.	"Not yet.
6235_36641_000018_000000	Captain Nemo took me to the central companionway whose steps led to the platform.	Captain Nemo took me to the central companionway whose steps led to the platform.
6235_36641_000018_000002	Oars in position, five of the Nautilus's sailors were waiting for us aboard the skiff, which was moored alongside.	Oars in position, five of the Nautilus's sailors were waiting for us aboard the skiff, which was moored alongside.
6235_36641_000019_000000	Captain Nemo, Conseil, Ned Land, and I found seats in the stern of the skiff.	Captain Nemo, Conseil, Ned Land, and I found seats in the stern of the skiff.
6235_36641_000020_000000	The skiff headed southward.	The skiff headed southward.
6235_36641_000020_000001	The oarsmen took their time. I watched their strokes vigorously catch the water, and they always waited ten seconds before rowing again, following the practice used in most navies.	The oarsmen took their time. I watched their strokes vigorously catch the water, and they always waited ten seconds before rowing again, following the practice used in most navies.
6235_36641_000021_000000	We were silent.	We were silent.
6235_36641_000021_000001	What was Captain Nemo thinking?	What was Captain Nemo thinking?
6235_36641_000022_000001	Between us and the shore, the sea was deserted. Not a boat, not a diver.	Between us and the shore, the sea was deserted. Not a boat, not a diver.
6235_36641_000022_000002	Profound solitude reigned over this gathering place of pearl fishermen.	Profound solitude reigned over this gathering place of pearl fishermen.
6235_36641_000023_000000	At six o'clock the day broke suddenly, with that speed unique to tropical regions, which experience no real dawn or dusk. The sun's rays pierced the cloud curtain gathered on the easterly horizon, and the radiant orb rose swiftly.	At six o'clock the day broke suddenly, with that speed unique to tropical regions, which experience no real dawn or dusk. The sun's rays pierced the cloud curtain gathered on the easterly horizon, and the radiant orb rose swiftly.
6235_36641_000025_000000	The skiff advanced toward Mannar Island, which curved to the south. Captain Nemo stood up from his thwart and studied the sea.	The skiff advanced toward Mannar Island, which curved to the south. Captain Nemo stood up from his thwart and studied the sea.
6235_36641_000027_000001	A month from now in this very place, the numerous fishing boats of the harvesters will gather, and these are the waters their divers will ransack so daringly. This bay is felicitously laid out for their type of fishing. It's sheltered from the strongest winds, and the sea is never very turbulent here, highly favorable conditions for diving work. Now let's put on our underwater suits, and we'll begin our stroll."	A month from now in this very place, the numerous fishing boats of the harvesters will gather, and these are the waters their divers will ransack so daringly. This bay is felicitously laid out for their type of fishing. It's sheltered from the strongest winds, and the sea is never very turbulent here, highly favorable conditions for diving work. Now let's put on our underwater suits, and we'll begin our stroll."
6235_36641_000030_000000	"Our lighting equipment would be useless to us," the captain answered me. "We won't be going very deep, and the sun's rays will be sufficient to light our way.	"Our lighting equipment would be useless to us," the captain answered me. "We won't be going very deep, and the sun's rays will be sufficient to light our way.
6235_36641_000030_000001	Besides, it's unwise to carry electric lanterns under these waves.	Besides, it's unwise to carry electric lanterns under these waves.
6235_36641_000030_000002	Their brightness might unexpectedly attract certain dangerous occupants of these waterways."	Their brightness might unexpectedly attract certain dangerous occupants of these waterways."
6235_36641_000031_000000	As Captain Nemo pronounced these words, I turned to Conseil and Ned Land.	As Captain Nemo pronounced these words, I turned to Conseil and Ned Land.
6235_36641_000031_000001	But my two friends had already encased their craniums in their metal headgear, and they could neither hear nor reply.	But my two friends had already encased their craniums in their metal headgear, and they could neither hear nor reply.
6235_36641_000033_000000	"What about our weapons?" I asked him.	"What about our weapons?" I asked him.
6235_36641_000033_000001	"Our rifles?"	"Our rifles?"
6235_36641_000034_000000	"Rifles!	"Rifles!
6235_36641_000034_000001	What for?	What for?
6235_36641_000034_000003	Here's a sturdy blade. Slip it under your belt and let's be off."	Here's a sturdy blade. Slip it under your belt and let's be off."
6235_36641_000035_000000	I stared at my companions.	I stared at my companions.
6235_36641_000036_000000	Then, following the captain's example, I let myself be crowned with my heavy copper sphere, and our air tanks immediately went into action.	Then, following the captain's example, I let myself be crowned with my heavy copper sphere, and our air tanks immediately went into action.
6235_36641_000037_000001	We followed him down a gentle slope and disappeared under the waves.	We followed him down a gentle slope and disappeared under the waves.
6235_36641_000038_000000	There the obsessive fears in my brain left me.	There the obsessive fears in my brain left me.
6235_36641_000038_000001	I became surprisingly calm again.	I became surprisingly calm again.
6235_36641_000038_000002	The ease with which I could move increased my confidence, and the many strange sights captivated my imagination.	The ease with which I could move increased my confidence, and the many strange sights captivated my imagination.
6235_36641_000039_000000	The sun was already sending sufficient light under these waves. The tiniest objects remained visible.	The sun was already sending sufficient light under these waves. The tiniest objects remained visible.
6235_36641_000039_000001	After ten minutes of walking, we were in five meters of water, and the terrain had become almost flat.	After ten minutes of walking, we were in five meters of water, and the terrain had become almost flat.
6235_36641_000043_000000	Near seven o'clock we finally surveyed the bank of shellfish, where pearl oysters reproduce by the millions.	Near seven o'clock we finally surveyed the bank of shellfish, where pearl oysters reproduce by the millions.
6235_36641_000044_000002	The others had rugged black surfaces, measured up to fifteen centimeters in width, and were ten or more years old.	The others had rugged black surfaces, measured up to fifteen centimeters in width, and were ten or more years old.
6235_36641_000046_000000	But we couldn't stop.	But we couldn't stop.
6235_36641_000047_000000	Just then a huge cave opened up in our path, hollowed from a picturesque pile of rocks whose smooth heights were completely hung with underwater flora.	Just then a huge cave opened up in our path, hollowed from a picturesque pile of rocks whose smooth heights were completely hung with underwater flora.
6235_36641_000047_000001	At first this cave looked pitch-black to me.	At first this cave looked pitch black to me.
6235_36641_000048_000001	We followed him.	We followed him.
6235_36641_000048_000003	I distinguished the unpredictably contoured springings of a vault, supported by natural pillars firmly based on a granite foundation, like the weighty columns of Tuscan architecture. Why had our incomprehensible guide taken us into the depths of this underwater crypt?	I distinguished the unpredictably contoured springings of a vault, supported by natural pillars firmly based on a granite foundation, like the weighty columns of Tuscan architecture. Why had our incomprehensible guide taken us into the depths of this underwater crypt?
6235_36641_000048_000004	I would soon find out.	I would soon find out.
6235_36641_000049_000000	After going down a fairly steep slope, our feet trod the floor of a sort of circular pit.	After going down a fairly steep slope, our feet trod the floor of a sort of circular pit.
6235_36641_000051_000000	I approached this phenomenal mollusk.	I approached this phenomenal mollusk.
6235_36641_000051_000001	Its mass of filaments attached it to a table of granite, and there it grew by itself in the midst of the cave's calm waters.	Its mass of filaments attached it to a table of granite, and there it grew by itself in the midst of the cave's calm waters.
6235_36641_000051_000002	I estimated the weight of this giant clam at 300 kilograms.	I estimated the weight of this giant clam at three hundred kilograms.
6235_36641_000052_000001	I was mistaken.	I was mistaken.
6235_36641_000052_000002	Captain Nemo had an explicit personal interest in checking on the current condition of this giant clam.	Captain Nemo had an explicit personal interest in checking on the current condition of this giant clam.
6235_36641_000053_000000	The mollusk's two valves were partly open.	The mollusk's two valves were partly open.
6235_36641_000055_000000	I then understood Captain Nemo's intent.	I then understood Captain Nemo's intent.
6235_36641_000055_000003	Perhaps, following the examples of oyster farmers in China and India, he had even predetermined the creation of this pearl by sticking under the mollusk's folds some piece of glass or metal that was gradually covered with mother-of-pearl. In any case, comparing this pearl to others I already knew about, and to those shimmering in the captain's collection, I estimated that it was worth at least 10,000,000 francs.	Perhaps, following the examples of oyster farmers in China and India, he had even predetermined the creation of this pearl by sticking under the mollusk's folds some piece of glass or metal that was gradually covered with mother of pearl. In any case, comparing this pearl to others I already knew about, and to those shimmering in the captain's collection, I estimated that it was worth at least ten million francs.
6235_36641_000056_000000	Our visit to this opulent giant clam came to an end. Captain Nemo left the cave, and we climbed back up the bank of shellfish in the midst of these clear waters not yet disturbed by divers at work.	Our visit to this opulent giant clam came to an end. Captain Nemo left the cave, and we climbed back up the bank of shellfish in the midst of these clear waters not yet disturbed by divers at work.
6235_36641_000057_000000	We walked by ourselves, genuine loiterers stopping or straying as our fancies dictated.	We walked by ourselves, genuine loiterers stopping or straying as our fancies dictated.
6235_36641_000057_000001	For my part, I was no longer worried about those dangers my imagination had so ridiculously exaggerated. The shallows drew noticeably closer to the surface of the sea, and soon, walking in only a meter of water, my head passed well above the level of the ocean.	For my part, I was no longer worried about those dangers my imagination had so ridiculously exaggerated. The shallows drew noticeably closer to the surface of the sea, and soon, walking in only a meter of water, my head passed well above the level of the ocean.
6235_36641_000057_000002	Conseil rejoined me, and gluing his huge copper capsule to mine, his eyes gave me a friendly greeting. But this lofty plateau measured only a few fathoms, and soon we reentered Our Element.	Conseil rejoined me, and gluing his huge copper capsule to mine, his eyes gave me a friendly greeting. But this lofty plateau measured only a few fathoms, and soon we reentered Our Element.
6235_36641_000057_000003	I think I've now earned the right to dub it that.	I think I've now earned the right to dub it that.
6235_36641_000058_000000	Ten minutes later, Captain Nemo stopped suddenly.	Ten minutes later, Captain Nemo stopped suddenly.
6235_36641_000058_000002	No.	no
6235_36641_000059_000000	Five meters away a shadow appeared and dropped to the seafloor. The alarming idea of sharks crossed my mind.	Five meters away a shadow appeared and dropped to the seafloor. The alarming idea of sharks crossed my mind.
6235_36641_000060_000000	It was a man, a living man, a black Indian fisherman, a poor devil who no doubt had come to gather what he could before harvest time. I saw the bottom of his dinghy, moored a few feet above his head. He would dive and go back up in quick succession.	It was a man, a living man, a black Indian fisherman, a poor devil who no doubt had come to gather what he could before harvest time. I saw the bottom of his dinghy, moored a few feet above his head. He would dive and go back up in quick succession.
6235_36641_000061_000000	This diver didn't see us.	This diver didn't see us.
6235_36641_000061_000001	A shadow cast by our crag hid us from his view.	A shadow cast by our crag hid us from his view.
6235_36641_000062_000000	So he went up and down several times.	So he went up and down several times.
6235_36641_000062_000001	He gathered only about ten shellfish per dive, because he had to tear them from the banks where each clung with its tough mass of filaments. And how many of these oysters for which he risked his life would have no pearl in them!	He gathered only about ten shellfish per dive, because he had to tear them from the banks where each clung with its tough mass of filaments. And how many of these oysters for which he risked his life would have no pearl in them!
6235_36641_000063_000000	I observed him with great care.	I observed him with great care.
6235_36641_000064_000000	I understood his fear.	I understood his fear.
6235_36641_000064_000001	A gigantic shadow appeared above the poor diver. It was a shark of huge size, moving in diagonally, eyes ablaze, jaws wide open!	A gigantic shadow appeared above the poor diver. It was a shark of huge size, moving in diagonally, eyes ablaze, jaws wide open!
6235_36641_000065_000000	I was speechless with horror, unable to make a single movement.	I was speechless with horror, unable to make a single movement.
6235_36641_000067_000000	This scene lasted barely a few seconds.	This scene lasted barely a few seconds.
6235_36641_000069_000000	I can see Captain Nemo's bearing to this day.	I can see Captain Nemo's bearing to this day.
6235_36641_000070_000000	The shark bellowed, so to speak.	The shark bellowed, so to speak.
6235_36641_000070_000001	Blood was pouring into the waves from its wounds.	Blood was pouring into the waves from its wounds.
6235_36641_000072_000000	I wanted to run to the captain's rescue.	I wanted to run to the captain's rescue.
6235_36641_000072_000001	But I was transfixed with horror, unable to move.	But I was transfixed with horror, unable to move.
6235_36641_000073_000000	I stared, wild-eyed.	I stared, wild eyed.
6235_36641_000073_000002	Then the shark's jaws opened astoundingly wide, like a pair of industrial shears, and that would have been the finish of Captain Nemo had not Ned Land, quick as thought, rushed forward with his harpoon and driven its dreadful point into the shark's underside.	Then the shark's jaws opened astoundingly wide, like a pair of industrial shears, and that would have been the finish of Captain Nemo had not Ned Land, quick as thought, rushed forward with his harpoon and driven its dreadful point into the shark's underside.
6235_36641_000074_000000	The waves were saturated with masses of blood.	The waves were saturated with masses of blood.
6235_36641_000074_000002	Ned Land hadn't missed his target. This was the monster's death rattle.	Ned Land hadn't missed his target. This was the monster's death rattle.
