6497_234067_000000_000000	III.	three.	false	2.73	10.8	20.655968
6497_234067_000001_000000	Mildred did not see Alfred again.	Mildred did not see Alfred again.	true	10.8	13.03	16
6497_234067_000001_000001	In the pauses of her painting she wondered if he thought of her, if he missed her.	In the pauses of her painting she wondered if he thought of her, if he missed her.	true	13.37	17.98	21.670036
6497_234067_000001_000002	Something had gone out of her life, but a great deal more had come into it.	Something had gone out of her life, but a great deal more had come into it.	true	18.71	22.87	19.85867
6497_234067_000002_000000	Mr. Hoskin, a young painter, whose pictures were sometimes rejected in the Academy, but who was a little lion in the minor exhibitions, came once a week to give her lessons, and when she went to town she called at his studio with her sketches.	mr Hoskin, a young painter, whose pictures were sometimes rejected in the Academy, but who was a little lion in the minor exhibitions, came once a week to give her lessons, and when she went to town she called at his studio with her sketches.	false	23.6	38.77	19
6497_234067_000002_000001	Mr. Hoskin's studio was near the King's Road, the last of a row of red houses, with gables, cross- beams, and palings.	mr Hoskin's studio was near the King's Road, the last of a row of red houses, with gables, cross beams, and palings.	true	39.8	48.49	19
6497_234067_000002_000002	He was a good-looking, blond man, somewhat inclined to the poetical and melancholy type; his hair bristled, and he wore a close-cut red beard; the moustache was long and silky; there was a gentle, pathetic look in his pale blue eyes; and a slight hesitation of speech, an inability to express himself in words, created a passing impression of a rather foolish, tiresome person.	He was a good looking, blond man, somewhat inclined to the poetical and melancholy type; his hair bristled, and he wore a close cut red beard; the moustache was long and silky; there was a gentle, pathetic look in his pale blue eyes; and a slight hesitation of speech, an inability to express himself in words, created a passing impression of a rather foolish, tiresome person.	true	48.65	75.34	20.192122
6497_234067_000002_000003	But beneath this exterior there lay a deep, true nature, which found expression in twilit landscapes, the tenderness of cottage lights in the gloaming, vague silhouettes, and vague skies and fields.	But beneath this exterior there lay a deep, true nature, which found expression in twilit landscapes, the tenderness of cottage lights in the gloaming, vague silhouettes, and vague skies and fields.	true	76.1	89.8	21.324034
6497_234067_000002_000004	Ralph Hoskin was very poor: his pathetic pictures did not find many purchasers, and he lived principally by teaching.	Ralph Hoskin was very poor: his pathetic pictures did not find many purchasers, and he lived principally by teaching.	true	90.35	99.37	21.582712
6497_234067_000003_000000	But he had not given Mildred her fourth lesson in landscape painting when he received an advantageous offer to copy two pictures by Turner in the National Gallery.	But he had not given Mildred her fourth lesson in landscape painting when he received an advantageous offer to copy two pictures by Turner in the National Gallery.	true	100.13	110.89	22.847307
6497_234067_000003_000001	Would it be convenient to her to take her lesson on Friday instead of on Thursday?	Would it be convenient to her to take her lesson on Friday instead of on Thursday?	false	111.11	115.93	18
6497_234067_000003_000002	She listened to him, her eyes wide open, and then in her little allusive way suggested that she would like to copy something.	She listened to him, her eyes wide open, and then in her little allusive way suggested that she would like to copy something.	false	116.51	124.86	17.884735
6497_234067_000003_000003	She might as well take her lesson in the National Gallery as in Sutton.	She might as well take her lesson in the National Gallery as in Sutton.	true	124.86	128.86	14
6497_234067_000003_000004	Besides, he would be able to take her round the gallery and explain the merits of the pictures.	Besides, he would be able to take her round the gallery and explain the merits of the pictures.	true	129.2	134.89	17.029182
6497_234067_000004_000000	She was anxious to get away from Sutton, and the prospect of long days spent in London pleased her, and on the following Thursday Harold took her up to London by the ten minutes past nine.	She was anxious to get away from Sutton, and the prospect of long days spent in London pleased her, and on the following Thursday Harold took her up to London by the ten minutes past nine.	true	135.74	147.67	20
6497_234067_000004_000001	For the first time she found something romantic in that train.	For the first time she found something romantic in that train.	true	148.31	151.96	20
6497_234067_000004_000002	They drove from Victoria in a. hansom.	They drove from Victoria in a. hansom.	true	152.42	155.1	19
6497_234067_000004_000003	Mr. Hoskin was waiting for her on the steps of the National Gallery.	mr Hoskin was waiting for her on the steps of the National Gallery.	false	155.1	159.61	21
6497_234067_000005_000000	'I'm so frightened,' she said; 'I'm afraid I don't paint well enough.'	'I'm so frightened,' she said; 'I'm afraid I don't paint well enough.'	true	160.34	164.65	22.59471
6497_234067_000006_000000	'You'll get on all right.	'You'll get on all right.	true	165.35	166.755	19.46285
6497_234067_000006_000001	I'll see you through.	I'll see you through.	true	166.755	168.1	18.191183
6497_234067_000006_000002	This way.	This way.	true	168.11	168.88	25.015406
6497_234067_000006_000003	I've got your easel, and your place is taken.'	I've got your easel, and your place is taken.'	true	169.13	171.88	21.093239
6497_234067_000007_000000	They went up to the galleries.	They went up to the galleries.	true	172.46	174.45	24
