5386_4145_000000_000000	CHAPTER X	CHAPTER ten	false	0.39	6.63	20.365623
5386_4145_000001_000000	THE YOUNG CHRISTIAN	THE YOUNG CHRISTIAN	false	6.63	20.05	21.322079
5386_4145_000002_000000	"Here we see God dealing in slaves; giving them to his own favourite child [Abraham], a man of superlative worth, and as a reward for his eminent goodness."--Rev.	"Here we see God dealing in slaves; giving them to his own favourite child [Abraham], a man of superlative worth, and as a reward for his eminent goodness."--Rev.	true	21.32	31.2	20.601278
5386_4145_000002_000001	Theodore Clapp, of New Orleans.	Theodore Clapp, of New Orleans.	true	31.2	33.13	24.80605
5386_4145_000003_000000	ON Carlton's return the next day from the farm, he was overwhelmed with questions from Mr. Peck, as to what he thought of the plantation, the condition of the Negroes, Huckelby and Snyder; and especially how he liked the sermon of the latter.	ON Carlton's return the next day from the farm, he was overwhelmed with questions from mr Peck, as to what he thought of the plantation, the condition of the Negroes, Huckelby and Snyder; and especially how he liked the sermon of the latter.	false	34.31	46.36	21.261452
5386_4145_000003_000001	Mr. Peck was a kind of a patriarch in his own way.	mr Peck was a kind of a patriarch in his own way.	true	46.97	49.81	23.829004
5386_4145_000003_000002	To begin with, he was a man of some talent.	To begin with, he was a man of some talent.	true	50.12	52.66	23.68618
5386_4145_000003_000003	He not only had a good education, but was a man of great eloquence, and had a wonderful command of language.	He not only had a good education, but was a man of great eloquence, and had a wonderful command of language.	true	52.91	58.12	18
5386_4145_000003_000004	He too either had, or thought he had, poetical genius; and was often sending contributions to the Natchez Free Trader, and other periodicals.	He too either had, or thought he had, poetical genius; and was often sending contributions to the Natchez Free Trader, and other periodicals.	true	58.64	66.64	20.141184
5386_4145_000003_000005	In the way of raising contributions for foreign missions, he took the lead of all others in his neighbourhood. Everything he did, he did for the "glory of God," as he said: he quoted Scripture for almost everything he did.	In the way of raising contributions for foreign missions, he took the lead of all others in his neighbourhood. Everything he did, he did for the "glory of God," as he said: he quoted Scripture for almost everything he did.	true	67.19	79.36	20.188717
5386_4145_000003_000006	Being in good circumstances, he was able to give to almost all benevolent causes to which he took a fancy.	Being in good circumstances, he was able to give to almost all benevolent causes to which he took a fancy.	true	79.85	85.18	19
5386_4145_000003_000007	He was a most loving father, and his daughter exercised considerable influence over him, and owing to her piety and judgment, that influence had a beneficial effect. Carlton, though a schoolfellow of the parson's, was nevertheless nearly ten years his junior; and though not an avowed infidel, was, however, a freethinker, and one who took no note of to-morrow.	He was a most loving father, and his daughter exercised considerable influence over him, and owing to her piety and judgment, that influence had a beneficial effect. Carlton, though a schoolfellow of the parson's, was nevertheless nearly ten years his junior; and though not an avowed infidel, was, however, a freethinker, and one who took no note of to morrow.	true	85.82	106.24	21.90807
