246_122825_000000_000000	XV	fifteen	true	21.9	22.93	22.315796
246_122825_000001_000000	The Beginning of Vacation	The Beginning of Vacation	true	23.57	25.29	19
246_122825_000002_000000	Anne locked the schoolhouse door on a still, yellow evening, when the winds were purring in the spruces around the playground, and the shadows were long and lazy by the edge of the woods.	Anne locked the schoolhouse door on a still, yellow evening, when the winds were purring in the spruces around the playground, and the shadows were long and lazy by the edge of the woods.	false	25.29	37.3	21
246_122825_000002_000001	She dropped the key into her pocket with a sigh of satisfaction.	She dropped the key into her pocket with a sigh of satisfaction.	true	37.64	41.53	18
246_122825_000002_000002	The school year was ended, she had been reengaged for the next, with many expressions of satisfaction. . . . only Mr. Harmon Andrews told her she ought to use the strap oftener . . . and two delightful months of a well-earned vacation beckoned her invitingly.	The school year was ended, she had been reengaged for the next, with many expressions of satisfaction. . . . only mr Harmon Andrews told her she ought to use the strap oftener . . . and two delightful months of a well earned vacation beckoned her invitingly.	true	41.96	58.17	19
246_122825_000002_000003	Anne felt at peace with the world and herself as she walked down the hill with her basket of flowers in her hand. Since the earliest mayflowers Anne had never missed her weekly pilgrimage to Matthew's grave.	Anne felt at peace with the world and herself as she walked down the hill with her basket of flowers in her hand. Since the earliest mayflowers Anne had never missed her weekly pilgrimage to Matthew's grave.	false	58.17	71.29	20.840872
246_122825_000002_000004	Everyone else in Avonlea, except Marilla, had already forgotten quiet, shy, unimportant Matthew Cuthbert; but his memory was still green in Anne's heart and always would be.	Everyone else in Avonlea, except Marilla, had already forgotten quiet, shy, unimportant matthew Cuthbert; but his memory was still green in Anne's heart and always would be.	false	71.63	82.93	16
246_122825_000002_000005	She could never forget the kind old man who had been the first to give her the love and sympathy her starved childhood had craved.	She could never forget the kind old man who had been the first to give her the love and sympathy her starved childhood had craved.	true	83.3	91	18
246_122825_000003_000000	At the foot of the hill a boy was sitting on the fence in the shadow of the spruces . . . a boy with big, dreamy eyes and a beautiful, sensitive face.	At the foot of the hill a boy was sitting on the fence in the shadow of the spruces . . . a boy with big, dreamy eyes and a beautiful, sensitive face.	true	91.76	101.11	18
246_122825_000003_000001	He swung down and joined Anne, smiling; but there were traces of tears on his cheeks.	He swung down and joined Anne, smiling; but there were traces of tears on his cheeks.	true	101.39	106.66	16
246_122825_000004_000000	"I thought I'd wait for you, teacher, because I knew you were going to the graveyard," he said, slipping his hand into hers.	"I thought I'd wait for you, teacher, because I knew you were going to the graveyard," he said, slipping his hand into hers.	true	107.75	114.58	17
246_122825_000004_000001	"I'm going there, too . . .	"I'm going there, too . . .	true	114.86	116.29	20.555843
246_122825_000004_000002	I'm taking this bouquet of geraniums to put on Grandpa Irving's grave for grandma.	I'm taking this bouquet of geraniums to put on Grandpa Irving's grave for grandma.	true	116.63	121.63	18
