764_132272_000002_000000	Of Revenge	Of Revenge
764_132272_000003_000001	For as for the first wrong, it doth but offend the law; but the revenge of that wrong, putteth the law out of office.	For as for the first wrong, it doth but offend the law; but the revenge of that wrong, putteth the law out of office.
764_132272_000003_000003	And Solomon, I am sure, saith, It is the glory of a man, to pass by an offence.	And Solomon, I am sure, saith, It is the glory of a man, to pass by an offence.
764_132272_000003_000004	That which is past is gone, and irrevocable; and wise men have enough to do, with things present and to come; therefore they do but trifle with themselves, that labor in past matters.	That which is past is gone, and irrevocable; and wise men have enough to do, with things present and to come; therefore they do but trifle with themselves, that labor in past matters.
764_132272_000003_000005	There is no man doth a wrong, for the wrong's sake; but thereby to purchase himself profit, or pleasure, or honor, or the like.	There is no man doth a wrong, for the wrong's sake; but thereby to purchase himself profit, or pleasure, or honor, or the like.
764_132272_000003_000008	Some, when they take revenge, are desirous, the party should know, whence it cometh.	Some, when they take revenge, are desirous, the party should know, whence it cometh.
764_132272_000003_000010	For the delight seemeth to be, not so much in doing the hurt, as in making the party repent.	For the delight seemeth to be, not so much in doing the hurt, as in making the party repent.
764_132272_000003_000011	But base and crafty cowards, are like the arrow that flieth in the dark.	But base and crafty cowards, are like the arrow that flieth in the dark.
764_132272_000003_000012	Cosmus, duke of Florence, had a desperate saying against perfidious or neglecting friends, as if those wrongs were unpardonable; You shall read (saith he) that we are commanded to forgive our enemies; but you never read, that we are commanded to forgive our friends.	Cosmus, duke of Florence, had a desperate saying against perfidious or neglecting friends, as if those wrongs were unpardonable; You shall read (saith he) that we are commanded to forgive our enemies; but you never read, that we are commanded to forgive our friends.
764_132272_000003_000013	But yet the spirit of Job was in a better tune: Shall we (saith he) take good at God's hands, and not be content to take evil also?	But yet the spirit of Job was in a better tune: Shall we (saith he) take good at God's hands, and not be content to take evil also?
764_132272_000003_000014	And so of friends in a proportion.	And so of friends in a proportion.
764_132272_000003_000016	Public revenges are for the most part fortunate; as that for the death of Caesar; for the death of Pertinax; for the death of Henry the Third of France; and many more.	Public revenges are for the most part fortunate; as that for the death of Caesar; for the death of Pertinax; for the death of Henry the Third of France; and many more.
764_132272_000005_000001	Bona rerum secundarum optabilia; adversarum mirabilia.	Bona rerum secundarum optabilia; adversarum mirabilia.
764_132272_000005_000002	Certainly if miracles be the command over nature, they appear most in adversity.	Certainly if miracles be the command over nature, they appear most in adversity.
764_132272_000005_000003	It is yet a higher speech of his, than the other (much too high for a heathen), It is true greatness, to have in one the frailty of a man, and the security of a God.	It is yet a higher speech of his, than the other (much too high for a heathen), It is true greatness, to have in one the frailty of a man, and the security of a God.
764_132272_000005_000006	But to speak in a mean.	But to speak in a mean.
764_132272_000005_000007	The virtue of prosperity, is temperance; the virtue of adversity, is fortitude; which in morals is the more heroical virtue.	The virtue of prosperity, is temperance; the virtue of adversity, is fortitude; which in morals is the more heroical virtue.
764_132272_000005_000008	Prosperity is the blessing of the Old Testament; adversity is the blessing of the New; which carrieth the greater benediction, and the clearer revelation of God's favor.	Prosperity is the blessing of the Old Testament; adversity is the blessing of the New; which carrieth the greater benediction, and the clearer revelation of God's favor.
764_132272_000005_000010	Prosperity is not without many fears and distastes; and adversity is not without comforts and hopes.	Prosperity is not without many fears and distastes; and adversity is not without comforts and hopes.
764_132272_000005_000011	We see in needle-works and embroideries, it is more pleasing to have a lively work, upon a sad and solemn ground, than to have a dark and melancholy work, upon a lightsome ground: judge therefore of the pleasure of the heart, by the pleasure of the eye.	We see in needle works and embroideries, it is more pleasing to have a lively work, upon a sad and solemn ground, than to have a dark and melancholy work, upon a lightsome ground: judge therefore of the pleasure of the heart, by the pleasure of the eye.
764_132272_000007_000001	Therefore it is the weaker sort of politics, that are the great dissemblers.	Therefore it is the weaker sort of politics, that are the great dissemblers.
764_132272_000008_000000	Tacitus saith, Livia sorted well with the arts of her husband, and dissimulation of her son; attributing arts or policy to Augustus, and dissimulation to Tiberius.	Tacitus saith, Livia sorted well with the arts of her husband, and dissimulation of her son; attributing arts or policy to Augustus, and dissimulation to Tiberius.
764_132272_000008_000002	These properties, of arts or policy, and dissimulation or closeness, are indeed habits and faculties several, and to be distinguished.	These properties, of arts or policy, and dissimulation or closeness, are indeed habits and faculties several, and to be distinguished.
764_132272_000008_000004	But if a man cannot obtain to that judgment, then it is left to him generally, to be close, and a dissembler.	But if a man cannot obtain to that judgment, then it is left to him generally, to be close, and a dissembler.
764_132272_000009_000001	The first, closeness, reservation, and secrecy; when a man leaveth himself without observation, or without hold to be taken, what he is.	The first, closeness, reservation, and secrecy; when a man leaveth himself without observation, or without hold to be taken, what he is.
764_132272_000009_000003	And the third, simulation, in the affirmative; when a man industriously and expressly feigns and pretends to be, that he is not.	And the third, simulation, in the affirmative; when a man industriously and expressly feigns and pretends to be, that he is not.
764_132272_000010_000000	For the first of these, secrecy; it is indeed the virtue of a confessor. And assuredly, the secret man heareth many confessions.	For the first of these, secrecy; it is indeed the virtue of a confessor. And assuredly, the secret man heareth many confessions.
764_132272_000010_000001	For who will open himself, to a blab or a babbler?	For who will open himself, to a blab or a babbler?
764_132272_000010_000002	But if a man be thought secret, it inviteth discovery; as the more close air sucketh in the more open; and as in confession, the revealing is not for worldly use, but for the ease of a man's heart, so secret men come to the knowledge of many things in that kind; while men rather discharge their minds, than impart their minds.	But if a man be thought secret, it inviteth discovery; as the more close air sucketh in the more open; and as in confession, the revealing is not for worldly use, but for the ease of a man's heart, so secret men come to the knowledge of many things in that kind; while men rather discharge their minds, than impart their minds.
764_132272_000010_000005	As for talkers and futile persons, they are commonly vain and credulous withal.	As for talkers and futile persons, they are commonly vain and credulous withal.
764_132272_000010_000006	For he that talketh what he knoweth, will also talk what he knoweth not.	For he that talketh what he knoweth, will also talk what he knoweth not.
764_132272_000010_000007	Therefore set it down, that an habit of secrecy, is both politic and moral.	Therefore set it down, that an habit of secrecy, is both politic and moral.
764_132272_000010_000008	And in this part, it is good that a man's face give his tongue leave to speak.	And in this part, it is good that a man's face give his tongue leave to speak.
