1473_135657_000000_000000	OF LIBERTY AND NECESSITY.	OF LIBERTY AND NECESSITY.	true	26.46	28.48	22.547062
1473_135657_000001_000000	PART I.	PART one	true	30.02	31.02	22.394667
1473_135657_000002_000000	62.	sixty two.	false	31.02	32.67	-2
1473_135657_000002_000001	It might reasonably be expected in questions which have been canvassed and disputed with great eagerness, since the first origin of science and philosophy, that the meaning of all the terms, at least, should have been agreed upon among the disputants; and our enquiries, in the course of two thousand years, been able to pass from words to the true and real subject of the controversy.	It might reasonably be expected in questions which have been canvassed and disputed with great eagerness, since the first origin of science and philosophy, that the meaning of all the terms, at least, should have been agreed upon among the disputants; and our enquiries, in the course of two thousand years, been able to pass from words to the true and real subject of the controversy.	true	32.67	53.68	19
1473_135657_000002_000002	For how easy may it seem to give exact definitions of the terms employed in reasoning, and make these definitions, not the mere sound of words, the object of future scrutiny and examination?	For how easy may it seem to give exact definitions of the terms employed in reasoning, and make these definitions, not the mere sound of words, the object of future scrutiny and examination?	false	56.06	67.66	19
1473_135657_000002_000003	But if we consider the matter more narrowly, we shall be apt to draw a quite opposite conclusion.	But if we consider the matter more narrowly, we shall be apt to draw a quite opposite conclusion.	false	69.86	75.16	20.601885
1473_135657_000002_000004	From this circumstance alone, that a controversy has been long kept on foot, and remains still undecided, we may presume that there is some ambiguity in the expression, and that the disputants affix different ideas to the terms employed in the controversy.	From this circumstance alone, that a controversy has been long kept on foot, and remains still undecided, we may presume that there is some ambiguity in the expression, and that the disputants affix different ideas to the terms employed in the controversy.	false	75.74	89.77	17
1473_135657_000002_000005	For as the faculties of the mind are supposed to be naturally alike in every individual; otherwise nothing could be more fruitless than to reason or dispute together; it were impossible, if men affix the same ideas to their terms, that they could so long form different opinions of the same subject; especially when they communicate their views, and each party turn themselves on all sides, in search of arguments which may give them the victory over their antagonists.	For as the faculties of the mind are supposed to be naturally alike in every individual; otherwise nothing could be more fruitless than to reason or dispute together; it were impossible, if men affix the same ideas to their terms, that they could so long form different opinions of the same subject; especially when they communicate their views, and each party turn themselves on all sides, in search of arguments which may give them the victory over their antagonists.	false	91.28	121.45	18.955645
1473_135657_000002_000006	It is true, if men attempt the discussion of questions which lie entirely beyond the reach of human capacity, such as those concerning the origin of worlds, or the economy of the intellectual system or region of spirits, they may long beat the air in their fruitless contests, and never arrive at any determinate conclusion.	It is true, if men attempt the discussion of questions which lie entirely beyond the reach of human capacity, such as those concerning the origin of worlds, or the economy of the intellectual system or region of spirits, they may long beat the air in their fruitless contests, and never arrive at any determinate conclusion.	false	122.18	141.07	16
1473_135657_000002_000007	But if the question regard any subject of common life and experience, nothing, one would think, could preserve the dispute so long undecided but some ambiguous expressions, which keep the antagonists still at a distance, and hinder them from grappling with each other.	But if the question regard any subject of common life and experience, nothing, one would think, could preserve the dispute so long undecided but some ambiguous expressions, which keep the antagonists still at a distance, and hinder them from grappling with each other.	true	142.19	158.31	19.241533
1473_135657_000003_000000	63.	sixty three.	false	158.31	159.27	-5
1473_135657_000003_000001	This has been the case in the long disputed question concerning liberty and necessity; and to so remarkable a degree that, if I be not much mistaken, we shall find, that all mankind, both learned and ignorant, have always been of the same opinion with regard to this subject, and that a few intelligible definitions would immediately have put an end to the whole controversy.	This has been the case in the long disputed question concerning liberty and necessity; and to so remarkable a degree that, if I be not much mistaken, we shall find, that all mankind, both learned and ignorant, have always been of the same opinion with regard to this subject, and that a few intelligible definitions would immediately have put an end to the whole controversy.	false	159.27	180.55	16
1473_135657_000003_000002	I own that this dispute has been so much canvassed on all hands, and has led philosophers into such a labyrinth of obscure sophistry, that it is no wonder, if a sensible reader indulge his ease so far as to turn a deaf ear to the proposal of such a question, from which he can expect neither instruction or entertainment.	I own that this dispute has been so much canvassed on all hands, and has led philosophers into such a labyrinth of obscure sophistry, that it is no wonder, if a sensible reader indulge his ease so far as to turn a deaf ear to the proposal of such a question, from which he can expect neither instruction or entertainment.	true	181.28	200.29	18
1473_135657_000003_000003	But the state of the argument here proposed may, perhaps, serve to renew his attention; as it has more novelty, promises at least some decision of the controversy, and will not much disturb his ease by any intricate or obscure reasoning.	But the state of the argument here proposed may, perhaps, serve to renew his attention; as it has more novelty, promises at least some decision of the controversy, and will not much disturb his ease by any intricate or obscure reasoning.	false	201.02	217.3	20
