3615_14674_000001_000000	1.--Italian Tongue.	one.--Italian Tongue.
3615_14674_000002_000000	Boil a beef tongue until tender; skin and slice thin.	Boil a beef tongue until tender; skin and slice thin.
3615_14674_000002_000001	Heat 2 tablespoonfuls of butter.	Heat two tablespoonfuls of butter.
3615_14674_000002_000002	Add 1 chopped onion and 2 cloves of garlic minced fine.	Add one chopped onion and two cloves of garlic minced fine.
3615_14674_000002_000004	Let boil.	Let boil.
3615_14674_000002_000006	Simmer ten minutes.	Simmer ten minutes.
3615_14674_000002_000007	Serve with baked macaroni.	Serve with baked macaroni.
3615_14674_000003_000000	2.--German Prune Pudding.	two.--German Prune Pudding.
3615_14674_000004_000000	Cook 1 pound of prunes in a large saucepan with sliced lemon, a piece of stick cinnamon and brown sugar.	Cook one pound of prunes in a large saucepan with sliced lemon, a piece of stick cinnamon and brown sugar.
3615_14674_000004_000003	Add flour sifted with a teaspoonful of baking-powder. Make into a large roll; place in the centre of the prunes; cover with brown sugar and a tablespoonful of molasses and put in the oven to bake until done.	Add flour sifted with a teaspoonful of baking powder. Make into a large roll; place in the centre of the prunes; cover with brown sugar and a tablespoonful of molasses and put in the oven to bake until done.
3615_14674_000004_000004	Serve hot or cold.	Serve hot or cold.
3615_14674_000005_000000	3.--Swiss Pot Roast.	three.--Swiss Pot Roast.
3615_14674_000006_000000	Season a breast of veal with salt, pepper and ginger.	Season a breast of veal with salt, pepper and ginger.
3615_14674_000006_000001	Heat a cupful of dripping; lay the meat in the stew-pan with the dripping, 1 onion, some celery seed, carroway seed, a few peppercorns and parsley.	Heat a cupful of dripping; lay the meat in the stew pan with the dripping, one onion, some celery seed, carroway seed, a few peppercorns and parsley.
3615_14674_000006_000002	Cover and let stew slowly until nearly done; then add 1 cup of tomato-sauce and cook slowly until tender.	Cover and let stew slowly until nearly done; then add one cup of tomato sauce and cook slowly until tender.
3615_14674_000006_000003	Serve with baked potatoes.	Serve with baked potatoes.
3615_14674_000007_000000	4.--Mushrooms a la Bordelaise.	four.--Mushrooms a la Bordelaise.
3615_14674_000008_000000	Drain 1 can of mushrooms; chop 6 shallots very fine and saute in 1 tablespoonful of butter.	Drain one can of mushrooms; chop six shallots very fine and saute in one tablespoonful of butter.
3615_14674_000008_000001	Add the chopped mushrooms; sprinkle with salt, pepper, some chopped parsley and 1 minced bay-leaf.	Add the chopped mushrooms; sprinkle with salt, pepper, some chopped parsley and one minced bay leaf.
3615_14674_000008_000003	Serve hot on slices of French toast.	Serve hot on slices of French toast.
3615_14674_000009_000000	5.--Turkish Soup.	five.--Turkish Soup.
3615_14674_000010_000000	Season and fry some lamb chops; add 2 green peppers sliced thin, 1 onion chopped and an herb bouquet.	Season and fry some lamb chops; add two green peppers sliced thin, one onion chopped and an herb bouquet.
3615_14674_000010_000002	Pour all together and let cook until meat is very tender.	Pour all together and let cook until meat is very tender.
3615_14674_000010_000003	Serve hot.	Serve hot.
3615_14674_000011_000000	6.--Scotch Omelet.	six.--Scotch Omelet.
3615_14674_000012_000000	Boil young tender leeks in salted water; let drain.	Boil young tender leeks in salted water; let drain.
3615_14674_000012_000001	Chop to a fine mince and fry in hot butter.	Chop to a fine mince and fry in hot butter.
3615_14674_000012_000002	Add 6 well-beaten eggs, sprinkle with salt and pepper and fold into an omelet and serve on a hot dish.	Add six well beaten eggs, sprinkle with salt and pepper and fold into an omelet and serve on a hot dish.
