479_134717_000000_000000	BOOK XXII.	BOOK twenty two.	false	14.67	20.23	19.616693
479_134717_000000_000001	MEMORIES OF PRESIDENT LINCOLN	MEMORIES OF PRESIDENT LINCOLN	true	20.54	22.27	16
479_134717_000001_000000	When Lilacs Last in the Dooryard Bloom'd	When Lilacs Last in the Dooryard Bloom'd	true	22.73	25.42	17.516373
479_134717_000002_000000	1 When lilacs last in the dooryard bloom'd, And the great star early droop'd in the western sky in the night, I mourn'd, and yet shall mourn with ever-returning spring.	one When lilacs last in the dooryard bloom'd, And the great star early droop'd in the western sky in the night, I mourn'd, and yet shall mourn with ever returning spring.	true	25.94	36.01	19
479_134717_000003_000000	Ever-returning spring, trinity sure to me you bring, Lilac blooming perennial and drooping star in the west, And thought of him I love.	Ever returning spring, trinity sure to me you bring, Lilac blooming perennial and drooping star in the west, And thought of him I love.	true	36.38	44.68	17
479_134717_000004_000000	2 O powerful western fallen star! O shades of night--O moody, tearful night! O great star disappear'd--O the black murk that hides the star! O cruel hands that hold me powerless--O helpless soul of me! O harsh surrounding cloud that will not free my soul.	two O powerful western fallen star! O shades of night-O moody, tearful night! O great star disappear'd-O the black murk that hides the star! O cruel hands that hold me powerless-O helpless soul of me! O harsh surrounding cloud that will not free my soul.	false	45.32	63.82	19.95725
479_134717_000005_000000	3 In the dooryard fronting an old farm-house near the white-wash'd palings, Stands the lilac-bush tall-growing with heart-shaped leaves of rich green, With many a pointed blossom rising delicate, with the perfume strong I love, With every leaf a miracle--and from this bush in the dooryard, With delicate-color'd blossoms and heart-shaped leaves of rich green, A sprig with its flower I break.	three In the dooryard fronting an old farm house near the white wash'd palings, Stands the lilac bush tall growing with heart shaped leaves of rich green, With many a pointed blossom rising delicate, with the perfume strong I love, With every leaf a miracle-and from this bush in the dooryard, With delicate color'd blossoms and heart shaped leaves of rich green, A sprig with its flower I break.	false	64.73	89.58	19.315712
479_134717_000006_000000	4 In the swamp in secluded recesses, A shy and hidden bird is warbling a song.	four In the swamp in secluded recesses, A shy and hidden bird is warbling a song.	false	89.58	96.94	17.062126
479_134717_000007_000000	Solitary the thrush, The hermit withdrawn to himself, avoiding the settlements, Sings by himself a song.	Solitary the thrush, The hermit withdrawn to himself, avoiding the settlements, Sings by himself a song.	true	97.49	103.93	16
479_134717_000008_000000	Song of the bleeding throat, Death's outlet song of life, (for well dear brother I know, If thou wast not granted to sing thou wouldst surely die.)	Song of the bleeding throat, Death's outlet song of life, (for well dear brother I know, If thou wast not granted to sing thou wouldst surely die.)	false	104.33	113.08	18
479_134717_000009_000000	5 Over the breast of the spring, the land, amid cities, Amid lanes and through old woods, where lately the violets peep'd from the ground, spotting the gray debris, Amid the grass in the fields each side of the lanes, passing the endless grass, Passing the yellow-spear'd wheat, every grain from its shroud in the dark-brown fields uprisen, Passing the apple-tree blows of white and pink in the orchards, Carrying a corpse to where it shall rest in the grave, Night and day journeys a coffin.	five Over the breast of the spring, the land, amid cities, Amid lanes and through old woods, where lately the violets peep'd from the ground, spotting the gray debris, Amid the grass in the fields each side of the lanes, passing the endless grass, Passing the yellow spear'd wheat, every grain from its shroud in the dark brown fields uprisen, Passing the apple tree blows of white and pink in the orchards, Carrying a corpse to where it shall rest in the grave, Night and day journeys a coffin.	false	113.6	142.96	20
479_134717_000010_000000	6 Coffin that passes through lanes and streets, Through day and night with the great cloud darkening the land, With the pomp of the inloop'd flags with the cities draped in black, With the show of the States themselves as of crape-veil'd women standing, With processions long and winding and the flambeaus of the night, With the countless torches lit, with the silent sea of faces and the unbared heads, With the waiting depot, the arriving coffin, and the sombre faces, With dirges through the night, with the thousand voices rising strong and solemn, With all the mournful voices of the dirges pour'd around the coffin, The dim-lit churches and the shuddering organs--where amid these you journey, With the tolling tolling bells' perpetual clang, Here, coffin that slowly passes, I give you my sprig of lilac.	six Coffin that passes through lanes and streets, Through day and night with the great cloud darkening the land, With the pomp of the inloop'd flags with the cities draped in black, With the show of the States themselves as of crape veil'd women standing, With processions long and winding and the flambeaus of the night, With the countless torches lit, with the silent sea of faces and the unbared heads, With the waiting depot, the arriving coffin, and the sombre faces, With dirges through the night, with the thousand voices rising strong and solemn, With all the mournful voices of the dirges pour'd around the coffin, The dim lit churches and the shuddering organs-where amid these you journey, With the tolling tolling bells' perpetual clang, Here, coffin that slowly passes, I give you my sprig of lilac.	false	143.51	195.01	20
479_134717_000011_000000	7 (Nor for you, for one alone, Blossoms and branches green to coffins all I bring, For fresh as the morning, thus would I chant a song for you O sane and sacred death.	seven (Nor for you, for one alone, Blossoms and branches green to coffins all I bring, For fresh as the morning, thus would I chant a song for you O sane and sacred death.	true	195.8	207.31	18.162827
479_134717_000012_000000	All over bouquets of roses, O death, I cover you over with roses and early lilies, But mostly and now the lilac that blooms the first, Copious I break, I break the sprigs from the bushes, With loaded arms I come, pouring for you, For you and the coffins all of you O death.)	All over bouquets of roses, O death, I cover you over with roses and early lilies, But mostly and now the lilac that blooms the first, Copious I break, I break the sprigs from the bushes, With loaded arms I come, pouring for you, For you and the coffins all of you O death.)	false	207.53	225.04	18
479_134717_000013_000000	8 O western orb sailing the heaven, Now I know what you must have meant as a month since I walk'd, As I walk'd in silence the transparent shadowy night, As I saw you had something to tell as you bent to me night after night, As you droop'd from the sky low down as if to my side, (while the other stars all look'd on,) As we wander'd together the solemn night, (for something I know not what kept me from sleep,) As the night advanced, and I saw on the rim of the west how full you were of woe, As I stood on the rising ground in the breeze in the cool transparent night, As I watch'd where you pass'd and was lost in the netherward black of the night, As my soul in its trouble dissatisfied sank, as where you sad orb, Concluded, dropt in the night, and was gone.	eight O western orb sailing the heaven, Now I know what you must have meant as a month since I walk'd, As I walk'd in silence the transparent shadowy night, As I saw you had something to tell as you bent to me night after night, As you droop'd from the sky low down as if to my side, (while the other stars all look'd on,) As we wander'd together the solemn night, (for something I know not what kept me from sleep,) As the night advanced, and I saw on the rim of the west how full you were of woe, As I stood on the rising ground in the breeze in the cool transparent night, As I watch'd where you pass'd and was lost in the netherward black of the night, As my soul in its trouble dissatisfied sank, as where you sad orb, Concluded, dropt in the night, and was gone.	false	225.74	273.7	19.301195
479_134717_000014_000000	9 Sing on there in the swamp, O singer bashful and tender, I hear your notes, I hear your call, I hear, I come presently, I understand you, But a moment I linger, for the lustrous star has detain'd me, The star my departing comrade holds and detains me.	nine Sing on there in the swamp, O singer bashful and tender, I hear your notes, I hear your call, I hear, I come presently, I understand you, But a moment I linger, for the lustrous star has detain'd me, The star my departing comrade holds and detains me.	true	274.79	292.27	19.139145
479_134717_000015_000000	10 O how shall I warble myself for the dead one there I loved? And how shall I deck my song for the large sweet soul that has gone? And what shall my perfume be for the grave of him I love?	ten O how shall I warble myself for the dead one there I loved? And how shall I deck my song for the large sweet soul that has gone? And what shall my perfume be for the grave of him I love?	true	293.33	305.5	20.329
479_134717_000016_000000	Sea-winds blown from east and west, Blown from the Eastern sea and blown from the Western sea, till there on the prairies meeting, These and with these and the breath of my chant, I'll perfume the grave of him I love.	Sea winds blown from east and west, Blown from the Eastern sea and blown from the Western sea, till there on the prairies meeting, These and with these and the breath of my chant, I'll perfume the grave of him I love.	false	306.2	318.79	17
479_134717_000017_000000	11 O what shall I hang on the chamber walls? And what shall the pictures be that I hang on the walls, To adorn the burial-house of him I love? Pictures of growing spring and farms and homes, With the Fourth-month eve at sundown, and the gray smoke lucid and bright, With floods of the yellow gold of the gorgeous, indolent, sinking sun, burning, expanding the air, With the fresh sweet herbage under foot, and the pale green leaves of the trees prolific, In the distance the flowing glaze, the breast of the river, with a wind-dapple here and there, With ranging hills on the banks, with many a line against the sky, and shadows, And the city at hand with dwellings so dense, and stacks of chimneys, And all the scenes of life and the workshops, and the workmen homeward returning.	eleven O what shall I hang on the chamber walls? And what shall the pictures be that I hang on the walls, To adorn the burial house of him I love? Pictures of growing spring and farms and homes, With the Fourth month eve at sundown, and the gray smoke lucid and bright, With floods of the yellow gold of the gorgeous, indolent, sinking sun, burning, expanding the air, With the fresh sweet herbage under foot, and the pale green leaves of the trees prolific, In the distance the flowing glaze, the breast of the river, with a wind dapple here and there, With ranging hills on the banks, with many a line against the sky, and shadows, And the city at hand with dwellings so dense, and stacks of chimneys, And all the scenes of life and the workshops, and the workmen homeward returning.	false	319.67	364.87	18
479_134717_000018_000000	12 Lo, body and soul--this land, My own Manhattan with spires, and the sparkling and hurrying tides, and the ships, The varied and ample land, the South and the North in the light, Ohio's shores and flashing Missouri, And ever the far-spreading prairies cover'd with grass and corn.	twelve Lo, body and soul-this land, My own Manhattan with spires, and the sparkling and hurrying tides, and the ships, The varied and ample land, the South and the North in the light, Ohio's shores and flashing Missouri, And ever the far spreading prairies cover'd with grass and corn.	false	365.63	384.13	18.362976
479_134717_000019_000000	Lo, the most excellent sun so calm and haughty, The violet and purple morn with just-felt breezes, The gentle soft-born measureless light, The miracle spreading bathing all, the fulfill'd noon, The coming eve delicious, the welcome night and the stars, Over my cities shining all, enveloping man and land.	Lo, the most excellent sun so calm and haughty, The violet and purple morn with just felt breezes, The gentle soft born measureless light, The miracle spreading bathing all, the fulfill'd noon, The coming eve delicious, the welcome night and the stars, Over my cities shining all, enveloping man and land.	false	384.38	404.26	17
479_134717_000020_000000	13 Sing on, sing on you gray-brown bird, Sing from the swamps, the recesses, pour your chant from the bushes, Limitless out of the dusk, out of the cedars and pines.	thirteen Sing on, sing on you gray brown bird, Sing from the swamps, the recesses, pour your chant from the bushes, Limitless out of the dusk, out of the cedars and pines.	true	405.23	416.59	17
479_134717_000021_000000	Sing on dearest brother, warble your reedy song, Loud human song, with voice of uttermost woe.	Sing on dearest brother, warble your reedy song, Loud human song, with voice of uttermost woe.	false	416.78	423.63	18
479_134717_000022_000000	O liquid and free and tender! O wild and loose to my soul--O wondrous singer! You only I hear--yet the star holds me, (but will soon depart,) Yet the lilac with mastering odor holds me.	O liquid and free and tender! O wild and loose to my soul-O wondrous singer! You only I hear-yet the star holds me, (but will soon depart,) Yet the lilac with mastering odor holds me.	false	423.63	436.24	18.646847
479_134717_000023_000000	14 Now while I sat in the day and look'd forth, In the close of the day with its light and the fields of spring, and the farmers preparing their crops, In the large unconscious scenery of my land with its lakes and forests, In the heavenly aerial beauty, (after the perturb'd winds and the storms,) Under the arching heavens of the afternoon swift passing, and the voices of children and women, The many-moving sea-tides, and I saw the ships how they sail'd, And the summer approaching with richness, and the fields all busy with labor, And the infinite separate houses, how they all went on, each with its meals and minutia of daily usages, And the streets how their throbbings throbb'd, and the cities pent-- lo, then and there, Falling upon them all and among them all, enveloping me with the rest, Appear'd the cloud, appear'd the long black trail, And I knew death, its thought, and the sacred knowledge of death.	fourteen Now while I sat in the day and look'd forth, In the close of the day with its light and the fields of spring, and the farmers preparing their crops, In the large unconscious scenery of my land with its lakes and forests, In the heavenly aerial beauty, (after the perturb'd winds and the storms,) Under the arching heavens of the afternoon swift passing, and the voices of children and women, The many moving sea tides, and I saw the ships how they sail'd, And the summer approaching with richness, and the fields all busy with labor, And the infinite separate houses, how they all went on, each with its meals and minutia of daily usages, And the streets how their throbbings throbb'd, and the cities pent- lo, then and there, Falling upon them all and among them all, enveloping me with the rest, Appear'd the cloud, appear'd the long black trail, And I knew death, its thought, and the sacred knowledge of death.	false	436.52	491.05	19
479_134717_000024_000000	Then with the knowledge of death as walking one side of me, And the thought of death close-walking the other side of me, And I in the middle as with companions, and as holding the hands of companions, I fled forth to the hiding receiving night that talks not, Down to the shores of the water, the path by the swamp in the dimness, To the solemn shadowy cedars and ghostly pines so still.	Then with the knowledge of death as walking one side of me, And the thought of death close walking the other side of me, And I in the middle as with companions, and as holding the hands of companions, I fled forth to the hiding receiving night that talks not, Down to the shores of the water, the path by the swamp in the dimness, To the solemn shadowy cedars and ghostly pines so still.	false	491.42	515.56	18.91685
