949_134657_000000_000000	[Footnote 67: See Ammian. xxii.	[Footnote sixty seven: See Ammian. x x i i.	false	0	2.58	21.432308
949_134657_000000_000001	6, and Vales, ad locum; and the Codex Theodosianus, l.	six, and Vales, ad locum; and the Codex Theodosianus, l.	false	2.58	5.61	22
949_134657_000000_000002	ii.	ii.	false	5.61	6.03	24.001791
949_134657_000000_000003	tit. xxxix.	tit. x x x i x.	false	6.03	8.55	14.243151
949_134657_000000_000004	leg. i.; and Godefroy's Commentary, tom.	leg. i.; and Godefroy's Commentary, tom.	false	8.55	11.04	22.047878
949_134657_000000_000005	i.	i.	false	11.04	11.46	16
949_134657_000000_000006	p. 218, ad locum.]	p. two hundred eighteen, ad locum.]	false	11.46	13.95	19.913467
949_134657_000001_000000	Chapter XXII: Julian Declared Emperor.--Part IV.	Chapter twenty two: Julian Declared Emperor.--Part four.	false	13.95	17.73	18.820852
949_134657_000002_000000	The numerous army of spies, of agents, and informers enlisted by Constantius to secure the repose of one man, and to interrupt that of millions, was immediately disbanded by his generous successor.	The numerous army of spies, of agents, and informers enlisted by Constantius to secure the repose of one man, and to interrupt that of millions, was immediately disbanded by his generous successor.	false	17.73	28.78	15
949_134657_000002_000001	Julian was slow in his suspicions, and gentle in his punishments; and his contempt of treason was the result of judgment, of vanity, and of courage.	Julian was slow in his suspicions, and gentle in his punishments; and his contempt of treason was the result of judgment, of vanity, and of courage.	true	29.3	37.18	18
949_134657_000002_000002	Conscious of superior merit, he was persuaded that few among his subjects would dare to meet him in the field, to attempt his life, or even to seat themselves on his vacant throne.	Conscious of superior merit, he was persuaded that few among his subjects would dare to meet him in the field, to attempt his life, or even to seat themselves on his vacant throne.	true	37.7	47.02	19.258764
949_134657_000002_000003	The philosopher could excuse the hasty sallies of discontent; and the hero could despise the ambitious projects which surpassed the fortune or the abilities of the rash conspirators.	The philosopher could excuse the hasty sallies of discontent; and the hero could despise the ambitious projects which surpassed the fortune or the abilities of the rash conspirators.	true	47.57	56.98	19
949_134657_000002_000004	A citizen of Ancyra had prepared for his own use a purple garment; and this indiscreet action, which, under the reign of Constantius, would have been considered as a capital offence, [68] was reported to Julian by the officious importunity of a private enemy.	A citizen of Ancyra had prepared for his own use a purple garment; and this indiscreet action, which, under the reign of Constantius, would have been considered as a capital offence, [sixty eight] was reported to Julian by the officious importunity of a private enemy.	false	57.62	73	20.776344
949_134657_000002_000005	The monarch, after making some inquiry into the rank and character of his rival, despatched the informer with a present of a pair of purple slippers, to complete the magnificence of his Imperial habit.	The monarch, after making some inquiry into the rank and character of his rival, despatched the informer with a present of a pair of purple slippers, to complete the magnificence of his Imperial habit.	true	73.79	84.15	20.602852
949_134657_000002_000006	A more dangerous conspiracy was formed by ten of the domestic guards, who had resolved to assassinate Julian in the field of exercise near Antioch. Their intemperance revealed their guilt; and they were conducted in chains to the presence of their injured sovereign, who, after a lively representation of the wickedness and folly of their enterprise, instead of a death of torture, which they deserved and expected, pronounced a sentence of exile against the two principal offenders.	A more dangerous conspiracy was formed by ten of the domestic guards, who had resolved to assassinate Julian in the field of exercise near Antioch. Their intemperance revealed their guilt; and they were conducted in chains to the presence of their injured sovereign, who, after a lively representation of the wickedness and folly of their enterprise, instead of a death of torture, which they deserved and expected, pronounced a sentence of exile against the two principal offenders.	false	84.15	112.03	20.171669
949_134657_000002_000007	The only instance in which Julian seemed to depart from his accustomed clemency, was the execution of a rash youth, who, with a feeble hand, had aspired to seize the reins of empire.	The only instance in which Julian seemed to depart from his accustomed clemency, was the execution of a rash youth, who, with a feeble hand, had aspired to seize the reins of empire.	true	113.66	123.705	19.58442
949_134657_000002_000008	But that youth was the son of Marcellus, the general of cavalry, who, in the first campaign of the Gallic war, had deserted the standard of the Caesar and the republic.	But that youth was the son of Marcellus, the general of cavalry, who, in the first campaign of the Gallic war, had deserted the standard of the Caesar and the republic.	true	123.705	132.61	20.911673
949_134657_000002_000009	Without appearing to indulge his personal resentment, Julian might easily confound the crime of the son and of the father; but he was reconciled by the distress of Marcellus, and the liberality of the emperor endeavored to heal the wound which had been inflicted by the hand of justice.	Without appearing to indulge his personal resentment, Julian might easily confound the crime of the son and of the father; but he was reconciled by the distress of Marcellus, and the liberality of the emperor endeavored to heal the wound which had been inflicted by the hand of justice.	true	133.07	148.08	20.23056
949_134657_000002_000010	[69]	[sixty nine]	false	148.08	148.11	-20
949_134657_000003_000000	[Footnote 68: The president Montesquieu (Considerations sur la Grandeur, &c., des Romains, c.	[Footnote sixty eight: The president Montesquieu (Considerations sur la Grandeur, and c., des Romains, c.	false	148.11	148.38	-20
949_134657_000003_000001	xiv. in his works, tom.	x i v. in his works, tom.	false	148.38	148.5	-20
949_134657_000003_000002	iii.	iii.	false	148.5	148.5	
949_134657_000003_000003	p. 448, 449,) excuses this minute and absurd tyranny, by supposing that actions the most indifferent in our eyes might excite, in a Roman mind, the idea of guilt and danger.	p. four hundred forty eight, four hundred forty nine,) excuses this minute and absurd tyranny, by supposing that actions the most indifferent in our eyes might excite, in a Roman mind, the idea of guilt and danger.	false	148.5	149.16	4
949_134657_000003_000004	This strange apology is supported by a strange misapprehension of the English laws, "chez une nation.... ou il est defendu da boire a la sante d'une certaine personne."]	This strange apology is supported by a strange misapprehension of the English laws, "chez une nation.... ou il est defendu da boire a la sante d'une certaine personne."]	false	149.16	149.67	-20
