303_123507_000000_000000	CHAPTER IX	CHAPTER nine
303_123507_000001_000000	I LEARN THE LANGUAGE	I LEARN THE LANGUAGE
303_123507_000002_000000	As I came back to myself I glanced at Sola, who had witnessed this encounter and I was surprised to note a strange expression upon her usually expressionless countenance.	As I came back to myself I glanced at Sola, who had witnessed this encounter and I was surprised to note a strange expression upon her usually expressionless countenance.
303_123507_000003_000000	As I reached the doorway of our building a strange surprise awaited me. A warrior approached bearing the arms, ornaments, and full accouterments of his kind.	As I reached the doorway of our building a strange surprise awaited me. A warrior approached bearing the arms, ornaments, and full accouterments of his kind.
303_123507_000003_000001	These he presented to me with a few unintelligible words, and a bearing at once respectful and menacing.	These he presented to me with a few unintelligible words, and a bearing at once respectful and menacing.
303_123507_000004_000000	Later, Sola, with the aid of several of the other women, remodeled the trappings to fit my lesser proportions, and after they completed the work I went about garbed in all the panoply of war.	Later, Sola, with the aid of several of the other women, remodeled the trappings to fit my lesser proportions, and after they completed the work I went about garbed in all the panoply of war.
303_123507_000005_000000	From then on Sola instructed me in the mysteries of the various weapons, and with the Martian young I spent several hours each day practicing upon the plaza.	From then on Sola instructed me in the mysteries of the various weapons, and with the Martian young I spent several hours each day practicing upon the plaza.
303_123507_000005_000001	I was not yet proficient with all the weapons, but my great familiarity with similar earthly weapons made me an unusually apt pupil, and I progressed in a very satisfactory manner.	I was not yet proficient with all the weapons, but my great familiarity with similar earthly weapons made me an unusually apt pupil, and I progressed in a very satisfactory manner.
303_123507_000006_000001	They make the powder, the cartridges, the firearms; in fact everything of value is produced by the females.	They make the powder, the cartridges, the firearms; in fact everything of value is produced by the females.
303_123507_000006_000002	In time of actual warfare they form a part of the reserves, and when the necessity arises fight with even greater intelligence and ferocity than the men.	In time of actual warfare they form a part of the reserves, and when the necessity arises fight with even greater intelligence and ferocity than the men.
303_123507_000007_000001	They make the laws as they are needed; a new law for each emergency.	They make the laws as they are needed; a new law for each emergency.
303_123507_000007_000002	They are unfettered by precedent in the administration of justice.	They are unfettered by precedent in the administration of justice.
303_123507_000007_000004	In one respect at least the Martians are a happy people; they have no lawyers.	In one respect at least the Martians are a happy people; they have no lawyers.
303_123507_000010_000001	After they had retired for the night it was customary for the adults to carry on a desultory conversation for a short time before lapsing into sleep, and now that I could understand their language I was always a keen listener, although I never proffered any remarks myself.	After they had retired for the night it was customary for the adults to carry on a desultory conversation for a short time before lapsing into sleep, and now that I could understand their language I was always a keen listener, although I never proffered any remarks myself.
303_123507_000011_000000	On the night following the prisoner's visit to the audience chamber the conversation finally fell upon this subject, and I was all ears on the instant.	On the night following the prisoner's visit to the audience chamber the conversation finally fell upon this subject, and I was all ears on the instant.
303_123507_000011_000001	I had feared to question Sola relative to the beautiful captive, as I could not but recall the strange expression I had noted upon her face after my first encounter with the prisoner.	I had feared to question Sola relative to the beautiful captive, as I could not but recall the strange expression I had noted upon her face after my first encounter with the prisoner.
303_123507_000011_000002	That it denoted jealousy I could not say, and yet, judging all things by mundane standards as I still did, I felt it safer to affect indifference in the matter until I learned more surely Sola's attitude toward the object of my solicitude.	That it denoted jealousy I could not say, and yet, judging all things by mundane standards as I still did, I felt it safer to affect indifference in the matter until I learned more surely Sola's attitude toward the object of my solicitude.
303_123507_000012_000000	Sarkoja, one of the older women who shared our domicile, had been present at the audience as one of the captive's guards, and it was toward her the question turned.	Sarkoja, one of the older women who shared our domicile, had been present at the audience as one of the captive's guards, and it was toward her the question turned.
303_123507_000013_000000	"When," asked one of the women, "will we enjoy the death throes of the red one? or does Lorquas Ptomel, Jed, intend holding her for ransom?"	"When," asked one of the women, "will we enjoy the death throes of the red one? or does Lorquas Ptomel, Jed, intend holding her for ransom?"
303_123507_000015_000000	"What will be the manner of her going out?" inquired Sola.	"What will be the manner of her going out?" inquired Sola.
303_123507_000015_000001	"She is very small and very beautiful; I had hoped that they would hold her for ransom."	"She is very small and very beautiful; I had hoped that they would hold her for ransom."
303_123507_000017_000000	"It is sad, Sola, that you were not born a million years ago," snapped Sarkoja, "when all the hollows of the land were filled with water, and the peoples were as soft as the stuff they sailed upon.	"It is sad, Sola, that you were not born a million years ago," snapped Sarkoja, "when all the hollows of the land were filled with water, and the peoples were as soft as the stuff they sailed upon.
303_123507_000017_000001	In our day we have progressed to a point where such sentiments mark weakness and atavism.	In our day we have progressed to a point where such sentiments mark weakness and atavism.
303_123507_000018_000000	"I see nothing wrong with my expression of interest in this red woman," retorted Sola.	"I see nothing wrong with my expression of interest in this red woman," retorted Sola.
303_123507_000018_000001	"She has never harmed us, nor would she should we have fallen into her hands.	"She has never harmed us, nor would she should we have fallen into her hands.
303_123507_000018_000002	It is only the men of her kind who war upon us, and I have ever thought that their attitude toward us is but the reflection of ours toward them.	It is only the men of her kind who war upon us, and I have ever thought that their attitude toward us is but the reflection of ours toward them.
303_123507_000018_000003	They live at peace with all their fellows, except when duty calls upon them to make war, while we are at peace with none; forever warring among our own kind as well as upon the red men, and even in our own communities the individuals fight amongst themselves.	They live at peace with all their fellows, except when duty calls upon them to make war, while we are at peace with none; forever warring among our own kind as well as upon the red men, and even in our own communities the individuals fight amongst themselves.
303_123507_000019_000000	This wild outbreak on the part of Sola so greatly surprised and shocked the other women, that, after a few words of general reprimand, they all lapsed into silence and were soon asleep.	This wild outbreak on the part of Sola so greatly surprised and shocked the other women, that, after a few words of general reprimand, they all lapsed into silence and were soon asleep.
303_123507_000020_000001	But where to go, and how, was as much of a puzzle to me as the age-old search for the spring of eternal life has been to earthly men since the beginning of time.	But where to go, and how, was as much of a puzzle to me as the age old search for the spring of eternal life has been to earthly men since the beginning of time.
303_123507_000021_000000	I decided that at the first opportunity I would take Sola into my confidence and openly ask her to aid me, and with this resolution strong upon me I turned among my silks and furs and slept the dreamless and refreshing sleep of Mars.	I decided that at the first opportunity I would take Sola into my confidence and openly ask her to aid me, and with this resolution strong upon me I turned among my silks and furs and slept the dreamless and refreshing sleep of Mars.
