303_123507_000000_000000	CHAPTER IX	CHAPTER nine	true	17.055	18.22	22.759247
303_123507_000001_000000	I LEARN THE LANGUAGE	I LEARN THE LANGUAGE	true	18.23	19.72	26.005129
303_123507_000002_000000	As I came back to myself I glanced at Sola, who had witnessed this encounter and I was surprised to note a strange expression upon her usually expressionless countenance.	As I came back to myself I glanced at Sola, who had witnessed this encounter and I was surprised to note a strange expression upon her usually expressionless countenance.	true	22.46	31.48	24.269928
303_123507_000002_000001	What her thoughts were I did not know, for as yet I had learned but little of the Martian tongue; enough only to suffice for my daily needs.	What her thoughts were I did not know, for as yet I had learned but little of the Martian tongue; enough only to suffice for my daily needs.	false	32.3	38.89	19.353577
303_123507_000003_000000	As I reached the doorway of our building a strange surprise awaited me. A warrior approached bearing the arms, ornaments, and full accouterments of his kind.	As I reached the doorway of our building a strange surprise awaited me. A warrior approached bearing the arms, ornaments, and full accouterments of his kind.	true	39.77	48.67	22.162237
303_123507_000003_000001	These he presented to me with a few unintelligible words, and a bearing at once respectful and menacing.	These he presented to me with a few unintelligible words, and a bearing at once respectful and menacing.	true	49.19	54.91	21.901566
303_123507_000004_000000	Later, Sola, with the aid of several of the other women, remodeled the trappings to fit my lesser proportions, and after they completed the work I went about garbed in all the panoply of war.	Later, Sola, with the aid of several of the other women, remodeled the trappings to fit my lesser proportions, and after they completed the work I went about garbed in all the panoply of war.	true	56.18	66.94	21.414083
303_123507_000005_000000	From then on Sola instructed me in the mysteries of the various weapons, and with the Martian young I spent several hours each day practicing upon the plaza.	From then on Sola instructed me in the mysteries of the various weapons, and with the Martian young I spent several hours each day practicing upon the plaza.	true	68.63	77.41	20.069221
303_123507_000005_000001	I was not yet proficient with all the weapons, but my great familiarity with similar earthly weapons made me an unusually apt pupil, and I progressed in a very satisfactory manner.	I was not yet proficient with all the weapons, but my great familiarity with similar earthly weapons made me an unusually apt pupil, and I progressed in a very satisfactory manner.	true	77.99	87.25	22.290394
303_123507_000006_000000	The training of myself and the young Martians was conducted solely by the women, who not only attend to the education of the young in the arts of individual defense and offense, but are also the artisans who produce every manufactured article wrought by the green Martians.	The training of myself and the young Martians was conducted solely by the women, who not only attend to the education of the young in the arts of individual defense and offense, but are also the artisans who produce every manufactured article wrought by the green Martians.	false	88.58	102.4	18
303_123507_000006_000001	They make the powder, the cartridges, the firearms; in fact everything of value is produced by the females.	They make the powder, the cartridges, the firearms; in fact everything of value is produced by the females.	true	102.68	108.46	21.406307
303_123507_000006_000002	In time of actual warfare they form a part of the reserves, and when the necessity arises fight with even greater intelligence and ferocity than the men.	In time of actual warfare they form a part of the reserves, and when the necessity arises fight with even greater intelligence and ferocity than the men.	true	108.98	117.01	21
303_123507_000007_000000	The men are trained in the higher branches of the art of war; in strategy and the maneuvering of large bodies of troops.	The men are trained in the higher branches of the art of war; in strategy and the maneuvering of large bodies of troops.	false	118.55	124.6	20.793879
303_123507_000007_000001	They make the laws as they are needed; a new law for each emergency.	They make the laws as they are needed; a new law for each emergency.	true	125	128.62	23.197897
303_123507_000007_000002	They are unfettered by precedent in the administration of justice.	They are unfettered by precedent in the administration of justice.	true	129.11	132.37	23.547924
303_123507_000007_000003	Customs have been handed down by ages of repetition, but the punishment for ignoring a custom is a matter for individual treatment by a jury of the culprit's peers, and I may say that justice seldom misses fire, but seems rather to rule in inverse ratio to the ascendency of law.	Customs have been handed down by ages of repetition, but the punishment for ignoring a custom is a matter for individual treatment by a jury of the culprit's peers, and I may say that justice seldom misses fire, but seems rather to rule in inverse ratio to the ascendency of law.	true	132.86	147.91	19
