5868_54659_000000_000000	III.	three.	false	15.075	20.295	15.132185
5868_54659_000001_000000	I always considered my father--I speak of him in the past tense, because we are now separated for ever; because he is henceforth as dead to me as if the grave had closed over him--I always considered my father to be the proudest man I ever knew; the proudest man I ever heard of.	I always considered my father-I speak of him in the past tense, because we are now separated for ever; because he is henceforth as dead to me as if the grave had closed over him-I always considered my father to be the proudest man I ever knew; the proudest man I ever heard of.	false	20.295	38.98	20.908632
5868_54659_000001_000001	His was not that conventional pride, which the popular notions are fond of characterising by a stiff, stately carriage; by a rigid expression of features; by a hard, severe intonation of voice; by set speeches of contempt for poverty and rags, and rhapsodical braggadocio about rank and breeding.	His was not that conventional pride, which the popular notions are fond of characterising by a stiff, stately carriage; by a rigid expression of features; by a hard, severe intonation of voice; by set speeches of contempt for poverty and rags, and rhapsodical braggadocio about rank and breeding.	true	40.13	60.91	19
5868_54659_000001_000002	My father's pride had nothing of this about it.	My father's pride had nothing of this about it.	true	61.94	64.66	20
5868_54659_000001_000003	It was that quiet, negative, courteous, inbred pride, which only the closest observation could detect; which no ordinary observers ever detected at all.	It was that quiet, negative, courteous, inbred pride, which only the closest observation could detect; which no ordinary observers ever detected at all.	true	65.24	75.79	21.536276
5868_54659_000002_000000	Who that observed him in communication with any of the farmers on any of his estates--who that saw the manner in which he lifted his hat, when he accidentally met any of those farmers' wives--who that noticed his hearty welcome to the man of the people, when that man happened to be a man of genius--would have thought him proud?	Who that observed him in communication with any of the farmers on any of his estates-who that saw the manner in which he lifted his hat, when he accidentally met any of those farmers' wives-who that noticed his hearty welcome to the man of the people, when that man happened to be a man of genius-would have thought him proud?	true	77.3	97.33	21.843801
5868_54659_000002_000001	On such occasions as these, if he had any pride, it was impossible to detect it.	On such occasions as these, if he had any pride, it was impossible to detect it.	true	97.88	102.88	21
5868_54659_000002_000002	But seeing him when, for instance, an author and a new-made peer of no ancestry entered his house together--observing merely the entirely different manner in which he shook hands with each--remarking that the polite cordiality was all for the man of letters, who did not contest his family rank with him, and the polite formality all for the man of title, who did--you discovered where and how he was proud in an instant.	But seeing him when, for instance, an author and a new made peer of no ancestry entered his house together-observing merely the entirely different manner in which he shook hands with each-remarking that the polite cordiality was all for the man of letters, who did not contest his family rank with him, and the polite formality all for the man of title, who did-you discovered where and how he was proud in an instant.	false	103.79	132.64	20.540726
5868_54659_000002_000003	Here lay his fretful point.	Here lay his fretful point.	true	133.34	135.31	20.872202
5868_54659_000002_000004	The aristocracy of rank, as separate from the aristocracy of ancestry, was no aristocracy for _him._ He was jealous of it; he hated it.	The aristocracy of rank, as separate from the aristocracy of ancestry, was no aristocracy for underscore him.underscore He was jealous of it; he hated it.	false	136.19	146.65	21.112719
5868_54659_000002_000005	Commoner though he was, he considered himself the social superior of any man, from a baronet up to a duke, whose family was less ancient than his own.	Commoner though he was, he considered himself the social superior of any man, from a baronet up to a duke, whose family was less ancient than his own.	true	146.99	156.91	19.995356
