4848_101836_000000_000000	VI.	VI.	false	7.71	8.55	5
4848_101836_000001_000000	THE APE, THE SNAKE, AND THE LION.	THE APE, THE SNAKE, AND THE LION.	false	8.55	27.43	19.751797
4848_101836_000002_000000	Long, long ago there lived, in a village called Keejee'jee, a woman whose husband died, leaving her with a little baby boy.	Long, long ago there lived, in a village called Keejee'jee, a woman whose husband died, leaving her with a little baby boy.	true	28.01	36.85	18
4848_101836_000002_000001	She worked hard all day to get food for herself and child, but they lived very poorly and were most of the time half-starved.	She worked hard all day to get food for herself and child, but they lived very poorly and were most of the time half starved.	false	37.16	46.12	21.815151
4848_101836_000003_000000	When the boy, whose name was 'Mvoo' Laa'na, began to get big, he said to his mother, one day: "Mother, we are always hungry.	When the boy, whose name was 'm v o o' Laa'na, began to get big, he said to his mother, one day: "Mother, we are always hungry.	false	46.97	56.16	20.120846
4848_101836_000003_000001	What work did my father do to support us?"	What work did my father do to support us?"	true	56.16	59.17	21
4848_101836_000004_000000	His mother replied: "Your father was a hunter.	His mother replied: "Your father was a hunter.	true	59.78	63.04	22.502161
4848_101836_000004_000001	He set traps, and we ate what he caught in them."	He set traps, and we ate what he caught in them."	true	63.26	66.46	23.117352
4848_101836_000005_000000	"Oho!" said 'Mvoo Laana; "that's not work; that's fun.	"Oho!" said 'm v o o Laana; "that's not work; that's fun.	false	67.01	71.5	23.163504
4848_101836_000005_000001	I, too, will set traps, and see if we can't get enough to eat."	I, too, will set traps, and see if we can't get enough to eat."	true	71.93	76.15	22.587812
4848_101836_000006_000000	The next day he went into the forest and cut branches from the trees, and returned home in the evening.	The next day he went into the forest and cut branches from the trees, and returned home in the evening.	true	77	83.62	17
4848_101836_000007_000000	The second day he spent making the branches into traps.	The second day he spent making the branches into traps.	true	84.23	88.06	19
4848_101836_000008_000000	The third day he twisted cocoanut fiber into ropes.	The third day he twisted cocoanut fiber into ropes.	true	88.76	92.65	22.77513
4848_101836_000009_000000	The fourth day he set up as many traps as time would permit.	The fourth day he set up as many traps as time would permit.	true	93.29	97.63	24
4848_101836_000010_000000	The fifth day he set up the remainder of the traps.	The fifth day he set up the remainder of the traps.	true	98.18	101.65	21.029762
4848_101836_000011_000000	The sixth day he went to examine the traps, and they had caught so much game, beside what they needed for themselves, that he took a great quantity to the big town of Oongoo'ja, where he sold it and bought corn and other things, and the house was full of food; and, as this good fortune continued, he and his mother lived very comfortably.	The sixth day he went to examine the traps, and they had caught so much game, beside what they needed for themselves, that he took a great quantity to the big town of Oongoo'ja, where he sold it and bought corn and other things, and the house was full of food; and, as this good fortune continued, he and his mother lived very comfortably.	false	102.2	123.79	19
4848_101836_000012_000000	But after a while, when he went to his traps he found nothing in them day after day.	But after a while, when he went to his traps he found nothing in them day after day.	true	123.98	129.34	16
4848_101836_000013_000000	One morning, however, he found that an ape had been caught in one of the traps, and he was about to kill it, when it said: "Son of Adam, I am Neea'nee, the ape; do not kill me.	One morning, however, he found that an ape had been caught in one of the traps, and he was about to kill it, when it said: "Son of Adam, I am Neea'nee, the ape; do not kill me.	false	130.07	142.72	21.31745
4848_101836_000013_000001	Take me out of this trap and let me go.	Take me out of this trap and let me go.	true	142.85	145.6	23.563564
4848_101836_000013_000002	Save me from the rain, that I may come and save you from the sun some day."	Save me from the rain, that I may come and save you from the sun some day."	true	145.73	151.15	18
