3645_77173_000000_000000	CHAPTER XXVII	CHAPTER twenty seven	false	0.42	10.575	19.62539
3645_77173_000001_000000	THE IMPOSTOR	THE IMPOSTOR	true	10.575	11.74	25.598154
3645_77173_000002_000000	The sun newly sunk behind the Yeldo Hills had stained the sky with rose and amber, and it was very peaceful in the darkening grounds of the Palace of Corbo.	The sun newly sunk behind the Yeldo Hills had stained the sky with rose and amber, and it was very peaceful in the darkening grounds of the Palace of Corbo.	true	12.8	22.39	16
3645_77173_000003_000000	The woods were alive with the evening songs of the birds, and a light wind that blew in from the sea brought with it the chimes from the Cathedral belfry.	The woods were alive with the evening songs of the birds, and a light wind that blew in from the sea brought with it the chimes from the Cathedral belfry.	true	23	31.06	19
3645_77173_000003_000001	The shrubberies loomed big in the violet twilight and afar out the sea lay placid, steel-blue and mysterious.	The shrubberies loomed big in the violet twilight and afar out the sea lay placid, steel blue and mysterious.	true	31.58	38.86	22.00358
3645_77173_000004_000000	Edward Povey, surveying the scene from the comfort of a bath-chair, was putting to himself a few pertinent and very necessary questions.	Edward Povey, surveying the scene from the comfort of a bath chair, was putting to himself a few pertinent and very necessary questions.	true	39.68	47.53	19.032581
3645_77173_000004_000001	Some lines which he had heard years back came into his mind, he couldn't remember them exactly, but they had to do with what the devil would do when he was sick.	Some lines which he had heard years back came into his mind, he couldn't remember them exactly, but they had to do with what the devil would do when he was sick.	true	48.02	57.19	19.155132
3645_77173_000005_000000	Amongst other thoughts which crowded into the brain of Mr. Povey were the warm feelings he had experienced towards Charlotte when, as he thought, he lay dying in Enrico's death chamber, and he told himself that they were very right thoughts to have.	Amongst other thoughts which crowded into the brain of mr Povey were the warm feelings he had experienced towards Charlotte when, as he thought, he lay dying in Enrico's death chamber, and he told himself that they were very right thoughts to have.	true	57.53	71.17	20.362268
3645_77173_000006_000000	He remembered also the events of the past few months, Galva's unremitting care and tenderness to him during the period of his convalescence.	He remembered also the events of the past few months, Galva's unremitting care and tenderness to him during the period of his convalescence.	true	71.84	79.15	19
3645_77173_000006_000001	The thought that the time had now come when his part in her affairs was done was a very bitter one, but as day followed day the feeling that he was an impostor grew stronger.	The thought that the time had now come when his part in her affairs was done was a very bitter one, but as day followed day the feeling that he was an impostor grew stronger.	true	79.55	89.08	20.7202
3645_77173_000006_000002	He had long thought that he must get away from it all.	He had long thought that he must get away from it all.	true	89.51	92.14	22.798058
