7051_259009_000000_000000	CHAPTER 57	CHAPTER fifty seven	false	0.75	29.97	22.113935
7051_259009_000001_000000	FUTURE TREND OF VALUES	FUTURE TREND OF VALUES	true	29.97	32.19	19.749535
7051_259009_000002_000000	Sec. I. PAST AND PRESENT OF ECONOMIC SOCIETY	Sec. i PAST AND PRESENT OF ECONOMIC SOCIETY	false	32.19	36.75	22.43648
7051_259009_000003_000000	[Sidenote: Definition of economics recalled]	[Sidenote: Definition of economics recalled]	false	36.75	37.35	-20
7051_259009_000004_000000	1.	one.	true	37.35	37.98	24.279297
7051_259009_000004_000001	_The meaning and scope of economics can be better seen at the end than at the beginning of its study._ The proposition with which this inquiry opened may well be recalled in the closing chapter.	underscore The meaning and scope of economics can be better seen at the end than at the beginning of its study.underscore The proposition with which this inquiry opened may well be recalled in the closing chapter.	false	37.98	50.65	24.222649
7051_259009_000004_000002	The words of the formal definition of economics should at this point convey a fuller meaning.	The words of the formal definition of economics should at this point convey a fuller meaning.	true	50.99	56.68	17
7051_259009_000004_000003	In the wide range of subjects passed in review has been sought the answer to one question: What determines and affects the values of good?	In the wide range of subjects passed in review has been sought the answer to one question: What determines and affects the values of good?	true	57.05	66.51	19.332869
7051_259009_000005_000000	[Sidenote: Influence of economics on practical life]	[Sidenote: Influence of economics on practical life]	false	66.51	66.84	-20
7051_259009_000006_000000	Perhaps now also can be better appreciated what the influence of such a study might and should be on practical action.	Perhaps now also can be better appreciated what the influence of such a study might and should be on practical action.	true	66.84	74.98	20
7051_259009_000006_000001	At times economic students have gained the ear of statesmen and rulers, and have exercised much influence upon practical politics.	At times economic students have gained the ear of statesmen and rulers, and have exercised much influence upon practical politics.	true	75.32	84.46	20
7051_259009_000006_000002	It is sometimes bemoaned that economists have to-day so small a direct part in the government of our republic.	It is sometimes bemoaned that economists have to day so small a direct part in the government of our republic.	true	85.04	93.25	20.250692
7051_259009_000006_000003	They certainly have a greater part to-day than they had twenty years ago, but if they had not, there would be small occasion for regret.	They certainly have a greater part to day than they had twenty years ago, but if they had not, there would be small occasion for regret.	false	93.29	101.95	20.703896
7051_259009_000006_000004	The immediate influence of the specialist on those in authority is at most times less in a republic than it is in a monarchy, at those rare times when a ruler shows the students his favor.	The immediate influence of the specialist on those in authority is at most times less in a republic than it is in a monarchy, at those rare times when a ruler shows the students his favor.	false	102.35	115.81	20.303385
7051_259009_000006_000005	That influence in America is mostly indirect, but it is no less sure and lasting.	That influence in America is mostly indirect, but it is no less sure and lasting.	true	116.06	122.26	17.966522
