1422_146123_000000_000000	CHAPTER 17.	CHAPTER seventeen.
1422_146123_000001_000000	The gift of hiding private emotion and keeping up appearances before strangers is not, as many suppose, entirely a product of our modern civilization.	The gift of hiding private emotion and keeping up appearances before strangers is not, as many suppose, entirely a product of our modern civilization.
1422_146123_000001_000001	Centuries before we were born or thought of there was a widely press-agented boy in Sparta who even went so far as to let a fox gnaw his tender young stomach without permitting the discomfort inseparable from such a proceeding to interfere with either his facial expression or his flow of small talk.	Centuries before we were born or thought of there was a widely press agented boy in Sparta who even went so far as to let a fox gnaw his tender young stomach without permitting the discomfort inseparable from such a proceeding to interfere with either his facial expression or his flow of small talk.
1422_146123_000001_000003	But, while this feat may be said to have established a record never subsequently lowered, there is no doubt that almost every day in modern times men and women are performing similar and scarcely less impressive miracles of self-restraint.	But, while this feat may be said to have established a record never subsequently lowered, there is no doubt that almost every day in modern times men and women are performing similar and scarcely less impressive miracles of self restraint.
1422_146123_000001_000004	Of all the qualities which belong exclusively to Man and are not shared by the lower animals, this surely is the one which marks him off most sharply from the beasts of the field.	Of all the qualities which belong exclusively to Man and are not shared by the lower animals, this surely is the one which marks him off most sharply from the beasts of the field.
1422_146123_000001_000005	Animals care nothing about keeping up appearances.	Animals care nothing about keeping up appearances.
1422_146123_000001_000006	Observe Bertram the Bull when things are not going just as he could wish.	Observe Bertram the Bull when things are not going just as he could wish.
1422_146123_000001_000007	He stamps.	He stamps.
1422_146123_000001_000008	He snorts.	He snorts.
1422_146123_000001_000009	He paws the ground.	He paws the ground.
1422_146123_000001_000010	He throws back his head and bellows.	He throws back his head and bellows.
1422_146123_000001_000011	He is upset, and he doesn't care who knows it.	He is upset, and he doesn't care who knows it.
1422_146123_000001_000012	Instances could be readily multiplied.	Instances could be readily multiplied.
1422_146123_000001_000013	Deposit a charge of shot in some outlying section of Thomas the Tiger, and note the effect.	Deposit a charge of shot in some outlying section of Thomas the Tiger, and note the effect.
1422_146123_000002_000000	In the days which followed Lord Marshmoreton's visit to George at the cottage, not a few of the occupants of Belpher Castle had their mettle sternly tested in this respect; and it is a pleasure to be able to record that not one of them failed to come through the ordeal with success.	In the days which followed Lord Marshmoreton's visit to George at the cottage, not a few of the occupants of Belpher Castle had their mettle sternly tested in this respect; and it is a pleasure to be able to record that not one of them failed to come through the ordeal with success.
1422_146123_000003_000000	Lord Belpher, for example, though he limped rather painfully, showed nothing of the baffled fury which was reducing his weight at the rate of ounces a day.	Lord Belpher, for example, though he limped rather painfully, showed nothing of the baffled fury which was reducing his weight at the rate of ounces a day.
1422_146123_000003_000001	His uncle Francis, the Bishop, when he tackled him in the garden on the subject of Intemperance--for Uncle Francis, like thousands of others, had taken it for granted, on reading the report of the encounter with the policeman and Percy's subsequent arrest, that the affair had been the result of a drunken outburst--had no inkling of the volcanic emotions that seethed in his nephew's bosom.	His uncle Francis, the Bishop, when he tackled him in the garden on the subject of Intemperance-for Uncle Francis, like thousands of others, had taken it for granted, on reading the report of the encounter with the policeman and Percy's subsequent arrest, that the affair had been the result of a drunken outburst-had no inkling of the volcanic emotions that seethed in his nephew's bosom.
1422_146123_000003_000002	He came away from the interview, indeed, feeling that the boy had listened attentively and with a becoming regret, and that there was hope for him after all, provided that he fought the impulse.	He came away from the interview, indeed, feeling that the boy had listened attentively and with a becoming regret, and that there was hope for him after all, provided that he fought the impulse.
1422_146123_000003_000003	He little knew that, but for the conventions (which frown on the practice of murdering bishops), Percy would gladly have strangled him with his bare hands and jumped upon the remains.	He little knew that, but for the conventions (which frown on the practice of murdering bishops), Percy would gladly have strangled him with his bare hands and jumped upon the remains.
1422_146123_000004_000000	Lord Belpher's case, inasmuch as he took himself extremely seriously and was not one of those who can extract humour even from their own misfortunes, was perhaps the hardest which comes under our notice; but his sister Maud was also experiencing mental disquietude of no mean order.	Lord Belpher's case, inasmuch as he took himself extremely seriously and was not one of those who can extract humour even from their own misfortunes, was perhaps the hardest which comes under our notice; but his sister Maud was also experiencing mental disquietude of no mean order.
1422_146123_000004_000001	Everything had gone wrong with Maud. Barely a mile separated her from George, that essential link in her chain of communication with Geoffrey Raymond; but so thickly did it bristle with obstacles and dangers that it might have been a mile of No Man's Land.	Everything had gone wrong with Maud. Barely a mile separated her from George, that essential link in her chain of communication with Geoffrey Raymond; but so thickly did it bristle with obstacles and dangers that it might have been a mile of No Man's Land.
1422_146123_000004_000002	Twice, since the occasion when the discovery of Lord Marshmoreton at the cottage had caused her to abandon her purpose of going in and explaining everything to George, had she attempted to make the journey; and each time some trifling, maddening accident had brought about failure.	Twice, since the occasion when the discovery of Lord Marshmoreton at the cottage had caused her to abandon her purpose of going in and explaining everything to George, had she attempted to make the journey; and each time some trifling, maddening accident had brought about failure.
1422_146123_000004_000003	Once, just as she was starting, her aunt Augusta had insisted on joining her for what she described as "a nice long walk"; and the second time, when she was within a bare hundred yards of her objective, some sort of a cousin popped out from nowhere and forced his loathsome company on her.	Once, just as she was starting, her aunt Augusta had insisted on joining her for what she described as "a nice long walk"; and the second time, when she was within a bare hundred yards of her objective, some sort of a cousin popped out from nowhere and forced his loathsome company on her.
1422_146123_000005_000000	Foiled in this fashion, she had fallen back in desperation on her second line of attack.	Foiled in this fashion, she had fallen back in desperation on her second line of attack.
1422_146123_000005_000001	She had written a note to George, explaining the whole situation in good, clear phrases and begging him as a man of proved chivalry to help her.	She had written a note to George, explaining the whole situation in good, clear phrases and begging him as a man of proved chivalry to help her.
1422_146123_000005_000002	It had taken up much of one afternoon, this note, for it was not easy to write; and it had resulted in nothing.	It had taken up much of one afternoon, this note, for it was not easy to write; and it had resulted in nothing.
1422_146123_000005_000003	She had given it to Albert to deliver and Albert had returned empty-handed.	She had given it to Albert to deliver and Albert had returned empty handed.
1422_146123_000007_000000	"No answer!	"No answer!
1422_146123_000007_000001	But there must be an answer!"	But there must be an answer!"
1422_146123_000008_000002	He had not even bothered to read it.	He had not even bothered to read it.
1422_146123_000008_000003	A deep, dangerous, dastardly stripling this, who fought to win and only to win.	A deep, dangerous, dastardly stripling this, who fought to win and only to win.
1422_146123_000008_000004	The ticket marked "R.	The ticket marked "R.
1422_146123_000009_000000	Maud could not understand it.	Maud could not understand it.
1422_146123_000009_000001	That is to say, she resolutely kept herself from accepting the only explanation of the episode that seemed possible.	That is to say, she resolutely kept herself from accepting the only explanation of the episode that seemed possible.
1422_146123_000009_000002	In black and white she had asked George to go to London and see Geoffrey and arrange for the passage--through himself as a sort of clearing-house--of letters between Geoffrey and herself.	In black and white she had asked George to go to London and see Geoffrey and arrange for the passage-through himself as a sort of clearing house-of letters between Geoffrey and herself.
1422_146123_000009_000003	She had felt from the first that such a request should be made by her in person and not through the medium of writing, but surely it was incredible that a man like George, who had been through so much for her and whose only reason for being in the neighbourhood was to help her, could have coldly refused without even a word.	She had felt from the first that such a request should be made by her in person and not through the medium of writing, but surely it was incredible that a man like George, who had been through so much for her and whose only reason for being in the neighbourhood was to help her, could have coldly refused without even a word.
1422_146123_000009_000004	And yet what else was she to think?	And yet what else was she to think?
1422_146123_000009_000005	Now, more than ever, she felt alone in a hostile world.	Now, more than ever, she felt alone in a hostile world.
1422_146123_000010_000000	Yet, to her guests she was bright and entertaining.	Yet, to her guests she was bright and entertaining.
1422_146123_000011_000000	Albert, I am happy to say, was thoroughly miserable.	Albert, I am happy to say, was thoroughly miserable.
1422_146123_000011_000001	The little brute was suffering torments.	The little brute was suffering torments.
1422_146123_000011_000002	He was showering anonymous Advice to the Lovelorn on Reggie Byng--excellent stuff, culled from the pages of weekly papers, of which there was a pile in the housekeeper's room, the property of a sentimental lady's maid--and nothing seemed to come of it.	He was showering anonymous Advice to the Lovelorn on Reggie Byng-excellent stuff, culled from the pages of weekly papers, of which there was a pile in the housekeeper's room, the property of a sentimental lady's maid-and nothing seemed to come of it.
1422_146123_000011_000003	Every day, sometimes twice and thrice a day, he would leave on Reggie's dressing-table significant notes similar in tone to the one which he had placed there on the night of the ball; but, for all the effect they appeared to exercise on their recipient, they might have been blank pages.	Every day, sometimes twice and thrice a day, he would leave on Reggie's dressing table significant notes similar in tone to the one which he had placed there on the night of the ball; but, for all the effect they appeared to exercise on their recipient, they might have been blank pages.
1422_146123_000012_000000	The choicest quotations from the works of such established writers as "Aunt Charlotte" of Forget-Me-Not and "Doctor Cupid", the heart-expert of Home Chat, expended themselves fruitlessly on Reggie.	The choicest quotations from the works of such established writers as "Aunt Charlotte" of Forget Me Not and "Doctor Cupid", the heart expert of Home Chat, expended themselves fruitlessly on Reggie.
1422_146123_000013_000001	So far from rendering himself indispensable to Maud by constant little attentions, Reggie, to the disgust of his backer and supporter, seemed to spend most of his time with Alice Faraday.	So far from rendering himself indispensable to Maud by constant little attentions, Reggie, to the disgust of his backer and supporter, seemed to spend most of his time with Alice Faraday.
1422_146123_000013_000002	On three separate occasions had Albert been revolted by the sight of his protege in close association with the Faraday girl--once in a boat on the lake and twice in his grey car.	On three separate occasions had Albert been revolted by the sight of his protege in close association with the Faraday girl-once in a boat on the lake and twice in his grey car.
1422_146123_000013_000003	It was enough to break a boy's heart; and it completely spoiled Albert's appetite--a phenomenon attributed, I am glad to say, in the Servants' Hall to reaction from recent excesses.	It was enough to break a boy's heart; and it completely spoiled Albert's appetite-a phenomenon attributed, I am glad to say, in the Servants' Hall to reaction from recent excesses.
1422_146123_000014_000002	He works in his rose-garden with a new vim, whistling or even singing to himself stray gay snatches of melodies popular in the 'eighties.	He works in his rose garden with a new vim, whistling or even singing to himself stray gay snatches of melodies popular in the 'eighties.
1422_146123_000015_000000	Hear him now as he toils.	Hear him now as he toils.
1422_146123_000015_000001	He has a long garden-implement in his hand, and he is sending up the death-rate in slug circles with a devastating rapidity.	He has a long garden implement in his hand, and he is sending up the death rate in slug circles with a devastating rapidity.
1422_146123_000017_000000	And the boom is a death-knell.	And the boom is a death knell.
1422_146123_000017_000001	As it rings softly out on the pleasant spring air, another stout slug has made the Great Change.	As it rings softly out on the pleasant spring air, another stout slug has made the Great Change.
1422_146123_000018_000000	It is peculiar, this gaiety.	It is peculiar, this gaiety.
1422_146123_000018_000001	It gives one to think.	It gives one to think.
