4860_13185_000000_000000	THE ISLE OF BLASTED HOPES.	THE ISLE OF BLASTED HOPES.	true	23.7	25.81	27.095686
4860_13185_000001_000000	There is a large island where the Ninety-Mile Beach ends in a wilderness of roaring breakers.	There is a large island where the Ninety Mile Beach ends in a wilderness of roaring breakers.	true	26.84	33.34	19.360876
4860_13185_000001_000001	It is the Isle of Blasted Hopes. Its enchanting landscape has allured many a landsman to his ruin, and its beacon, seen through the haze of a south-east gale, has guided many a watchful mariner to shipwreck and death.	It is the Isle of Blasted Hopes. Its enchanting landscape has allured many a landsman to his ruin, and its beacon, seen through the haze of a south-east gale, has guided many a watchful mariner to shipwreck and death.	true	33.83	49.18	23.485727
4860_13185_000002_000000	After the discovery of Gippsland, Pearson and Black first occupied the island under a grazing license, and they put eleven thousand sheep on it, with some horses, bullocks, and pigs.	After the discovery of Gippsland, Pearson and Black first occupied the island under a grazing license, and they put eleven thousand sheep on it, with some horses, bullocks, and pigs.	true	49.73	60.34	26.280067
4860_13185_000002_000001	The sheep began to die, so they sold them to Captain Cole at ten shillings a head, giving in the other stock.	The sheep began to die, so they sold them to Captain Cole at ten shillings a head, giving in the other stock.	true	60.62	66.67	22.764275
4860_13185_000002_000002	They were of the opinion that they had made an excellent bargain, but when the muster was made nine thousand six hundred of the sheep were missing.	They were of the opinion that they had made an excellent bargain, but when the muster was made nine thousand six hundred of the sheep were missing.	true	67.04	74.35	23.105896
4860_13185_000002_000003	The pigs ran wild, but multiplied.	The pigs ran wild, but multiplied.	true	74.99	77.26	20.614151
4860_13185_000002_000004	When the last sheep had perished, Cole sold his license to a man named Thomas, who put on more sheep, and afterwards exchanged as many as he could find with John King for cattle and horses.	When the last sheep had perished, Cole sold his license to a man named Thomas, who put on more sheep, and afterwards exchanged as many as he could find with john King for cattle and horses.	true	77.51	89.53	23.318737
4860_13185_000002_000005	Morrison next occupied the island until he was starved out. Then another man named Thomas took the fatal grazing license, but he did not live on the land.	Morrison next occupied the island until he was starved out. Then another man named Thomas took the fatal grazing license, but he did not live on the land.	true	90.05	99.4	21.831419
4860_13185_000002_000006	He placed his brother in charge of it, to be out of the way of temptation, as he was too fond of liquor.	He placed his brother in charge of it, to be out of the way of temptation, as he was too fond of liquor.	true	99.56	106.2	22.500553
4860_13185_000002_000007	The brother was not allowed the use of a boat; he, with his wife and family, was virtually a prisoner, condemned to sobriety.	The brother was not allowed the use of a boat; he, with his wife and family, was virtually a prisoner, condemned to sobriety.	true	106.2	114.435	22.024202
