8028_233366_000001_000001	He is 5 feet 8 inches in height, and has brown hair and eyes.	He is five feet eight inches in height, and has brown hair and eyes.
8028_233366_000001_000004	He is of quick, nervous temperament.	He is of quick, nervous temperament.
8028_233366_000001_000005	Has an aversion from most outdoor sports, but a great esthetic attraction to nature.	Has an aversion from most outdoor sports, but a great esthetic attraction to nature.
8028_233366_000001_000006	Highly educated.	Highly educated.
8028_233366_000002_000000	As far back as he can remember, he lived in a house from which his parents removed when he was 4 years old.	As far back as he can remember, he lived in a house from which his parents removed when he was four years old.
8028_233366_000002_000001	Before this removal, he remembers two distinctly sexual experiences.	Before this removal, he remembers two distinctly sexual experiences.
8028_233366_000002_000002	A cousin five years older was in the bathroom, seated, and M.O. was feeling his sexual organs; his mother called him out.	A cousin five years older was in the bathroom, seated, and m o was feeling his sexual organs; his mother called him out.
8028_233366_000002_000004	They were lying on a carriage-seat attempting intercourse.	They were lying on a carriage seat attempting intercourse.
8028_233366_000002_000005	The girl's older sister came in and found them.	The girl's older sister came in and found them.
8028_233366_000002_000006	She said: "I am going to tell mamma; you know she said for you not to do that any more." With each of these clear memories comes the strong impression that it was but one among many.	She said: "I am going to tell mamma; you know she said for you not to do that any more." With each of these clear memories comes the strong impression that it was but one among many.
8028_233366_000002_000007	Five years ago M.O. met a man of his own age who had lived in that neighborhood at the same time. Comparing notes, they found that nearly all the small children in it had been given to such practices.	Five years ago m o met a man of his own age who had lived in that neighborhood at the same time. Comparing notes, they found that nearly all the small children in it had been given to such practices.
8028_233366_000003_000000	From it, M.O. removed to another of just about the same character, and lived there until he was 11 years old.	From it, m o removed to another of just about the same character, and lived there until he was eleven years old.
8028_233366_000003_000001	Of this period his memories are very fresh and abundant.	Of this period his memories are very fresh and abundant.
8028_233366_000003_000002	With a single exception, all the children between 5 and 14 years of age appear to have indulged freely in promiscuous sexual play.	With a single exception, all the children between five and fourteen years of age appear to have indulged freely in promiscuous sexual play.
