5606_54666_000000_000000	Everything was oppressively new.	Everything was oppressively new.	true	25.155	27.765	19.898106
5606_54666_000000_000001	The brilliantly-varnished door cracked with a report like a pistol when it was opened; the paper on the walls, with its gaudy pattern of birds, trellis-work, and flowers, in gold, red, and green on a white ground, looked hardly dry yet; the showy window-curtains of white and sky-blue, and the still showier carpet of red and yellow, seemed as if they had come out of the shop yesterday; the round rosewood table was in a painfully high state of polish; the morocco-bound picture books that lay on it, looked as if they had never been moved or opened since they had been bought; not one leaf even of the music on the piano was dogs-eared or worn.	The brilliantly varnished door cracked with a report like a pistol when it was opened; the paper on the walls, with its gaudy pattern of birds, trellis work, and flowers, in gold, red, and green on a white ground, looked hardly dry yet; the showy window curtains of white and sky blue, and the still showier carpet of red and yellow, seemed as if they had come out of the shop yesterday; the round rosewood table was in a painfully high state of polish; the morocco bound picture books that lay on it, looked as if they had never been moved or opened since they had been bought; not one leaf even of the music on the piano was dogs eared or worn.	true	27.765	66.52	19.622341
5606_54666_000000_000002	Never was a richly furnished room more thoroughly comfortless than this--the eye ached at looking round it.	Never was a richly furnished room more thoroughly comfortless than this-the eye ached at looking round it.	true	66.8	74.23	20.91251
5606_54666_000000_000003	There was no repose anywhere.	There was no repose anywhere.	true	74.39	76.57	20.183168
5606_54666_000000_000004	The print of the Queen, hanging lonely on the wall, in its heavy gilt frame, with a large crown at the top, glared on you: the paper, the curtains, the carpet glared on you: the books, the wax-flowers in glass-cases, the chairs in flaring chintz-covers, the china plates on the door, the blue and pink glass vases and cups ranged on the chimney-piece, the over-ornamented chiffoniers with Tonbridge toys and long-necked smelling bottles on their upper shelves--all glared on you.	The print of the Queen, hanging lonely on the wall, in its heavy gilt frame, with a large crown at the top, glared on you: the paper, the curtains, the carpet glared on you: the books, the wax flowers in glass cases, the chairs in flaring chintz covers, the china plates on the door, the blue and pink glass vases and cups ranged on the chimney piece, the over ornamented chiffoniers with Tonbridge toys and long necked smelling bottles on their upper shelves-all glared on you.	true	77.39	108.97	20.556585
5606_54666_000000_000005	There was no look of shadow, shelter, secrecy, or retirement in any one nook or corner of those four gaudy walls.	There was no look of shadow, shelter, secrecy, or retirement in any one nook or corner of those four gaudy walls.	false	109.34	116.83	19
5606_54666_000000_000006	All surrounding objects seemed startlingly near to the eye; much nearer than they really were.	All surrounding objects seemed startlingly near to the eye; much nearer than they really were.	true	117.14	123.28	20
5606_54666_000000_000007	The room would have given a nervous man the headache, before he had been in it a quarter of an hour.	The room would have given a nervous man the headache, before he had been in it a quarter of an hour.	true	124.01	128.98	18.374697
5606_54666_000001_000000	I was not kept waiting long.	I was not kept waiting long.	true	129.29	131.17	18.33966
5606_54666_000001_000001	Another violent crack from the new door, announced the entrance of Mr. Sherwin himself.	Another violent crack from the new door, announced the entrance of mr Sherwin himself.	false	131.33	136.33	18.577742
5606_54666_000002_000000	He was a tall, thin man: rather round-shouldered; weak at the knees, and trying to conceal the weakness in the breadth of his trowsers.	He was a tall, thin man: rather round shouldered; weak at the knees, and trying to conceal the weakness in the breadth of his trowsers.	true	136.49	144.55	19
5606_54666_000002_000001	He wore a white cravat, and an absurdly high shirt collar.	He wore a white cravat, and an absurdly high shirt collar.	true	144.8	148.63	20.780472
5606_54666_000002_000002	His complexion was sallow; his eyes were small, black, bright, and incessantly in motion--indeed, all his features were singularly mobile: they were affected by nervous contractions and spasms which were constantly drawing up and down in all directions the brow, the mouth, and the muscles of the cheek.	His complexion was sallow; his eyes were small, black, bright, and incessantly in motion-indeed, all his features were singularly mobile: they were affected by nervous contractions and spasms which were constantly drawing up and down in all directions the brow, the mouth, and the muscles of the cheek.	true	149.39	168.49	19.355595
5606_54666_000002_000003	His hair had been black, but was now turning to a sort of iron-grey; it was very dry, wiry, and plentiful, and part of it projected almost horizontally over his forehead.	His hair had been black, but was now turning to a sort of iron grey; it was very dry, wiry, and plentiful, and part of it projected almost horizontally over his forehead.	true	168.65	180.58	18.343943
5606_54666_000002_000004	He had a habit of stretching it in this direction, by irritably combing it out, from time to time, with his fingers.	He had a habit of stretching it in this direction, by irritably combing it out, from time to time, with his fingers.	true	180.77	186.94	19
5606_54666_000002_000005	His lips were thin and colourless, the lines about them being numerous and strongly marked.	His lips were thin and colourless, the lines about them being numerous and strongly marked.	true	187.91	193.45	21.492828
