3003_12539_000001_000000	CHAPTER TWENTY-ONE	CHAPTER TWENTY ONE
3003_12539_000002_000000	FINDING AND LOSING A FORTUNE	FINDING AND LOSING A FORTUNE
3003_12539_000003_000000	OUR youthful dream of becoming farmers was now realized in fullest measure.	OUR youthful dream of becoming farmers was now realized in fullest measure.
3003_12539_000003_000002	The comfort and plenty we had hoped and struggled for was attained.	The comfort and plenty we had hoped and struggled for was attained.
3003_12539_000004_000000	This unexpected prosperity came to us through the hop-growing industry, upon which we entered with all our force.	This unexpected prosperity came to us through the hop growing industry, upon which we entered with all our force.
3003_12539_000004_000001	The business was well started by the time of my father's death in 1869, and in the fifteen years following the acreage planted to hops was increased until the crop-yield of 1882, a yield of more than seventy-one tons, gave the Puyallup valley the banner crop, as to quantity, of the United States--and, some persons asserted, of the world.	The business was well started by the time of my father's death in eighteen sixty nine, and in the fifteen years following the acreage planted to hops was increased until the crop yield of eighteen eighty two, a yield of more than seventy one tons, gave the Puyallup valley the banner crop, as to quantity, of the United States-and, some persons asserted, of the world.
3003_12539_000005_000001	Therefore it seems fitting to tell here the story of the beginnings of an industry that came to have great importance.	Therefore it seems fitting to tell here the story of the beginnings of an industry that came to have great importance.
3003_12539_000006_000000	In March of 1865, Charles Wood of Olympia sent about three pecks of hop roots to Steilacoom for my father, Jacob R. Meeker, who then lived on his claim in the Puyallup valley.	In March of eighteen sixty five, Charles Wood of Olympia sent about three pecks of hop roots to Steilacoom for my father, Jacob r Meeker, who then lived on his claim in the Puyallup valley.
3003_12539_000006_000004	This was sold for eighty-five cents a pound, or a little more than a hundred and fifty dollars for the bale.	This was sold for eighty five cents a pound, or a little more than a hundred and fifty dollars for the bale.
3003_12539_000007_000000	This sum was more money than had been received by any of the settlers in the Puyallup valley, except perhaps two, from the products of their farms for that year.	This sum was more money than had been received by any of the settlers in the Puyallup valley, except perhaps two, from the products of their farms for that year.
3003_12539_000007_000001	My father's near neighbors obtained a barrel of hop roots from California the next year, and planted them the following spring--four acres.	My father's near neighbors obtained a barrel of hop roots from California the next year, and planted them the following spring-four acres.
3003_12539_000007_000002	I obtained what roots I could get that year, but not enough to plant an acre.	I obtained what roots I could get that year, but not enough to plant an acre.
3003_12539_000007_000003	The following year (1867) I planted four acres, and for twenty-six successive years thereafter we added to the area planted, until our holdings reached past the five-hundred-acre mark and our production was more than four hundred tons a year.	The following year (eighteen sixty seven) I planted four acres, and for twenty six successive years thereafter we added to the area planted, until our holdings reached past the five hundred acre mark and our production was more than four hundred tons a year.
3003_12539_000008_000000	None of us knew anything about the hop business, and it was entirely by accident that we engaged in it.	None of us knew anything about the hop business, and it was entirely by accident that we engaged in it.
3003_12539_000008_000001	But seeing that there were possibilities of great gain, I took pains to study hop culture, and found that by allowing our hops to mature thoroughly, curing them at a low temperature, and baling them while hot, we could produce hops that would compete with any product in the world.	But seeing that there were possibilities of great gain, I took pains to study hop culture, and found that by allowing our hops to mature thoroughly, curing them at a low temperature, and baling them while hot, we could produce hops that would compete with any product in the world.
3003_12539_000008_000002	Others of my neighbors planted them, and so did many people in Oregon, until soon there came to be a field for purchasing and shipping hops.	Others of my neighbors planted them, and so did many people in Oregon, until soon there came to be a field for purchasing and shipping hops.
3003_12539_000010_000000	Finally, during the failure of the world's hop crop in the year 1882, there came to be unheard-of prices for hops, and fully one third of the crop of the Puyallup valley was sold for a dollar a pound.	Finally, during the failure of the world's hop crop in the year eighteen eighty two, there came to be unheard of prices for hops, and fully one third of the crop of the Puyallup valley was sold for a dollar a pound.
3003_12539_000011_000001	It still stands in Pioneer Park in Puyallup.	It still stands in Pioneer Park in Puyallup.
3003_12539_000011_000002	We frequently employed more than a thousand people during harvest time.	We frequently employed more than a thousand people during harvest time.
3003_12539_000011_000003	Many of these were Indians, some of whom would come for a thousand miles down the coast from British Columbia and even the confines of Alaska; they came in the great cedar-log canoes manned with twenty paddlers or more.	Many of these were Indians, some of whom would come for a thousand miles down the coast from British Columbia and even the confines of Alaska; they came in the great cedar log canoes manned with twenty paddlers or more.
