3003_12539_000000_000000	[Illustration: A hop field with the hops ready for picking.]	[Illustration: A hop field with the hops ready for picking.]	false	3.54	24.675	22.454365
3003_12539_000001_000000	CHAPTER TWENTY-ONE	CHAPTER TWENTY ONE	true	24.675	26.05	21
3003_12539_000002_000000	FINDING AND LOSING A FORTUNE	FINDING AND LOSING A FORTUNE	true	26.33	29.14	23
3003_12539_000003_000000	OUR youthful dream of becoming farmers was now realized in fullest measure.	OUR youthful dream of becoming farmers was now realized in fullest measure.	true	30.02	35.2	20
3003_12539_000003_000001	The clearing was gradually enlarged, and abundant crops came to reward our efforts.	The clearing was gradually enlarged, and abundant crops came to reward our efforts.	true	35.42	40.18	19
3003_12539_000003_000002	The comfort and plenty we had hoped and struggled for was attained.	The comfort and plenty we had hoped and struggled for was attained.	true	40.49	44.83	21.115915
3003_12539_000003_000003	Next came a development in the family fortunes that we had not dreamed of.	Next came a development in the family fortunes that we had not dreamed of.	true	45.23	49.3	17
3003_12539_000003_000004	Never had we thought to see the Meeker family conducting a business that would require a London office.	Never had we thought to see the Meeker family conducting a business that would require a London office.	true	49.61	55.93	18
3003_12539_000004_000000	This unexpected prosperity came to us through the hop-growing industry, upon which we entered with all our force.	This unexpected prosperity came to us through the hop growing industry, upon which we entered with all our force.	true	56.33	63.49	22.448198
3003_12539_000004_000001	The business was well started by the time of my father's death in 1869, and in the fifteen years following the acreage planted to hops was increased until the crop-yield of 1882, a yield of more than seventy-one tons, gave the Puyallup valley the banner crop, as to quantity, of the United States--and, some persons asserted, of the world.	The business was well started by the time of my father's death in eighteen sixty nine, and in the fifteen years following the acreage planted to hops was increased until the crop yield of eighteen eighty two, a yield of more than seventy one tons, gave the Puyallup valley the banner crop, as to quantity, of the United States-and, some persons asserted, of the world.	true	63.92	89.17	21.528202
3003_12539_000005_000000	The public, generally, gave me the credit of introducing hop culture into the Northwest.	The public, generally, gave me the credit of introducing hop culture into the Northwest.	true	89.84	94.99	19
3003_12539_000005_000001	Therefore it seems fitting to tell here the story of the beginnings of an industry that came to have great importance.	Therefore it seems fitting to tell here the story of the beginnings of an industry that came to have great importance.	true	95.27	102.1	21
3003_12539_000006_000000	In March of 1865, Charles Wood of Olympia sent about three pecks of hop roots to Steilacoom for my father, Jacob R. Meeker, who then lived on his claim in the Puyallup valley.	In March of eighteen sixty five, Charles Wood of Olympia sent about three pecks of hop roots to Steilacoom for my father, Jacob r Meeker, who then lived on his claim in the Puyallup valley.	true	102.59	115.54	22.140612
