203_126577_000000_000000	"Then come along," said the policeman.	"Then come along," said the policeman.	false	0	3.39	11
203_126577_000001_000000	"Three months on the Island," said the Magistrate in the Police Court the next morning.	"Three months on the Island," said the Magistrate in the Police Court the next morning.	false	3.39	21.06	20.466057
203_126577_000002_000000	AN ADJUSTMENT OF NATURE	AN ADJUSTMENT OF NATURE	true	21.06	25.065	19.688643
203_126577_000003_000000	In an art exhibition the other day I saw a painting that had been sold for $5,000.	In an art exhibition the other day I saw a painting that had been sold for five thousand dollars.	true	25.065	30.79	20
203_126577_000003_000001	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.	The painter was a young scrub out of the West named Kraft, who had a favourite food and a pet theory.	true	31.1	37.27	21.066944
203_126577_000003_000002	His pabulum was an unquenchable belief in the Unerring Artistic Adjustment of Nature.	His pabulum was an unquenchable belief in the Unerring Artistic Adjustment of Nature.	true	37.58	43.9	19
203_126577_000003_000003	His theory was fixed around corned-beef hash with poached egg.	His theory was fixed around corned beef hash with poached egg.	true	44.3	48.49	21.307707
203_126577_000003_000004	There was a story behind the picture, so I went home and let it drip out of a fountain-pen.	There was a story behind the picture, so I went home and let it drip out of a fountain pen.	true	48.74	53.65	19
203_126577_000003_000005	The idea of Kraft--but that is not the beginning of the story.	The idea of Kraft-but that is not the beginning of the story.	true	54.14	58.36	22.023687
203_126577_000004_000000	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.	Three years ago Kraft, Bill Judkins (a poet), and I took our meals at Cypher's, on Eighth Avenue.	true	58.82	65.17	23.2108
203_126577_000004_000001	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.	I say "took." When we had money, Cypher got it "off of" us, as he expressed it.	true	65.3	70.81	21.023865
203_126577_000004_000002	We had no credit; we went in, called for food and ate it.	We had no credit; we went in, called for food and ate it.	true	70.97	74.86	25.607374
203_126577_000004_000003	We paid or we did not pay.	We paid or we did not pay.	true	75.08	77.2	21
203_126577_000004_000004	We had confidence in Cypher's sullenness and smouldering ferocity.	We had confidence in Cypher's sullenness and smouldering ferocity.	true	77.48	82.3	20
203_126577_000004_000005	Deep down in his sunless soul he was either a prince, a fool or an artist.	Deep down in his sunless soul he was either a prince, a fool or an artist.	true	82.64	87.49	19
