1323_138617_000000_000000	PART 9	PART nine	false	0.48	22.15	19.240833
1323_138617_000001_000000	But if so many difficulties attend the argument a posteriori, said DEMEA, had we not better adhere to that simple and sublime argument a priori, which, by offering to us infallible demonstration, cuts off at once all doubt and difficulty?	But if so many difficulties attend the argument a posteriori, said d e m e a, had we not better adhere to that simple and sublime argument a priori, which, by offering to us infallible demonstration, cuts off at once all doubt and difficulty?	false	23.9	41.77	16
1323_138617_000001_000001	By this argument, too, we may prove the infinity of the Divine attributes, which, I am afraid, can never be ascertained with certainty from any other topic.	By this argument, too, we may prove the infinity of the Divine attributes, which, I am afraid, can never be ascertained with certainty from any other topic.	true	42.5	52.12	16
1323_138617_000001_000002	For how can an effect, which either is finite, or, for aught we know, may be so; how can such an effect, I say, prove an infinite cause?	For how can an effect, which either is finite, or, for aught we know, may be so; how can such an effect, I say, prove an infinite cause?	true	52.79	62.41	16
1323_138617_000001_000003	The unity too of the Divine Nature, it is very difficult, if not absolutely impossible, to deduce merely from contemplating the works of nature; nor will the uniformity alone of the plan, even were it allowed, give us any assurance of that attribute. Whereas the argument a priori ...	The unity too of the Divine Nature, it is very difficult, if not absolutely impossible, to deduce merely from contemplating the works of nature; nor will the uniformity alone of the plan, even were it allowed, give us any assurance of that attribute. Whereas the argument a priori ...	true	62.75	81.825	17
1323_138617_000002_000000	You seem to reason, DEMEA, interposed CLEANTHES, as if those advantages and conveniences in the abstract argument were full proofs of its solidity.	You seem to reason, d e m e a, interposed c l e a n t h e s, as if those advantages and conveniences in the abstract argument were full proofs of its solidity.	false	81.825	92.17	17
1323_138617_000002_000001	But it is first proper, in my opinion, to determine what argument of this nature you choose to insist on; and we shall afterwards, from itself, better than from its useful consequences, endeavour to determine what value we ought to put upon it.	But it is first proper, in my opinion, to determine what argument of this nature you choose to insist on; and we shall afterwards, from itself, better than from its useful consequences, endeavour to determine what value we ought to put upon it.	false	92.69	108.22	17
1323_138617_000003_000000	The argument, replied DEMEA, which I would insist on, is the common one. Whatever exists must have a cause or reason of its existence; it being absolutely impossible for any thing to produce itself, or be the cause of its own existence.	The argument, replied d e m e a, which I would insist on, is the common one. Whatever exists must have a cause or reason of its existence; it being absolutely impossible for any thing to produce itself, or be the cause of its own existence.	true	109.37	127.87	19.145887
1323_138617_000003_000001	In mounting up, therefore, from effects to causes, we must either go on in tracing an infinite succession, without any ultimate cause at all; or must at last have recourse to some ultimate cause, that is necessarily existent: Now, that the first supposition is absurd, may be thus proved.	In mounting up, therefore, from effects to causes, we must either go on in tracing an infinite succession, without any ultimate cause at all; or must at last have recourse to some ultimate cause, that is necessarily existent: Now, that the first supposition is absurd, may be thus proved.	true	128.39	148.84	19
1323_138617_000003_000002	In the infinite chain or succession of causes and effects, each single effect is determined to exist by the power and efficacy of that cause which immediately preceded; but the whole eternal chain or succession, taken together, is not determined or caused by any thing; and yet it is evident that it requires a cause or reason, as much as any particular object which begins to exist in time.	In the infinite chain or succession of causes and effects, each single effect is determined to exist by the power and efficacy of that cause which immediately preceded; but the whole eternal chain or succession, taken together, is not determined or caused by any thing; and yet it is evident that it requires a cause or reason, as much as any particular object which begins to exist in time.	true	149.27	175	18
1323_138617_000003_000003	The question is still reasonable, why this particular succession of causes existed from eternity, and not any other succession, or no succession at all.	The question is still reasonable, why this particular succession of causes existed from eternity, and not any other succession, or no succession at all.	true	175.61	185.62	15
1323_138617_000003_000004	If there be no necessarily existent being, any supposition which can be formed is equally possible; nor is there any more absurdity in Nothing's having existed from eternity, than there is in that succession of causes which constitutes the universe.	If there be no necessarily existent being, any supposition which can be formed is equally possible; nor is there any more absurdity in Nothing's having existed from eternity, than there is in that succession of causes which constitutes the universe.	false	185.93	201.76	16
1323_138617_000003_000005	What was it, then, which determined Something to exist rather than Nothing, and bestowed being on a particular possibility, exclusive of the rest?	What was it, then, which determined Something to exist rather than Nothing, and bestowed being on a particular possibility, exclusive of the rest?	true	202.22	211.99	16
1323_138617_000003_000006	External causes, there are supposed to be none.	External causes, there are supposed to be none.	true	212.45	215.44	17
