6701_71401_000001_000000	CHAPTER X	CHAPTER ten
6701_71401_000002_000000	AN AFFAIR OF THE HEART	AN AFFAIR OF THE HEART
6701_71401_000003_000000	There was a moment of silence.	There was a moment of silence.
6701_71401_000004_000000	"Briefly put, doctor, the case is this," said Adam Adams.	"Briefly put, doctor, the case is this," said Adam Adams.
6701_71401_000005_000000	"A powder strong enough to kill a person?" The brow of the old physician contracted.	"A powder strong enough to kill a person?" The brow of the old physician contracted.
6701_71401_000006_000000	"No, not at all.	"No, not at all.
6701_71401_000006_000001	I mean a powder that could be held to a person's nose and mouth in the open, when it would make that person sick and give him cramps perhaps."	I mean a powder that could be held to a person's nose and mouth in the open, when it would make that person sick and give him cramps perhaps."
6701_71401_000007_000000	"And kill him?"	"And kill him?"
6701_71401_000008_000000	"Yes."	"Yes."
6701_71401_000009_000000	The old doctor rubbed his hands in thought.	The old doctor rubbed his hands in thought.
6701_71401_000009_000001	"That is a subject for speculation.	"That is a subject for speculation.
6701_71401_000009_000002	Certain cyanide compounds might be powerful enough to do so under certain conditions.	Certain cyanide compounds might be powerful enough to do so under certain conditions.
6701_71401_000009_000003	Any real dry powder would choke a person if he got a big dose of it.	Any real dry powder would choke a person if he got a big dose of it.
6701_71401_000009_000004	I heard of a boy who came near dying as the result of breathing in a quantity of extra dry licorice powder. But he was smothered and did not have cramps."	I heard of a boy who came near dying as the result of breathing in a quantity of extra dry licorice powder. But he was smothered and did not have cramps."
6701_71401_000010_000000	"Nothing in the shape of any foreign compound?	"Nothing in the shape of any foreign compound?
6701_71401_000011_000001	But I know of nothing-- But hold!"	But I know of nothing- But hold!"
6701_71401_000011_000002	The doctor clapped his hands together.	The doctor clapped his hands together.
6701_71401_000011_000004	That would do it, that and that only."	That would do it, that and that only."
6701_71401_000012_000000	"What?"	"What?"
6701_71401_000013_000000	"I had a sample of it given to me some six months ago.	"I had a sample of it given to me some six months ago.
6701_71401_000014_000000	"And that powder, what did it look like?"	"And that powder, what did it look like?"
6701_71401_000015_000000	"It was blue at first but on contact with the air quickly changed to brownish-white and lost itself, it was so fine."	"It was blue at first but on contact with the air quickly changed to brownish white and lost itself, it was so fine."
6701_71401_000016_000000	"Evaporated?"	"Evaporated?"
6701_71401_000017_000000	"You can call it that if you wish.	"You can call it that if you wish.
6701_71401_000017_000001	It was intense.	It was intense.
6701_71401_000017_000002	I held it at arms' length, yet it made me sick and I had cramps for over an hour afterwards."	I held it at arms' length, yet it made me sick and I had cramps for over an hour afterwards."
6701_71401_000018_000000	"It would have killed you if you had placed it to your mouth or nose?"	"It would have killed you if you had placed it to your mouth or nose?"
6701_71401_000019_000000	"Not the slightest doubt of it."	"Not the slightest doubt of it."
6701_71401_000020_000000	"May I ask where you got the stuff?"	"May I ask where you got the stuff?"
6701_71401_000021_000000	"It was imported into this country by a drug firm merely as a curiosity.	"It was imported into this country by a drug firm merely as a curiosity.
6701_71401_000021_000001	They put it up in tiny vials which I suppose were sent around to different persons like myself.	They put it up in tiny vials which I suppose were sent around to different persons like myself.
6701_71401_000021_000002	It was a dangerous piece of business and I gave them no credit for doing it."	It was a dangerous piece of business and I gave them no credit for doing it."
6701_71401_000023_000000	"I would not tell everybody, but I know I can trust you to keep a secret.	"I would not tell everybody, but I know I can trust you to keep a secret.
6701_71401_000023_000001	The firm was Alexander & Company, of Rochester, who stand very high in the trade.	The firm was Alexander and Company, of Rochester, who stand very high in the trade.
6701_71401_000023_000003	Both died in less than two minutes, and each with cramps.	Both died in less than two minutes, and each with cramps.
6701_71401_000023_000004	But after death neither animal showed the least trace of the poison."	But after death neither animal showed the least trace of the poison."
6701_71401_000025_000001	He said he was a bit used to it.	He said he was a bit used to it.
