3340_169293_000000_000000	Chapter XIV.	Chapter fourteen.	false	0.12	20.235	20.05164
3340_169293_000000_000001	The Atlanta Exposition Address	The Atlanta Exposition Address	true	20.235	22.39	15
3340_169293_000001_000000	The Atlanta Exposition, at which I had been asked to make an address as a representative of the Negro race, as stated in the last chapter, was opened with a short address from Governor Bullock.	The Atlanta Exposition, at which I had been asked to make an address as a representative of the Negro race, as stated in the last chapter, was opened with a short address from Governor Bullock.	true	24.11	34.69	17
3340_169293_000001_000001	After other interesting exercises, including an invocation from Bishop Nelson, of Georgia, a dedicatory ode by Albert Howell, Jr., and addresses by the President of the Exposition and Mrs. Joseph Thompson, the President of the Woman's Board, Governor Bullock introduce me with the words, "We have with us to-day a representative of Negro enterprise and Negro civilization."	After other interesting exercises, including an invocation from Bishop Nelson, of Georgia, a dedicatory ode by Albert Howell junior, and addresses by the President of the Exposition and mrs Joseph Thompson, the President of the Woman's Board, Governor Bullock introduce me with the words, "We have with us to day a representative of Negro enterprise and Negro civilization."	true	34.73	55.66	11
3340_169293_000002_000000	When I arose to speak, there was considerable cheering, especially from the coloured people.	When I arose to speak, there was considerable cheering, especially from the coloured people.	true	56.96	61.42	15
3340_169293_000002_000001	As I remember it now, the thing that was uppermost in my mind was the desire to say something that would cement the friendship of the races and bring about hearty cooperation between them. So far as my outward surroundings were concerned, the only thing that I recall distinctly now is that when I got up, I saw thousands of eyes looking intently into my face.	As I remember it now, the thing that was uppermost in my mind was the desire to say something that would cement the friendship of the races and bring about hearty cooperation between them. So far as my outward surroundings were concerned, the only thing that I recall distinctly now is that when I got up, I saw thousands of eyes looking intently into my face.	true	61.82	80.79	11
3340_169293_000002_000002	The following is the address which I delivered:--	The following is the address which I delivered:--	true	80.79	83.26	21.262701
3340_169293_000003_000000	Mr. President and Gentlemen of the Board of Directors and Citizens.	mr President and Gentlemen of the Board of Directors and Citizens.	true	84.32	88.39	18
3340_169293_000004_000000	One-third of the population of the South is of the Negro race.	One third of the population of the South is of the Negro race.	true	88.85	92.47	16
3340_169293_000004_000001	No enterprise seeking the material, civil, or moral welfare of this section can disregard this element of our population and reach the highest success.	No enterprise seeking the material, civil, or moral welfare of this section can disregard this element of our population and reach the highest success.	true	93.02	101.32	11
3340_169293_000004_000002	I but convey to you, Mr. President and Directors, the sentiment of the masses of my race when I say that in no way have the value and manhood of the American Negro been more fittingly and generously recognized than by the managers of this magnificent Exposition at every stage of its progress.	I but convey to you, mr President and Directors, the sentiment of the masses of my race when I say that in no way have the value and manhood of the American Negro been more fittingly and generously recognized than by the managers of this magnificent Exposition at every stage of its progress.	true	101.39	118.05	11
3340_169293_000004_000003	It is a recognition that will do more to cement the friendship of the two races than any occurrence since the dawn of our freedom.	It is a recognition that will do more to cement the friendship of the two races than any occurrence since the dawn of our freedom.	true	118.05	124.56	12
