7134_67200_000000_000002	He anticipates rewards and punishments, and learns to solicit the former and deprecate the latter.	He anticipates rewards and punishments, and learns to solicit the former and deprecate the latter.
7134_67200_000000_000003	He bounds exultingly forth to accompany his master in his walks, rides, and sports of the field.	He bounds exultingly forth to accompany his master in his walks, rides, and sports of the field.
7134_67200_000000_000004	He acts as the faithful guardian of his property.	He acts as the faithful guardian of his property.
7134_67200_000000_000005	He is his fire-side companion, evidently discerns days of household mirth or grief, and deports himself accordingly.	He is his fire side companion, evidently discerns days of household mirth or grief, and deports himself accordingly.
7134_67200_000000_000006	Hence, his energies and his sensibilities are all expanded, and what he feels he seeks to tell in various accents, and in different ways.	Hence, his energies and his sensibilities are all expanded, and what he feels he seeks to tell in various accents, and in different ways.
7134_67200_000000_000007	For instance, our little dog comes and pulls his mistress's gown and makes significant whines, if any one is in or about the premises whom he thinks has no right to be there.	For instance, our little dog comes and pulls his mistress's gown and makes significant whines, if any one is in or about the premises whom he thinks has no right to be there.
7134_67200_000000_000011	They become instantly sensible that no punishment is intended to be inflicted, and I have seen them lick the hand of the operator, as if grateful for what he was doing.	They become instantly sensible that no punishment is intended to be inflicted, and I have seen them lick the hand of the operator, as if grateful for what he was doing.
7134_67200_000000_000014	Both the wild and domestic dog, however, appear to be possessed of and to exercise forethought.	Both the wild and domestic dog, however, appear to be possessed of and to exercise forethought.
7134_67200_000000_000015	They will bury or hide food, which they are unable to consume at once, and return for it.	They will bury or hide food, which they are unable to consume at once, and return for it.
7134_67200_000000_000016	But the domestic dog, perhaps, gives stronger proofs of forethought; and I will give an instance of it.	But the domestic dog, perhaps, gives stronger proofs of forethought; and I will give an instance of it.
7134_67200_000000_000019	I had a dog, who, having once scalded his tongue, always afterwards, when I gave him his milk and water at breakfast, put his paw very cautiously into the saucer, to see if the liquid was too hot, before he would touch it with his tongue.	I had a dog, who, having once scalded his tongue, always afterwards, when I gave him his milk and water at breakfast, put his paw very cautiously into the saucer, to see if the liquid was too hot, before he would touch it with his tongue.
7134_67200_000001_000000	Dogs have frequently been known to hunt in couples; that is, to assist each other in securing their prey: thus associating together and admitting of no partnership.	Dogs have frequently been known to hunt in couples; that is, to assist each other in securing their prey: thus associating together and admitting of no partnership.
7134_67200_000002_000000	At Palermo, in Sicily, there is an extraordinary quantity of dogs wandering about without owners.	At Palermo, in Sicily, there is an extraordinary quantity of dogs wandering about without owners.
7134_67200_000002_000001	Amongst the number, two more particularly distinguished themselves for their animosity to cats.	Amongst the number, two more particularly distinguished themselves for their animosity to cats.
7134_67200_000002_000002	One day they were in pursuit of a cat, which, seeing no other place of refuge near, made her escape into a long earthen water-pipe which was lying on the ground.	One day they were in pursuit of a cat, which, seeing no other place of refuge near, made her escape into a long earthen water pipe which was lying on the ground.
7134_67200_000002_000004	After they had stood a short time they divided, taking post at each end of the pipe, and began to back alternately, thus giving the cat reason to suppose that they were both at one end, in order to induce her to come out. This manoeuvre had a successful result, and the cheated cat left her hiding-place.	After they had stood a short time they divided, taking post at each end of the pipe, and began to back alternately, thus giving the cat reason to suppose that they were both at one end, in order to induce her to come out. This manoeuvre had a successful result, and the cheated cat left her hiding place.
7134_67200_000003_000000	The memory of dogs is quite extraordinary, and only equalled by that of the elephant.	The memory of dogs is quite extraordinary, and only equalled by that of the elephant.
7134_67200_000003_000001	Mr. Swainson, in his work on the instincts of animals, gives the following proof of this.	mr Swainson, in his work on the instincts of animals, gives the following proof of this.
7134_67200_000004_000000	In my younger days I had a favourite dog, which always accompanied me to church.	In my younger days I had a favourite dog, which always accompanied me to church.
7134_67200_000004_000001	My mother, seeing that he attracted too much of my attention, ordered the servant to shut him every Sunday morning.	My mother, seeing that he attracted too much of my attention, ordered the servant to shut him every Sunday morning.
7134_67200_000004_000002	This was done once, but never afterwards; for he concealed himself early every Sunday morning, and I was sure to find him either under my seat at church, or else at the church-door.	This was done once, but never afterwards; for he concealed himself early every Sunday morning, and I was sure to find him either under my seat at church, or else at the church door.
7134_67200_000004_000003	That dogs clearly distinguish the return of Sunday cannot be doubted.	That dogs clearly distinguish the return of Sunday cannot be doubted.
7134_67200_000006_000001	A still more extraordinary circumstance is upon record, of the late Colonel Hardy, who, having been sent for express to Bath, was accompanied by a favourite spaniel bitch in his chaise, which he never quitted till his arrival there.	A still more extraordinary circumstance is upon record, of the late Colonel Hardy, who, having been sent for express to Bath, was accompanied by a favourite spaniel bitch in his chaise, which he never quitted till his arrival there.
7134_67200_000007_000001	One day a game cock attacked a small bantam, and they fought furiously, the bantam having, of course, the worst of it.	One day a game cock attacked a small bantam, and they fought furiously, the bantam having, of course, the worst of it.
7134_67200_000007_000002	Some persons were standing about looking at the fight, when my informant's house-dog suddenly darted out, snatched up the bantam in his mouth, and carried it into the house.	Some persons were standing about looking at the fight, when my informant's house dog suddenly darted out, snatched up the bantam in his mouth, and carried it into the house.
7134_67200_000007_000004	How few human beings would have acted as this dog had done!	How few human beings would have acted as this dog had done!
7134_67200_000008_000000	Here is another curious anecdote from Mr. Davy's work.	Here is another curious anecdote from mr Davy's work.
7134_67200_000008_000001	He says that the cook in the house of a friend of his, a lady on whose accuracy he could rely, and from whom he had the anecdote, missed a marrow-bone. Suspicion fell on a well-behaved dog--a great favourite, and up to that time distinguished for his honesty.	He says that the cook in the house of a friend of his, a lady on whose accuracy he could rely, and from whom he had the anecdote, missed a marrow bone. Suspicion fell on a well behaved dog-a great favourite, and up to that time distinguished for his honesty.
7134_67200_000008_000003	In this mood he continued, till, to the amusement of the cook, he brought back the bone and laid it at her feet.	In this mood he continued, till, to the amusement of the cook, he brought back the bone and laid it at her feet.
7134_67200_000008_000004	Then, with the restoration of her stolen property, he resumed his cheerful manner.	Then, with the restoration of her stolen property, he resumed his cheerful manner.
7134_67200_000009_000001	By acting in this manner, he never loses sight of his master.	By acting in this manner, he never loses sight of his master.
7134_67200_000010_000000	A dog has been known to convey food to another of his species who was tied up and pining for want of it.	A dog has been known to convey food to another of his species who was tied up and pining for want of it.
7134_67200_000010_000003	Repeated provocation will, however, excite and revenge.	Repeated provocation will, however, excite and revenge.
7134_67200_000010_000004	For instance, a Newfoundland dog was quietly eating his mess of broth and broken scraps.	For instance, a Newfoundland dog was quietly eating his mess of broth and broken scraps.
7134_67200_000010_000005	While so employed, a turkey endeavoured to share the meal with him.	While so employed, a turkey endeavoured to share the meal with him.
7134_67200_000010_000006	The dog growled, and displayed his teeth.	The dog growled, and displayed his teeth.
7134_67200_000010_000007	The intruder retired for a moment, but quickly returned to the charge, and was again "warned off," with a like result.	The intruder retired for a moment, but quickly returned to the charge, and was again "warned off," with a like result.
7134_67200_000010_000008	After three or four attempts of the same kind, the dog became provoked, gave a sudden ferocious growl, bit off the delinquent's head, and then quietly finished his meal, without bestowing any further attention on his victim.	After three or four attempts of the same kind, the dog became provoked, gave a sudden ferocious growl, bit off the delinquent's head, and then quietly finished his meal, without bestowing any further attention on his victim.
