2230_148550_000000_000000	III	three	false	3.09	24.885	21.531237
2230_148550_000001_000000	Though she would not for the world have owned it to her parents, Undine was disappointed in the Fairford dinner.	Though she would not for the world have owned it to her parents, Undine was disappointed in the Fairford dinner.	true	24.885	29.77	22.295057
2230_148550_000002_000000	The house, to begin with, was small and rather shabby.	The house, to begin with, was small and rather shabby.	true	30.47	33.37	23.203
2230_148550_000002_000001	There was no gilding, no lavish diffusion of light: the room they sat in after dinner, with its green-shaded lamps making faint pools of brightness, and its rows of books from floor to ceiling, reminded Undine of the old circulating library at Apex, before the new marble building was put up. Then, instead of a gas-log, or a polished grate with electric bulbs behind ruby glass, there was an old-fashioned wood-fire, like pictures of "Back to the farm for Christmas"; and when the logs fell forward Mrs. Pairford or her brother had to jump up to push them in place, and the ashes scattered over the hearth untidily.	There was no gilding, no lavish diffusion of light: the room they sat in after dinner, with its green shaded lamps making faint pools of brightness, and its rows of books from floor to ceiling, reminded Undine of the old circulating library at Apex, before the new marble building was put up. Then, instead of a gas log, or a polished grate with electric bulbs behind ruby glass, there was an old-fashioned wood fire, like pictures of "Back to the farm for Christmas"; and when the logs fell forward mrs Pairford or her brother had to jump up to push them in place, and the ashes scattered over the hearth untidily.	false	33.98	68.65	23.158518
2230_148550_000003_000000	The dinner too was disappointing.	The dinner too was disappointing.	false	69.8	72.21	22.795332
2230_148550_000003_000001	Undine was too young to take note of culinary details, but she had expected to view the company through a bower of orchids and eat pretty-coloured entrees in ruffled papers. Instead, there was only a low centre-dish of ferns, and plain roasted and broiled meat that one could recognize--as if they'd been dyspeptics on a diet!	Undine was too young to take note of culinary details, but she had expected to view the company through a bower of orchids and eat pretty coloured entrees in ruffled papers. Instead, there was only a low centre dish of ferns, and plain roasted and broiled meat that one could recognize-as if they'd been dyspeptics on a diet!	true	72.21	90.76	23.075514
2230_148550_000003_000002	With all the hints in the Sunday papers, she thought it dull of Mrs. Fairford not to have picked up something newer; and as the evening progressed she began to suspect that it wasn't a real "dinner party," and that they had just asked her in to share what they had when they were alone.	With all the hints in the Sunday papers, she thought it dull of mrs Fairford not to have picked up something newer; and as the evening progressed she began to suspect that it wasn't a real "dinner party," and that they had just asked her in to share what they had when they were alone.	true	91.19	105.31	22.809374
2230_148550_000004_000000	But a glance about the table convinced her that Mrs. Fairford could not have meant to treat her other guests so lightly.	But a glance about the table convinced her that mrs Fairford could not have meant to treat her other guests so lightly.	true	106.4	112.27	22.838266
2230_148550_000004_000001	They were only eight in number, but one was no less a person than young Mrs. Peter Van Degen--the one who had been a Dagonet--and the consideration which this young lady, herself one of the choicest ornaments of the Society Column, displayed toward the rest of the company, convinced Undine that they must be more important than they looked.	They were only eight in number, but one was no less a person than young mrs peter Van Degen-the one who had been a Dagonet-and the consideration which this young lady, herself one of the choicest ornaments of the Society Column, displayed toward the rest of the company, convinced Undine that they must be more important than they looked.	true	113.09	131.95	22.52246
2230_148550_000004_000002	She liked Mrs. Fairford, a small incisive woman, with a big nose and good teeth revealed by frequent smiles.	She liked mrs Fairford, a small incisive woman, with a big nose and good teeth revealed by frequent smiles.	true	132.53	138.88	23.849442
2230_148550_000004_000003	In her dowdy black and antiquated ornaments she was not what Undine would have called "stylish"; but she had a droll kind way which reminded the girl of her father's manner when he was not tired or worried about money.	In her dowdy black and antiquated ornaments she was not what Undine would have called "stylish"; but she had a droll kind way which reminded the girl of her father's manner when he was not tired or worried about money.	true	139.4	150.16	21.80858
2230_148550_000004_000004	One of the other ladies, having white hair, did not long arrest Undine's attention; and the fourth, a girl like herself, who was introduced as Miss Harriet Ray, she dismissed at a glance as plain and wearing a last year's "model."	One of the other ladies, having white hair, did not long arrest Undine's attention; and the fourth, a girl like herself, who was introduced as Miss Harriet Ray, she dismissed at a glance as plain and wearing a last year's "model."	false	150.74	163.6	22.426544
2230_148550_000005_000000	The men, too, were less striking than she had hoped.	The men, too, were less striking than she had hoped.	false	164.33	167.02	22.836296
2230_148550_000005_000001	She had not expected much of Mr. Fairford, since married men were intrinsically uninteresting, and his baldness and grey moustache seemed naturally to relegate him to the background; but she had looked for some brilliant youths of her own age--in her inmost heart she had looked for Mr. Popple.	She had not expected much of mr Fairford, since married men were intrinsically uninteresting, and his baldness and grey moustache seemed naturally to relegate him to the background; but she had looked for some brilliant youths of her own age-in her inmost heart she had looked for mr Popple.	true	167.33	182.35	23.010473
2230_148550_000005_000002	He was not there, however, and of the other men one, whom they called Mr. Bowen, was hopelessly elderly--she supposed he was the husband of the white-haired lady--and the other two, who seemed to be friends of young Marvell's, were both lacking in Claud Walsingham's dash.	He was not there, however, and of the other men one, whom they called mr Bowen, was hopelessly elderly-she supposed he was the husband of the white haired lady-and the other two, who seemed to be friends of young Marvell's, were both lacking in Claud Walsingham's dash.	false	182.63	197.14	23.218964
2230_148550_000006_000000	Undine sat between Mr. Bowen and young Marvell, who struck her as very "sweet" (it was her word for friendliness), but even shyer than at the hotel dance.	Undine sat between mr Bowen and young Marvell, who struck her as very "sweet" (it was her word for friendliness), but even shyer than at the hotel dance.	true	198.11	207.28	23.917559
2230_148550_000006_000001	Yet she was not sure if he were shy, or if his quietness were only a new kind of self-possession which expressed itself negatively instead of aggressively.	Yet she was not sure if he were shy, or if his quietness were only a new kind of self possession which expressed itself negatively instead of aggressively.	false	207.77	216.25	20.867918
2230_148550_000006_000002	Small, well-knit, fair, he sat stroking his slight blond moustache and looking at her with kindly, almost tender eyes; but he left it to his sister and the others to draw her out and fit her into the pattern.	Small, well knit, fair, he sat stroking his slight blond moustache and looking at her with kindly, almost tender eyes; but he left it to his sister and the others to draw her out and fit her into the pattern.	false	216.92	230.49	22.399927
2230_148550_000007_000000	Mrs. Fairford talked so well that the girl wondered why Mrs. Heeny had found her lacking in conversation.	mrs Fairford talked so well that the girl wondered why mrs Heeny had found her lacking in conversation.	true	230.49	235.69	22.409266
2230_148550_000007_000001	But though Undine thought silent people awkward she was not easily impressed by verbal fluency.	But though Undine thought silent people awkward she was not easily impressed by verbal fluency.	true	236.18	241.6	24.139542
2230_148550_000007_000002	All the ladies in Apex City were more voluble than Mrs. Fairford, and had a larger vocabulary: the difference was that with Mrs. Fairford conversation seemed to be a concert and not a solo.	All the ladies in Apex City were more voluble than mrs Fairford, and had a larger vocabulary: the difference was that with mrs Fairford conversation seemed to be a concert and not a solo.	true	242.21	253.09	21.979364
2230_148550_000007_000003	She kept drawing in the others, giving each a turn, beating time for them with her smile, and somehow harmonizing and linking together what they said.	She kept drawing in the others, giving each a turn, beating time for them with her smile, and somehow harmonizing and linking together what they said.	false	253.58	261.64	21.16412
2230_148550_000007_000004	She took particular pains to give Undine her due part in the performance; but the girl's expansive impulses were always balanced by odd reactions of mistrust, and to-night the latter prevailed.	She took particular pains to give Undine her due part in the performance; but the girl's expansive impulses were always balanced by odd reactions of mistrust, and to night the latter prevailed.	true	262.28	273.1	24.337152
2230_148550_000007_000005	She meant to watch and listen without letting herself go, and she sat very straight and pink, answering promptly but briefly, with the nervous laugh that punctuated all her phrases--saying "I don't care if I do" when her host asked her to try some grapes, and "I wouldn't wonder" when she thought any one was trying to astonish her.	She meant to watch and listen without letting herself go, and she sat very straight and pink, answering promptly but briefly, with the nervous laugh that punctuated all her phrases-saying "I don't care if I do" when her host asked her to try some grapes, and "I wouldn't wonder" when she thought any one was trying to astonish her.	false	273.44	292.18	22.912266
2230_148550_000008_000000	This state of lucidity enabled her to take note of all that was being said.	This state of lucidity enabled her to take note of all that was being said.	true	293.45	297.36	21
2230_148550_000008_000001	The talk ran more on general questions, and less on people, than she was used to; but though the allusions to pictures and books escaped her, she caught and stored up every personal reference, and the pink in her cheeks deepened at a random mention of Mr. Popple.	The talk ran more on general questions, and less on people, than she was used to; but though the allusions to pictures and books escaped her, she caught and stored up every personal reference, and the pink in her cheeks deepened at a random mention of mr Popple.	false	297.36	312.58	22.752949
2230_148550_000009_000000	"Yes--he's doing me," Mrs. Peter Van Degen was saying, in her slightly drawling voice.	"Yes-he's doing me," mrs peter Van Degen was saying, in her slightly drawling voice.	true	313.34	318.43	23.089106
