337_126286_000001_000000	There was a king who had twelve beautiful daughters.	There was a king who had twelve beautiful daughters.
337_126286_000001_000001	They slept in twelve beds all in one room; and when they went to bed, the doors were shut and locked up; but every morning their shoes were found to be quite worn through as if they had been danced in all night; and yet nobody could find out how it happened, or where they had been.	They slept in twelve beds all in one room; and when they went to bed, the doors were shut and locked up; but every morning their shoes were found to be quite worn through as if they had been danced in all night; and yet nobody could find out how it happened, or where they had been.
337_126286_000002_000000	Then the king made it known to all the land, that if any person could discover the secret, and find out where it was that the princesses danced in the night, he should have the one he liked best for his wife, and should be king after his death; but whoever tried and did not succeed, after three days and nights, should be put to death.	Then the king made it known to all the land, that if any person could discover the secret, and find out where it was that the princesses danced in the night, he should have the one he liked best for his wife, and should be king after his death; but whoever tried and did not succeed, after three days and nights, should be put to death.
337_126286_000003_000000	A king's son soon came.	A king's son soon came.
337_126286_000003_000002	There he was to sit and watch where they went to dance; and, in order that nothing might pass without his hearing it, the door of his chamber was left open.	There he was to sit and watch where they went to dance; and, in order that nothing might pass without his hearing it, the door of his chamber was left open.
337_126286_000003_000003	But the king's son soon fell asleep; and when he awoke in the morning he found that the princesses had all been dancing, for the soles of their shoes were full of holes.	But the king's son soon fell asleep; and when he awoke in the morning he found that the princesses had all been dancing, for the soles of their shoes were full of holes.
337_126286_000003_000004	The same thing happened the second and third night: so the king ordered his head to be cut off.	The same thing happened the second and third night: so the king ordered his head to be cut off.
337_126286_000004_000000	Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.	Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.
337_126286_000006_000000	He was as well received as the others had been, and the king ordered fine royal robes to be given him; and when the evening came he was led to the outer chamber.	He was as well received as the others had been, and the king ordered fine royal robes to be given him; and when the evening came he was led to the outer chamber.
337_126286_000006_000001	Just as he was going to lie down, the eldest of the princesses brought him a cup of wine; but the soldier threw it all away secretly, taking care not to drink a drop.	Just as he was going to lie down, the eldest of the princesses brought him a cup of wine; but the soldier threw it all away secretly, taking care not to drink a drop.
337_126286_000006_000003	When the twelve princesses heard this they laughed heartily; and the eldest said, 'This fellow too might have done a wiser thing than lose his life in this way!' Then they rose up and opened their drawers and boxes, and took out all their fine clothes, and dressed themselves at the glass, and skipped about as if they were eager to begin dancing.	When the twelve princesses heard this they laughed heartily; and the eldest said, 'This fellow too might have done a wiser thing than lose his life in this way!' Then they rose up and opened their drawers and boxes, and took out all their fine clothes, and dressed themselves at the glass, and skipped about as if they were eager to begin dancing.
337_126286_000006_000004	But the youngest said, 'I don't know how it is, while you are so happy I feel very uneasy; I am sure some mischance will befall us.' 'You simpleton,' said the eldest, 'you are always afraid; have you forgotten how many kings' sons have already watched in vain? And as for this soldier, even if I had not given him his sleeping draught, he would have slept soundly enough.'	But the youngest said, 'I don't know how it is, while you are so happy I feel very uneasy; I am sure some mischance will befall us.' 'You simpleton,' said the eldest, 'you are always afraid; have you forgotten how many kings' sons have already watched in vain? And as for this soldier, even if I had not given him his sleeping draught, he would have slept soundly enough.'
337_126286_000007_000003	That never happened before.' But the eldest said, 'It is only our princes, who are shouting for joy at our approach.'	That never happened before.' But the eldest said, 'It is only our princes, who are shouting for joy at our approach.'
337_126286_000008_000000	Then they came to another grove of trees, where all the leaves were of gold; and afterwards to a third, where the leaves were all glittering diamonds.	Then they came to another grove of trees, where all the leaves were of gold; and afterwards to a third, where the leaves were all glittering diamonds.
337_126286_000009_000000	One of the princesses went into each boat, and the soldier stepped into the same boat with the youngest.	One of the princesses went into each boat, and the soldier stepped into the same boat with the youngest.
337_126286_000010_000001	There they all landed, and went into the castle, and each prince danced with his princess; and the soldier, who was all the time invisible, danced with them too; and when any of the princesses had a cup of wine set by her, he drank it all up, so that when she put the cup to her mouth it was empty.	There they all landed, and went into the castle, and each prince danced with his princess; and the soldier, who was all the time invisible, danced with them too; and when any of the princesses had a cup of wine set by her, he drank it all up, so that when she put the cup to her mouth it was empty.
337_126286_000010_000003	They danced on till three o'clock in the morning, and then all their shoes were worn out, so that they were obliged to leave off. The princes rowed them back again over the lake (but this time the soldier placed himself in the boat with the eldest princess); and on the opposite shore they took leave of each other, the princesses promising to come again the next night.	They danced on till three o'clock in the morning, and then all their shoes were worn out, so that they were obliged to leave off. The princes rowed them back again over the lake (but this time the soldier placed himself in the boat with the eldest princess); and on the opposite shore they took leave of each other, the princesses promising to come again the next night.
337_126286_000011_000000	When they came to the stairs, the soldier ran on before the princesses, and laid himself down; and as the twelve sisters slowly came up very much tired, they heard him snoring in his bed; so they said, 'Now all is quite safe'; then they undressed themselves, put away their fine clothes, pulled off their shoes, and went to bed.	When they came to the stairs, the soldier ran on before the princesses, and laid himself down; and as the twelve sisters slowly came up very much tired, they heard him snoring in his bed; so they said, 'Now all is quite safe'; then they undressed themselves, put away their fine clothes, pulled off their shoes, and went to bed.
337_126286_000011_000002	However, on the third night the soldier carried away one of the golden cups as a token of where he had been.	However, on the third night the soldier carried away one of the golden cups as a token of where he had been.
337_126286_000012_000000	As soon as the time came when he was to declare the secret, he was taken before the king with the three branches and the golden cup; and the twelve princesses stood listening behind the door to hear what he would say.	As soon as the time came when he was to declare the secret, he was taken before the king with the three branches and the golden cup; and the twelve princesses stood listening behind the door to hear what he would say.
337_126286_000012_000001	And when the king asked him.	And when the king asked him.
337_126286_000012_000002	'Where do my twelve daughters dance at night?' he answered, 'With twelve princes in a castle under ground.' And then he told the king all that had happened, and showed him the three branches and the golden cup which he had brought with him.	'Where do my twelve daughters dance at night?' he answered, 'With twelve princes in a castle under ground.' And then he told the king all that had happened, and showed him the three branches and the golden cup which he had brought with him.
337_126286_000012_000004	And the king asked the soldier which of them he would choose for his wife; and he answered, 'I am not very young, so I will have the eldest.'--And they were married that very day, and the soldier was chosen to be the king's heir.	And the king asked the soldier which of them he would choose for his wife; and he answered, 'I am not very young, so I will have the eldest.'--And they were married that very day, and the soldier was chosen to be the king's heir.
