398_130093_000000_000000	The Red Badge of Courage	The Red Badge of Courage	false	4.08	5.19	20.459755
398_130093_000001_000000	Stephen Crane (1871-1900)	Stephen Crane (eighteen seventy one to nineteen hundred)	false	5.19	7.62	19.46585
398_130093_000002_000000	An Episode of the American Civil War	An Episode of the American Civil War	false	7.62	16.2	20.211735
398_130093_000003_000000	Chapter 1	Chapter one	true	16.2	18.945	16.983519
398_130093_000004_000000	The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting.	The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting.	true	18.945	25.39	18.842226
398_130093_000004_000001	As the landscape changed from brown to green, the army awakened, and began to tremble with eagerness at the noise of rumors.	As the landscape changed from brown to green, the army awakened, and began to tremble with eagerness at the noise of rumors.	true	25.85	33.34	17
398_130093_000004_000002	It cast its eyes upon the roads, which were growing from long troughs of liquid mud to proper thoroughfares.	It cast its eyes upon the roads, which were growing from long troughs of liquid mud to proper thoroughfares.	true	34.07	41.02	18.895739
398_130093_000004_000003	A river, amber-tinted in the shadow of its banks, purled at the army's feet; and at night, when the stream had become of a sorrowful blackness, one could see across it the red, eyelike gleam of hostile camp-fires set in the low brows of distant hills.	A river, amber tinted in the shadow of its banks, purled at the army's feet; and at night, when the stream had become of a sorrowful blackness, one could see across it the red, eyelike gleam of hostile camp fires set in the low brows of distant hills.	false	41.45	58.87	17.991554
398_130093_000005_000000	Once a certain tall soldier developed virtues and went resolutely to wash a shirt.	Once a certain tall soldier developed virtues and went resolutely to wash a shirt.	true	59.48	65.53	17.839552
398_130093_000005_000001	He came flying back from a brook waving his garment bannerlike.	He came flying back from a brook waving his garment bannerlike.	true	65.99	69.52	17.049488
398_130093_000005_000002	He was swelled with a tale he had heard from a reliable friend, who had heard it from a truthful cavalryman, who had heard it from his trustworthy brother, one of the orderlies at division headquarters.	He was swelled with a tale he had heard from a reliable friend, who had heard it from a truthful cavalryman, who had heard it from his trustworthy brother, one of the orderlies at division headquarters.	true	70.04	81.22	16.103996
398_130093_000005_000003	He adopted the important air of a herald in red and gold.	He adopted the important air of a herald in red and gold.	true	82.16	85.5	17.117453
398_130093_000006_000000	"We're goin' t' move t'morrah--sure," he said pompously to a group in the company street.	"We're goin' t' move t'morrah-sure," he said pompously to a group in the company street.	false	85.5	91.92	22.302486
398_130093_000006_000001	"We're goin' 'way up the river, cut across, an' come around in behint 'em."	"We're goin' 'way up the river, cut across, an' come around in behint 'em."	false	91.92	97.665	20.636497
398_130093_000007_000000	To his attentive audience he drew a loud and elaborate plan of a very brilliant campaign.	To his attentive audience he drew a loud and elaborate plan of a very brilliant campaign.	true	97.665	102.67	16
398_130093_000007_000001	When he had finished, the blue-clothed men scattered into small arguing groups between the rows of squat brown huts.	When he had finished, the blue clothed men scattered into small arguing groups between the rows of squat brown huts.	true	103.25	109.57	17
398_130093_000007_000002	A negro teamster who had been dancing upon a cracker box with the hilarious encouragement of twoscore soldiers was deserted.	A negro teamster who had been dancing upon a cracker box with the hilarious encouragement of twoscore soldiers was deserted.	true	110.15	116.92	17
398_130093_000007_000003	He sat mournfully down.	He sat mournfully down.	true	117.17	118.75	16.762482
398_130093_000007_000004	Smoke drifted lazily from a multitude of quaint chimneys.	Smoke drifted lazily from a multitude of quaint chimneys.	true	119	122.86	17.43878
398_130093_000008_000000	"It's a lie!	"It's a lie!	true	123.38	124.05	30
398_130093_000008_000001	that's all it is--a thunderin' lie!" said another private loudly.	that's all it is-a thunderin' lie!" said another private loudly.	false	124.05	127.57	19.127878
398_130093_000008_000002	His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets.	His smooth face was flushed, and his hands were thrust sulkily into his trouser's pockets.	true	127.76	132.97	17
398_130093_000008_000003	He took the matter as an affront to him. "I don't believe the derned old army's ever going to move.	He took the matter as an affront to him. "I don't believe the derned old army's ever going to move.	false	133.37	138.15	17.703068
398_130093_000008_000004	We're set. I've got ready to move eight times in the last two weeks, and we ain't moved yet."	We're set. I've got ready to move eight times in the last two weeks, and we ain't moved yet."	false	138.15	144.28	20.79426
398_130093_000009_000000	The tall soldier felt called upon to defend the truth of a rumor he himself had introduced.	The tall soldier felt called upon to defend the truth of a rumor he himself had introduced.	false	145.49	150.58	16
398_130093_000009_000001	He and the loud one came near to fighting over it.	He and the loud one came near to fighting over it.	true	151.01	154.21	17.122023
398_130093_000010_000000	A corporal began to swear before the assemblage.	A corporal began to swear before the assemblage.	false	155.69	158.43	18.862337
398_130093_000010_000001	He had just put a costly board floor in his house, he said.	He had just put a costly board floor in his house, he said.	false	158.43	161.38	16
398_130093_000010_000002	During the early spring he had refrained from adding extensively to the comfort of his environment because he had felt that the army might start on the march at any moment.	During the early spring he had refrained from adding extensively to the comfort of his environment because he had felt that the army might start on the march at any moment.	false	161.93	170.83	17.62501
398_130093_000010_000003	Of late, however, he had been impressed that they were in a sort of eternal camp.	Of late, however, he had been impressed that they were in a sort of eternal camp.	false	171.02	174.91	16.747484
398_130093_000011_000000	Many of the men engaged in a spirited debate.	Many of the men engaged in a spirited debate.	true	175.85	178.72	16.958216
398_130093_000011_000001	One outlined in a peculiarly lucid manner all the plans of the commanding general.	One outlined in a peculiarly lucid manner all the plans of the commanding general.	true	178.94	184.3	16.716593
398_130093_000011_000002	He was opposed by men who advocated that there were other plans of campaign.	He was opposed by men who advocated that there were other plans of campaign.	true	184.82	189.25	18.68916
398_130093_000011_000003	They clamored at each other, numbers making futile bids for the popular attention.	They clamored at each other, numbers making futile bids for the popular attention.	true	189.62	195.01	16.62781
398_130093_000011_000004	Meanwhile, the soldier who had fetched the rumor bustled about with much importance.	Meanwhile, the soldier who had fetched the rumor bustled about with much importance.	true	195.5	200.59	17
398_130093_000011_000005	He was continually assailed by questions.	He was continually assailed by questions.	true	200.72	203.01	13
398_130093_000012_000000	"What's up, Jim?"	"What's up, Jim?"	false	203.01	204.66	14.634517
398_130093_000013_000000	"Th'army's goin' t' move."	"Th'army's goin' t' move."	false	204.66	207.15	15.996854
398_130093_000014_000000	"Ah, what yeh talkin' about?	"Ah, what yeh talkin' about?	false	207.15	208.81	19.964718
398_130093_000014_000001	How yeh know it is?"	How yeh know it is?"	false	208.97	210.16	21.289545
398_130093_000015_000000	"Well, yeh kin b'lieve me er not, jest as yeh like.	"Well, yeh kin b'lieve me er not, jest as yeh like.	false	211.07	213.97	19.602709
398_130093_000015_000001	I don't care a hang."	I don't care a hang."	true	214.1	215.62	18.349924
398_130093_000016_000000	There was much food for thought in the manner in which he replied.	There was much food for thought in the manner in which he replied.	true	216.65	219.85	17
398_130093_000016_000001	He came near to convincing them by disdaining to produce proofs.	He came near to convincing them by disdaining to produce proofs.	true	220.28	223.9	16
