6032_58192_000000_000000	ELIZABETH KECKLEY. 14 Carroll Place, New York, March 14, 1868.	ELIZABETH KECKLEY. fourteen Carroll Place ,New York, march fourteenth eighteen sixty eight.	false	3.99	28.53	19.017212
6032_58192_000001_000000	CHAPTER I	CHAPTER one	true	28.53	29.65	20.52384
6032_58192_000002_000000	WHERE I WAS BORN	WHERE I WAS BORN	true	29.96	31.78	18.610746
6032_58192_000003_000000	My life has been an eventful one.	My life has been an eventful one.	true	33.92	36.46	17
6032_58192_000003_000001	I was born a slave--was the child of slave parents--therefore I came upon the earth free in God-like thought, but fettered in action.	I was born a slave-was the child of slave parents-therefore I came upon the earth free in God like thought, but fettered in action.	true	37.31	49.3	18.379364
6032_58192_000003_000002	My birthplace was Dinwiddie Court-House, in Virginia.	My birthplace was Dinwiddie Court House, in Virginia.	true	50.69	54.73	20.65151
6032_58192_000003_000003	My recollections of childhood are distinct, perhaps for the reason that many stirring incidents are associated with that period.	My recollections of childhood are distinct, perhaps for the reason that many stirring incidents are associated with that period.	true	55.97	65.62	21.101053
6032_58192_000003_000004	I am now on the shady side of forty, and as I sit alone in my room the brain is busy, and a rapidly moving panorama brings scene after scene before me, some pleasant and others sad; and when I thus greet old familiar faces, I often find myself wondering if I am not living the past over again.	I am now on the shady side of forty, and as I sit alone in my room the brain is busy, and a rapidly moving panorama brings scene after scene before me, some pleasant and others sad; and when I thus greet old familiar faces, I often find myself wondering if I am not living the past over again.	false	66.89	95.65	16.679104
6032_58192_000003_000005	The visions are so terribly distinct that I almost imagine them to be real.	The visions are so terribly distinct that I almost imagine them to be real.	true	97.28	102.82	20.87428
6032_58192_000003_000006	Hour after hour I sit while the scenes are being shifted; and as I gaze upon the panorama of the past, I realize how crowded with incidents my life has been.	Hour after hour I sit while the scenes are being shifted; and as I gaze upon the panorama of the past, I realize how crowded with incidents my life has been.	true	103.88	117.94	18.036615
6032_58192_000003_000007	Every day seems like a romance within itself, and the years grow into ponderous volumes.	Every day seems like a romance within itself, and the years grow into ponderous volumes.	true	119.24	127.66	20.30972
6032_58192_000003_000008	As I cannot condense, I must omit many strange passages in my history.	As I cannot condense, I must omit many strange passages in my history.	true	128.93	135.43	22.492937
6032_58192_000003_000009	From such a wilderness of events it is difficult to make a selection, but as I am not writing altogether the history of myself, I will confine my story to the most important incidents which I believe influenced the moulding of my character.	From such a wilderness of events it is difficult to make a selection, but as I am not writing altogether the history of myself, I will confine my story to the most important incidents which I believe influenced the moulding of my character.	true	137.03	156.37	20.40888
6032_58192_000003_000010	As I glance over the crowded sea of the past, these incidents stand forth prominently, the guide-posts of memory.	As I glance over the crowded sea of the past, these incidents stand forth prominently, the guide posts of memory.	true	158.6	167.92	20.286104
6032_58192_000003_000011	I presume that I must have been four years old when I first began to remember; at least, I cannot now recall anything occurring previous to this period.	I presume that I must have been four years old when I first began to remember; at least, I cannot now recall anything occurring previous to this period.	true	169.58	179.26	21.207462
6032_58192_000003_000012	My master, Col.	My master, col	false	180.53	182.1	19.140165
6032_58192_000003_000013	A. Burwell, was somewhat unsettled in his business affairs, and while I was yet an infant he made several removals.	A. Burwell, was somewhat unsettled in his business affairs, and while I was yet an infant he made several removals.	true	182.1	191.47	20.790682
6032_58192_000003_000014	While living at Hampton Sidney College, Prince Edward County, Va., Mrs. Burwell gave birth to a daughter, a sweet, black-eyed baby, my earliest and fondest pet.	While living at Hampton Sidney College, Prince Edward county virginia, mrs Burwell gave birth to a daughter, a sweet, black eyed baby, my earliest and fondest pet.	true	193.16	206.29	21.460196
6032_58192_000003_000015	To take care of this baby was my first duty.	To take care of this baby was my first duty.	true	207.68	210.52	22.555939
6032_58192_000003_000016	True, I was but a child myself--only four years old--but then I had been raised in a hardy school--had been taught to rely upon myself, and to prepare myself to render assistance to others.	True, I was but a child myself-only four years old-but then I had been raised in a hardy school-had been taught to rely upon myself, and to prepare myself to render assistance to others.	false	211.61	226.27	19.904564
6032_58192_000003_000017	The lesson was not a bitter one, for I was too young to indulge in philosophy, and the precepts that I then treasured and practised I believe developed those principles of character which have enabled me to triumph over so many difficulties.	The lesson was not a bitter one, for I was too young to indulge in philosophy, and the precepts that I then treasured and practised I believe developed those principles of character which have enabled me to triumph over so many difficulties.	true	227.63	245.41	19.895044
6032_58192_000003_000018	Notwithstanding all the wrongs that slavery heaped upon me, I can bless it for one thing--youth's important lesson of self-reliance.	Notwithstanding all the wrongs that slavery heaped upon me, I can bless it for one thing-youth's important lesson of self reliance.	true	246.92	258.94	16.272785
6032_58192_000003_000019	The baby was named Elizabeth, and it was pleasant to me to be assigned a duty in connection with it, for the discharge of that duty transferred me from the rude cabin to the household of my master. My simple attire was a short dress and a little white apron.	The baby was named Elizabeth, and it was pleasant to me to be assigned a duty in connection with it, for the discharge of that duty transferred me from the rude cabin to the household of my master. My simple attire was a short dress and a little white apron.	true	261.05	282.31	20.802042
6032_58192_000003_000020	My old mistress encouraged me in rocking the cradle, by telling me that if I would watch over the baby well, keep the flies out of its face, and not let it cry, I should be its little maid.	My old mistress encouraged me in rocking the cradle, by telling me that if I would watch over the baby well, keep the flies out of its face, and not let it cry, I should be its little maid.	true	283.7	297.37	21.621042
6032_58192_000003_000021	This was a golden promise, and I required no better inducement for the faithful performance of my task. I began to rock the cradle most industriously, when lo! out pitched little pet on the floor.	This was a golden promise, and I required no better inducement for the faithful performance of my task. I began to rock the cradle most industriously, when lo! out pitched little pet on the floor.	true	298.52	314.26	20.346611
6032_58192_000003_000022	I instantly cried out, "Oh! the baby is on the floor;" and, not knowing what to do, I seized the fire-shovel in my perplexity, and was trying to shovel up my tender charge, when my mistress called to me to let the child alone, and then ordered that I be taken out and lashed for my carelessness.	I instantly cried out, "Oh! the baby is on the floor;" and, not knowing what to do, I seized the fire shovel in my perplexity, and was trying to shovel up my tender charge, when my mistress called to me to let the child alone, and then ordered that I be taken out and lashed for my carelessness.	false	314.78	336.94	20.356667
6032_58192_000003_000023	The blows were not administered with a light hand, I assure you, and doubtless the severity of the lashing has made me remember the incident so well.	The blows were not administered with a light hand, I assure you, and doubtless the severity of the lashing has made me remember the incident so well.	true	338.36	349	16.9907
6032_58192_000003_000024	This was the first time I was punished in this cruel way, but not the last.	This was the first time I was punished in this cruel way, but not the last.	true	350.93	356.38	21.407633
6032_58192_000003_000025	The black-eyed baby that I called my pet grew into a self-willed girl, and in after years was the cause of much trouble to me.	The black eyed baby that I called my pet grew into a self willed girl, and in after years was the cause of much trouble to me.	true	357.62	367	21.24757
6032_58192_000003_000026	I grew strong and healthy, and, notwithstanding I knit socks and attended to various kinds of work, I was repeatedly told, when even fourteen years old, that I would never be worth my salt.	I grew strong and healthy, and, notwithstanding I knit socks and attended to various kinds of work, I was repeatedly told, when even fourteen years old, that I would never be worth my salt.	true	368.54	383.53	19.62382
6032_58192_000003_000027	When I was eight, Mr. Burwell's family consisted of six sons and four daughters, with a large family of servants.	When I was eight, mr Burwell's family consisted of six sons and four daughters, with a large family of servants.	true	385.94	395.14	21.04322
