1290_135762_000000_000000	II.	two.	false	21.09	21.885	16.53445
1290_135762_000000_000001	THE MARKET-PLACE	THE MARKET PLACE	true	21.885	24.52	11
1290_135762_000001_000000	The grass-plot before the jail, in Prison Lane, on a certain summer morning, not less than two centuries ago, was occupied by a pretty large number of the inhabitants of Boston, all with their eyes intently fastened on the iron-clamped oaken door. Amongst any other population, or at a later period in the history of New England, the grim rigidity that petrified the bearded physiognomies of these good people would have augured some awful business in hand.	The grass plot before the jail, in Prison Lane, on a certain summer morning, not less than two centuries ago, was occupied by a pretty large number of the inhabitants of Boston, all with their eyes intently fastened on the iron clamped oaken door. Amongst any other population, or at a later period in the history of New England, the grim rigidity that petrified the bearded physiognomies of these good people would have augured some awful business in hand.	false	24.86	47.08	18.018396
1290_135762_000001_000001	It could have betokened nothing short of the anticipated execution of some noted culprit, on whom the sentence of a legal tribunal had but confirmed the verdict of public sentiment.	It could have betokened nothing short of the anticipated execution of some noted culprit, on whom the sentence of a legal tribunal had but confirmed the verdict of public sentiment.	false	47.27	56.29	14
1290_135762_000001_000002	But, in that early severity of the Puritan character, an inference of this kind could not so indubitably be drawn.	But, in that early severity of the Puritan character, an inference of this kind could not so indubitably be drawn.	true	56.81	63.22	20.513332
1290_135762_000001_000003	It might be that a sluggish bond-servant, or an undutiful child, whom his parents had given over to the civil authority, was to be corrected at the whipping-post.	It might be that a sluggish bond servant, or an undutiful child, whom his parents had given over to the civil authority, was to be corrected at the whipping post.	true	63.47	71.14	18
1290_135762_000001_000004	It might be that an Antinomian, a Quaker, or other heterodox religionist, was to be scourged out of the town, or an idle or vagrant Indian, whom the white man's firewater had made riotous about the streets, was to be driven with stripes into the shadow of the forest.	It might be that an Antinomian, a Quaker, or other heterodox religionist, was to be scourged out of the town, or an idle or vagrant Indian, whom the white man's firewater had made riotous about the streets, was to be driven with stripes into the shadow of the forest.	true	71.39	84.94	17.815384
1290_135762_000001_000005	It might be, too, that a witch, like old Mistress Hibbins, the bitter-tempered widow of the magistrate, was to die upon the gallows.	It might be, too, that a witch, like old Mistress Hibbins, the bitter tempered widow of the magistrate, was to die upon the gallows.	false	85.4	93.49	20.34484
1290_135762_000001_000006	In either case, there was very much the same solemnity of demeanour on the part of the spectators, as befitted a people among whom religion and law were almost identical, and in whose character both were so thoroughly interfused, that the mildest and severest acts of public discipline were alike made venerable and awful.	In either case, there was very much the same solemnity of demeanour on the part of the spectators, as befitted a people among whom religion and law were almost identical, and in whose character both were so thoroughly interfused, that the mildest and severest acts of public discipline were alike made venerable and awful.	true	93.86	111.22	18
1290_135762_000001_000007	Meagre, indeed, and cold, was the sympathy that a transgressor might look for, from such bystanders, at the scaffold.	Meagre, indeed, and cold, was the sympathy that a transgressor might look for, from such bystanders, at the scaffold.	true	111.56	118.09	12
1290_135762_000001_000008	On the other hand, a penalty which, in our days, would infer a degree of mocking infamy and ridicule, might then be invested with almost as stern a dignity as the punishment of death itself.	On the other hand, a penalty which, in our days, would infer a degree of mocking infamy and ridicule, might then be invested with almost as stern a dignity as the punishment of death itself.	true	118.55	129.52	14
1290_135762_000002_000000	It was a circumstance to be noted on the summer morning when our story begins its course, that the women, of whom there were several in the crowd, appeared to take a peculiar interest in whatever penal infliction might be expected to ensue.	It was a circumstance to be noted on the summer morning when our story begins its course, that the women, of whom there were several in the crowd, appeared to take a peculiar interest in whatever penal infliction might be expected to ensue.	true	130.58	142.99	14
1290_135762_000002_000001	The age had not so much refinement, that any sense of impropriety restrained the wearers of petticoat and farthingale from stepping forth into the public ways, and wedging their not unsubstantial persons, if occasion were, into the throng nearest to the scaffold at an execution.	The age had not so much refinement, that any sense of impropriety restrained the wearers of petticoat and farthingale from stepping forth into the public ways, and wedging their not unsubstantial persons, if occasion were, into the throng nearest to the scaffold at an execution.	false	143.36	158.47	17.628954
1290_135762_000002_000002	Morally, as well as materially, there was a coarser fibre in those wives and maidens of old English birth and breeding than in their fair descendants, separated from them by a series of six or seven generations; for, throughout that chain of ancestry, every successive mother had transmitted to her child a fainter bloom, a more delicate and briefer beauty, and a slighter physical frame, if not character of less force and solidity than her own.	Morally, as well as materially, there was a coarser fibre in those wives and maidens of old English birth and breeding than in their fair descendants, separated from them by a series of six or seven generations; for, throughout that chain of ancestry, every successive mother had transmitted to her child a fainter bloom, a more delicate and briefer beauty, and a slighter physical frame, if not character of less force and solidity than her own.	false	159.02	185.01	13.424636
1290_135762_000002_000003	The women who were now standing about the prison-door stood within less than half a century of the period when the man-like Elizabeth had been the not altogether unsuitable representative of the sex. They were her countrywomen: and the beef and ale of their native land, with a moral diet not a whit more refined, entered largely into their composition.	The women who were now standing about the prison door stood within less than half a century of the period when the man like Elizabeth had been the not altogether unsuitable representative of the sex. They were her countrywomen: and the beef and ale of their native land, with a moral diet not a whit more refined, entered largely into their composition.	false	185.01	203.47	18
1290_135762_000002_000004	The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far-off island, and had hardly yet grown paler or thinner in the atmosphere of New England.	The bright morning sun, therefore, shone on broad shoulders and well-developed busts, and on round and ruddy cheeks, that had ripened in the far off island, and had hardly yet grown paler or thinner in the atmosphere of New England.	true	203.81	216.67	19.28714
1290_135762_000002_000005	There was, moreover, a boldness and rotundity of speech among these matrons, as most of them seemed to be, that would startle us at the present day, whether in respect to its purport or its volume of tone.	There was, moreover, a boldness and rotundity of speech among these matrons, as most of them seemed to be, that would startle us at the present day, whether in respect to its purport or its volume of tone.	true	216.83	228.88	18.151146
1290_135762_000003_000000	"Goodwives," said a hard-featured dame of fifty, "I'll tell ye a piece of my mind.	"Goodwives," said a hard featured dame of fifty, "I'll tell ye a piece of my mind.	true	229.13	234.13	18.982664
1290_135762_000003_000001	It would be greatly for the public behoof if we women, being of mature age and church-members in good repute, should have the handling of such malefactresses as this Hester Prynne.	It would be greatly for the public behoof if we women, being of mature age and church members in good repute, should have the handling of such malefactresses as this Hester Prynne.	false	234.14	244.57	18.311314
1290_135762_000003_000002	What think ye, gossips?	What think ye, gossips?	true	244.85	246.34	17.572147
1290_135762_000003_000003	If the hussy stood up for judgment before us five, that are now here in a knot together, would she come off with such a sentence as the worshipful magistrates have awarded?	If the hussy stood up for judgment before us five, that are now here in a knot together, would she come off with such a sentence as the worshipful magistrates have awarded?	false	246.59	254.97	20
1290_135762_000003_000004	Marry, I trow not."	Marry, I trow not."	true	254.97	256.48	16
1290_135762_000004_000000	"People say," said another, "that the Reverend Master Dimmesdale, her godly pastor, takes it very grievously to heart that such a scandal should have come upon his congregation."	"People say," said another, "that the Reverend Master Dimmesdale, her godly pastor, takes it very grievously to heart that such a scandal should have come upon his congregation."	true	257.15	267.46	18.77533
1290_135762_000005_000000	"The magistrates are God-fearing gentlemen, but merciful overmuch--that is a truth," added a third autumnal matron.	"The magistrates are God fearing gentlemen, but merciful overmuch-that is a truth," added a third autumnal matron.	false	267.8	274.09	20
1290_135762_000005_000001	"At the very least, they should have put the brand of a hot iron on Hester Prynne's forehead.	"At the very least, they should have put the brand of a hot iron on Hester Prynne's forehead.	true	274.25	278.86	20.25566
1290_135762_000005_000002	Madame Hester would have winced at that, I warrant me.	Madame Hester would have winced at that, I warrant me.	true	279.23	282.76	19.082726
