6330_62851_000000_000000	XXXII	thirty two	true	26.475	27.58	25.155806
6330_62851_000001_000000	ART FOR ARGUMENT'S SAKE	ART FOR ARGUMENT'S SAKE	true	27.77	30.25	23.637964
6330_62851_000002_000000	All editors are divided into two parts.	All editors are divided into two parts.	true	31.91	35.47	13
6330_62851_000002_000001	In one group are those who think that anybody who can make a good bomb can undoubtedly fashion a great sonnet.	In one group are those who think that anybody who can make a good bomb can undoubtedly fashion a great sonnet.	true	35.63	43.18	8
6330_62851_000002_000002	The members of the other class believe that if a man loves his country he is necessarily well fitted to be a book reviewer.	The members of the other class believe that if a man loves his country he is necessarily well fitted to be a book reviewer.	true	43.85	51.85	12
6330_62851_000003_000000	As a matter of fact, new terminology is coming into the business of criticism.	As a matter of fact, new terminology is coming into the business of criticism.	true	52.16	57.76	17
6330_62851_000003_000001	A few years ago the critic who was displeased with a book called it "sensational" or "sentimental" or something like that.	A few years ago the critic who was displeased with a book called it "sensational" or "sentimental" or something like that.	true	58.34	67.6	15
6330_62851_000003_000002	To-day he would voice his disapproval by writing "Pro-German" or "Bolshevist." Authors are no longer evaluated in terms of aesthetics, but rather from the point of view of political economy.	To day he would voice his disapproval by writing "Pro German" or "Bolshevist." Authors are no longer evaluated in terms of aesthetics, but rather from the point of view of political economy.	true	68.48	83.74	18.277779
6330_62851_000003_000003	Indeed, to-day we have hardly such a thing as good writers and bad writers.	Indeed, to day we have hardly such a thing as good writers and bad writers.	true	84.62	90.04	12
6330_62851_000003_000004	They have become instead either "sound" or "dangerous." A sound author is one with whose views you are in agreement.	They have become instead either "sound" or "dangerous." A sound author is one with whose views you are in agreement.	true	90.44	99.76	14
6330_62851_000004_000000	So tightly are the lines drawn that the criticism of the leading members of each side can be accurately predicted in advance.	So tightly are the lines drawn that the criticism of the leading members of each side can be accurately predicted in advance.	true	100.19	108.7	12
6330_62851_000004_000001	Show me the cover of a war novel, and let me observe that it is called "The Great Folly," and I will guarantee to foreshadow with a high degree of accuracy just what the critic of The New York _Times_ will say about it and also the critic of _The Liberator_.	Show me the cover of a war novel, and let me observe that it is called "The Great Folly," and I will guarantee to foreshadow with a high degree of accuracy just what the critic of The New York underscore Times underscore will say about it and also the critic of underscore The Liberator underscore.	false	109.01	126.75	16
6330_62851_000004_000002	Even if it happened to be called "The Glory of Shrapnel," the guessing would be just as easy.	Even if it happened to be called "The Glory of Shrapnel," the guessing would be just as easy.	true	126.75	133.24	17
6330_62851_000005_000000	The manner in which anybody says anything now whether in prose, verse, music or painting is entirely secondary in the minds of all critical publications.	The manner in which anybody says anything now whether in prose, verse, music or painting is entirely secondary in the minds of all critical publications.	true	133.61	145.03	12
6330_62851_000005_000001	Reviewers look for motives.	Reviewers look for motives.	true	145.28	147.4	20.009226
6330_62851_000005_000002	Symphonies are dismissed as seditious, and lyrics are closely scanned to see whether or not their rhythms are calculated to upset the established order without due recourse to the ballot.	Symphonies are dismissed as seditious, and lyrics are closely scanned to see whether or not their rhythms are calculated to upset the established order without due recourse to the ballot.	true	147.5	160.485	14
6330_62851_000005_000003	Nor has this particular reviewer any intention of suggesting that such activity is entirely vain and fanciful.	Nor has this particular reviewer any intention of suggesting that such activity is entirely vain and fanciful.	true	160.485	168.85	13
6330_62851_000005_000004	He remembers that only a month ago he began a thrilling adventure story called "The Lost Peach Pit," only to discover, when he was half through, that it was a tract in favor of a higher import duty on potash.	He remembers that only a month ago he began a thrilling adventure story called "The Lost Peach Pit," only to discover, when he was half through, that it was a tract in favor of a higher import duty on potash.	true	169.16	184.81	16
