4039_184266_000001_000000	Fit the Fifth	Fit the Fifth
4039_184266_000002_000000	THE BEAVER'S LESSON	THE BEAVER'S LESSON
4039_184266_000003_000000	They sought it with thimbles, they sought it with care; They pursued it with forks and hope; They threatened its life with a railway-share; They charmed it with smiles and soap.	They sought it with thimbles, they sought it with care; They pursued it with forks and hope; They threatened its life with a railway share; They charmed it with smiles and soap.
4039_184266_000004_000000	Then the Butcher contrived an ingenious plan For making a separate sally; And had fixed on a spot unfrequented by man, A dismal and desolate valley.	Then the Butcher contrived an ingenious plan For making a separate sally; And had fixed on a spot unfrequented by man, A dismal and desolate valley.
4039_184266_000005_000000	But the very same plan to the Beaver occurred: It had chosen the very same place: Yet neither betrayed, by a sign or a word, The disgust that appeared in his face.	But the very same plan to the Beaver occurred: It had chosen the very same place: Yet neither betrayed, by a sign or a word, The disgust that appeared in his face.
4039_184266_000006_000000	Each thought he was thinking of nothing but "Snark" And the glorious work of the day; And each tried to pretend that he did not remark That the other was going that way.	Each thought he was thinking of nothing but "Snark" And the glorious work of the day; And each tried to pretend that he did not remark That the other was going that way.
4039_184266_000007_000000	But the valley grew narrow and narrower still, And the evening got darker and colder, Till (merely from nervousness, not from goodwill) They marched along shoulder to shoulder.	But the valley grew narrow and narrower still, And the evening got darker and colder, Till (merely from nervousness, not from goodwill) They marched along shoulder to shoulder.
4039_184266_000008_000000	Then a scream, shrill and high, rent the shuddering sky, And they knew that some danger was near: The Beaver turned pale to the tip of its tail, And even the Butcher felt queer.	Then a scream, shrill and high, rent the shuddering sky, And they knew that some danger was near: The Beaver turned pale to the tip of its tail, And even the Butcher felt queer.
4039_184266_000009_000000	He thought of his childhood, left far far behind-- That blissful and innocent state-- The sound so exactly recalled to his mind A pencil that squeaks on a slate!	He thought of his childhood, left far far behind- That blissful and innocent state- The sound so exactly recalled to his mind A pencil that squeaks on a slate!
4039_184266_000010_000000	"'Tis the voice of the Jubjub!" he suddenly cried. (This man, that they used to call "Dunce.") "As the Bellman would tell you," he added with pride, "I have uttered that sentiment once.	"'tis the voice of the Jubjub!" he suddenly cried. (This man, that they used to call "Dunce.") "As the Bellman would tell you," he added with pride, "I have uttered that sentiment once.
4039_184266_000011_000000	"'Tis the note of the Jubjub!	"'tis the note of the Jubjub!
4039_184266_000011_000002	The proof is complete, If only I've stated it thrice."	The proof is complete, If only I've stated it thrice."
4039_184266_000012_000000	The Beaver had counted with scrupulous care, Attending to every word: But it fairly lost heart, and outgrabe in despair, When the third repetition occurred.	The Beaver had counted with scrupulous care, Attending to every word: But it fairly lost heart, and outgrabe in despair, When the third repetition occurred.
4039_184266_000013_000000	It felt that, in spite of all possible pains, It had somehow contrived to lose count, And the only thing now was to rack its poor brains By reckoning up the amount.	It felt that, in spite of all possible pains, It had somehow contrived to lose count, And the only thing now was to rack its poor brains By reckoning up the amount.
4039_184266_000016_000000	The Beaver brought paper, portfolio, pens, And ink in unfailing supplies: While strange creepy creatures came out of their dens, And watched them with wondering eyes.	The Beaver brought paper, portfolio, pens, And ink in unfailing supplies: While strange creepy creatures came out of their dens, And watched them with wondering eyes.
4039_184266_000020_000000	"The method employed I would gladly explain, While I have it so clear in my head, If I had but the time and you had but the brain-- But much yet remains to be said.	"The method employed I would gladly explain, While I have it so clear in my head, If I had but the time and you had but the brain- But much yet remains to be said.
4039_184266_000021_000000	"In one moment I've seen what has hitherto been Enveloped in absolute mystery, And without extra charge I will give you at large A Lesson in Natural History."	"In one moment I've seen what has hitherto been Enveloped in absolute mystery, And without extra charge I will give you at large A Lesson in Natural History."
4039_184266_000022_000000	In his genial way he proceeded to say (Forgetting all laws of propriety, And that giving instruction, without introduction, Would have caused quite a thrill in Society),	In his genial way he proceeded to say (Forgetting all laws of propriety, And that giving instruction, without introduction, Would have caused quite a thrill in Society),
4039_184266_000023_000000	"As to temper the Jubjub's a desperate bird, Since it lives in perpetual passion: Its taste in costume is entirely absurd-- It is ages ahead of the fashion:	"As to temper the Jubjub's a desperate bird, Since it lives in perpetual passion: Its taste in costume is entirely absurd- It is ages ahead of the fashion:
4039_184266_000024_000000	"But it knows any friend it has met once before: It never will look at a bribe: And in charity-meetings it stands at the door, And collects--though it does not subscribe.	"But it knows any friend it has met once before: It never will look at a bribe: And in charity meetings it stands at the door, And collects-though it does not subscribe.
4039_184266_000026_000000	"You boil it in sawdust: you salt it in glue: You condense it with locusts and tape: Still keeping one principal object in view-- To preserve its symmetrical shape."	"You boil it in sawdust: you salt it in glue: You condense it with locusts and tape: Still keeping one principal object in view- To preserve its symmetrical shape."
