6492_68369_000000_000000	CHAPTER XXVII	CHAPTER twenty seven	false	0.57	8.52	19.59168
6492_68369_000001_000000	THE SEVEN WONDERS OF THE WORLD	THE SEVEN WONDERS OF THE WORLD	false	8.52	24.4	20.138964
6492_68369_000002_000000	A few years ago the editor of one of the great magazines of America sent out a thousand letters to as many scientists and great men scattered among all civilized nations in an effort to get the consensus of opinion as to what might be called the seven wonders of the modern world.	A few years ago the editor of one of the great magazines of America sent out a thousand letters to as many scientists and great men scattered among all civilized nations in an effort to get the consensus of opinion as to what might be called the seven wonders of the modern world.	true	24.62	41.38	17
6492_68369_000002_000001	A ballot was prepared containing fifty-six subjects of scientific and mechanical achievement and blank spaces in which other subjects might be written.	A ballot was prepared containing fifty six subjects of scientific and mechanical achievement and blank spaces in which other subjects might be written.	true	42.2	51.25	22.16409
6492_68369_000002_000002	Each man was asked to designate the seven he felt were entitled to a place on the list.	Each man was asked to designate the seven he felt were entitled to a place on the list.	true	52.16	57.46	21
6492_68369_000002_000003	He, of course, was not confined to the printed list and could write in others that were better entitled to a place than those on the printed list.	He, of course, was not confined to the printed list and could write in others that were better entitled to a place than those on the printed list.	true	57.86	65.62	22
6492_68369_000003_000000	About seventy per cent of these ballots were returned properly marked and the result was most interesting indeed.	About seventy per cent of these ballots were returned properly marked and the result was most interesting indeed.	true	66.83	73.69	23.771196
6492_68369_000003_000001	At once it was discovered that a complete change in human intelligence or judgment has taken place since the ancient Greeks made their list of the seven wonders of the world.	At once it was discovered that a complete change in human intelligence or judgment has taken place since the ancient Greeks made their list of the seven wonders of the world.	true	74.03	84.04	16
6492_68369_000003_000002	Today the standard of measurement as to what should be classed in such a list is _service to humanity_, while in the old days the standard of measurement was or at least had largely to do with brute force.	Today the standard of measurement as to what should be classed in such a list is underscore service to humanity underscore, while in the old days the standard of measurement was or at least had largely to do with brute force.	false	85.01	97.72	20
6492_68369_000004_000000	It is not surprising, therefore, that wireless telegraphy should have the highest place on the list.	It is not surprising, therefore, that wireless telegraphy should have the highest place on the list.	true	98.75	104.32	20
6492_68369_000004_000001	Guglielmo Marconi is far more worthy to be remembered than the king who built the great Pyramid in Egypt.	Guglielmo Marconi is far more worthy to be remembered than the king who built the great Pyramid in Egypt.	true	104.6	111.04	22
