6494_60801_000002_000000	When it was the Five Hundred and First Night,	When it was the Five Hundred and First Night,
6494_60801_000003_000002	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.
6494_60801_000003_000003	Moreover a strong wind arose and crave the boat into mid-ocean, so that when they awoke in the morning, they found themselves lost at sea.	Moreover a strong wind arose and crave the boat into mid ocean, so that when they awoke in the morning, they found themselves lost at sea.
6494_60801_000003_000007	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.
6494_60801_000003_000011	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.	But a stiff gale caught the Prince's craft which went spooning till they made a second island, where they landed and walked about.
6494_60801_000003_000012	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.	Presently they came upon a spring of running water in the midst of the island and saw from afar a man sitting hard by it.
6494_60801_000003_000015	When the voyagers saw this, they turned and fled seawards; but the cannibals pursued them and caught and ate three of the slaves, leaving only three slaves who with Janshah reached the boat in safety; then launching her made for the water and sailed nights and days without knowing whither their ship went.	When the voyagers saw this, they turned and fled seawards; but the cannibals pursued them and caught and ate three of the slaves, leaving only three slaves who with Janshah reached the boat in safety; then launching her made for the water and sailed nights and days without knowing whither their ship went.
6494_60801_000003_000016	They killed the gazelle, and lived on her flesh, till the winds drove them to a third island which was full of trees and waters and flower-gardens and orchards laden with all fashion of fruits: and streams strayed under the tree shade: brief, the place was a Garden of Eden.	They killed the gazelle, and lived on her flesh, till the winds drove them to a third island which was full of trees and waters and flower gardens and orchards laden with all fashion of fruits: and streams strayed under the tree shade: brief, the place was a Garden of Eden.
6494_60801_000003_000017	The island pleased the Prince and he said to his companions, 'Which of you will land and explore?' Then said one of the slaves, 'That will I do'; but he replied, 'This thing may not be; you must all land and explore the place while I abide in the boat.' So he set them ashore,"-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.	The island pleased the Prince and he said to his companions, 'Which of you will land and explore?' Then said one of the slaves, 'That will I do'; but he replied, 'This thing may not be; you must all land and explore the place while I abide in the boat.' So he set them ashore,"-- And Shahrazad perceived the dawn of day and ceased to say her permitted say.
6494_60801_000005_000002	When he heard their report, he cried, 'Needs must I solace myself with a sight of it;' so he landed and accompanied them to the palace, which he entered marvelling at the goodliness of the place.	When he heard their report, he cried, 'Needs must I solace myself with a sight of it;' so he landed and accompanied them to the palace, which he entered marvelling at the goodliness of the place.
6494_60801_000005_000005	And as they were thus sorrowing behold, they heard a mighty clamour, that came from seaward and looking in the direction of the clamour saw a multitude of apes, as they were swarming locusts.	And as they were thus sorrowing behold, they heard a mighty clamour, that came from seaward and looking in the direction of the clamour saw a multitude of apes, as they were swarming locusts.
6494_60801_000005_000008	The Prince and his followers came down from their seats and ate, and the apes ate with them, till they were satisfied, when the apes took away the meat and set on fruits of which they partook and praised Allah the most Highest.	The Prince and his followers came down from their seats and ate, and the apes ate with them, till they were satisfied, when the apes took away the meat and set on fruits of which they partook and praised Allah the most Highest.
6494_60801_000005_000009	Then Janshah asked the apes by signs what they were and to whom the palace belonged, and they answered him by signals, 'Know ye that this island belonged of yore to our lord Solomon, son of David (on both of whom be peace!), and he used to come hither once every year for his solace,'"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	Then Janshah asked the apes by signs what they were and to whom the palace belonged, and they answered him by signals, 'Know ye that this island belonged of yore to our lord Solomon, son of David (on both of whom be peace!), and he used to come hither once every year for his solace,'"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.
