6494_60801_000000_000000	When it was the Five Hundredth Night,	When it was the Five Hundredth Night,	false	0	0.39	3
6494_60801_000001_000000	She said, It hath reached me, O auspicious King, that "King Bahrwan consulted his daughter and her mother and his kinsfolk and they said, 'Do what seemeth good to thee.' So he returned straightway to the Minister Ayn Zar and notified to him that his desire had been fulfilled; and the Wazir, abode with him two months, at the end of which time he said to him, 'We beseech thee to bestow upon us that wherefore we came, so we may depart to our own land.' 'I hear and obey,' answered the King.	She said, It hath reached me, O auspicious King, that "King Bahrwan consulted his daughter and her mother and his kinsfolk and they said, 'Do what seemeth good to thee.' So he returned straightway to the Minister Ayn z a r and notified to him that his desire had been fulfilled; and the Wazir, abode with him two months, at the end of which time he said to him, 'We beseech thee to bestow upon us that wherefore we came, so we may depart to our own land.' 'I hear and obey,' answered the King.	false	0.39	11.16	21.53243
6494_60801_000001_000001	Then he prepared all the gear wanted for the wedding; and when this was done he assembled his Wazirs and all his Emirs and the Grandees of his realm and the monks and priests who tied the knot of marriage between his daughter and King Teghmus by proxy.	Then he prepared all the gear wanted for the wedding; and when this was done he assembled his Wazirs and all his Emirs and the Grandees of his realm and the monks and priests who tied the knot of marriage between his daughter and King Teghmus by proxy.	false	11.16	12.66	27.532614
6494_60801_000001_000002	And King Bahrwan bade decorate the city after the goodliest fashion and spread the streets with carpets.	And King Bahrwan bade decorate the city after the goodliest fashion and spread the streets with carpets.	false	12.66	12.75	-20
6494_60801_000001_000003	Then he equipped his daughter for the journey and gave her all manner of presents and rarities and precious metals, such as none may describe; and Ayn Zar departed with the Princess to his own country.	Then he equipped his daughter for the journey and gave her all manner of presents and rarities and precious metals, such as none may describe; and Ayn z a r departed with the Princess to his own country.	false	12.75	13.14	7
6494_60801_000001_000004	When the news of their approach reached King Teghmus, he bade celebrate the wedding festivities and adorn the city; after which he went in unto the Princess and abated her maidenhead; nor was it long before she conceived by him and, accomplishing her months, bare a man-child like the moon on the night of its full.	When the news of their approach reached King Teghmus, he bade celebrate the wedding festivities and adorn the city; after which he went in unto the Princess and abated her maidenhead; nor was it long before she conceived by him and, accomplishing her months, bare a man child like the moon on the night of its full.	false	13.14	13.5	13
6494_60801_000001_000005	When King Teghmus knew that his wife had given birth to a goodly son, he rejoiced with exceeding joy and, summoning the sages and astrologers and mathematicians, said to them, 'I would that ye draw the horoscope of the newborn child with his ascendant and its aspects and acquaint me what shall befall him in his lifetime.' So they made their calculations and found them favourable; but, that he would, in his fifteenth year, be exposed to perils and hardships, and that if he survived, he would be happy and fortunate and become a greater king than his father and a more powerful.	When King Teghmus knew that his wife had given birth to a goodly son, he rejoiced with exceeding joy and, summoning the sages and astrologers and mathematicians, said to them, 'I would that ye draw the horoscope of the newborn child with his ascendant and its aspects and acquaint me what shall befall him in his lifetime.' So they made their calculations and found them favourable; but, that he would, in his fifteenth year, be exposed to perils and hardships, and that if he survived, he would be happy and fortunate and become a greater king than his father and a more powerful.	false	13.5	18.63	22.720419
6494_60801_000001_000006	The King rejoiced greatly in this prediction and named the boy Janshah. Then he delivered him to the nurses, wet and dry, who reared him excellently well till he reached his fifth year, when his father taught him to read the Evangel and instructed him in the art of arms and lunge of lance and sway of sword, so that in less than seven years he was wont to ride a-hunting, and a-chasing; he became a doughty champion, perfect in all the science of the cavalarice and his father was delighted to hear of his knightly prowess.	The King rejoiced greatly in this prediction and named the boy Janshah. Then he delivered him to the nurses, wet and dry, who reared him excellently well till he reached his fifth year, when his father taught him to read the Evangel and instructed him in the art of arms and lunge of lance and sway of sword, so that in less than seven years he was wont to ride a hunting, and a chasing; he became a doughty champion, perfect in all the science of the cavalarice and his father was delighted to hear of his knightly prowess.	false	18.63	20.85	27.531412
6494_60801_000001_000007	It chanced one day that King Teghmus and his son accompanied by the troops rode out for sport into the woods and wilds and hunted till mid afternoon of the third day, when the Prince started a gazelle of a rare colour, which fled before him. So he gave chase to it, followed by seven of King Teghmus's white slaves all mounted on swift steeds, and rode at speed after the gazelle, which fled before them till she brought them to the sea shore.	It chanced one day that King Teghmus and his son accompanied by the troops rode out for sport into the woods and wilds and hunted till mid afternoon of the third day, when the Prince started a gazelle of a rare colour, which fled before him. So he gave chase to it, followed by seven of King Teghmus's white slaves all mounted on swift steeds, and rode at speed after the gazelle, which fled before them till she brought them to the sea shore.	false	20.85	25.53	22.697353
6494_60801_000001_000008	They all ran at her to take her as their quarry, but she escaped from them and, throwing herself into the waves,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	They all ran at her to take her as their quarry, but she escaped from them and, throwing herself into the waves,"--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	25.53	26.64	-20
6494_60801_000002_000000	When it was the Five Hundred and First Night,	When it was the Five Hundred and First Night,	true	26.64	29.055	21.33212
6494_60801_000003_000000	She said, It hath reached me, O auspicious King, that "when Janshah and the Mamelukes ran at the gazelle, to take her as their quarry, she escaped from them and, throwing herself into the waves, swam out to a fishing bark, that was moored near the shore, and sprang on board.	She said, It hath reached me, O auspicious King, that "when Janshah and the Mamelukes ran at the gazelle, to take her as their quarry, she escaped from them and, throwing herself into the waves, swam out to a fishing bark, that was moored near the shore, and sprang on board.	false	29.055	46.57	22.49842
6494_60801_000003_000001	Janshah and his followers dismounted and, boarding the boat, made prize of the gazelle and were minded to return to shore with her, when the Prince espied a great island in the offing and said to his merry men, 'I have a longing to visit yonder island.' They answered, 'We hear and obey,' and sailed on till they came to the island, where they landed and amused themselves with exploring the place.	Janshah and his followers dismounted and, boarding the boat, made prize of the gazelle and were minded to return to shore with her, when the Prince espied a great island in the offing and said to his merry men, 'I have a longing to visit yonder island.' They answered, 'We hear and obey,' and sailed on till they came to the island, where they landed and amused themselves with exploring the place.	false	47.15	71.29	20.781319
6494_60801_000003_000002	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.	Then they again embarked and taking with them the gazelle, set out to return homeward, but the murk of evening overtook them and they missed their way on the main.	true	71.96	82	21.960987
6494_60801_000003_000003	Moreover a strong wind arose and crave the boat into mid-ocean, so that when they awoke in the morning, they found themselves lost at sea.	Moreover a strong wind arose and crave the boat into mid ocean, so that when they awoke in the morning, they found themselves lost at sea.	true	82.94	92.11	20.672289
6494_60801_000003_000004	Such was their case; but as regards King Teghmus, when he missed his son, he commanded his troops to make search for him in separate bodies; so they dispersed on all sides and a company of them, coming to the sea shore, found there the Prince's white slave whom he had left in charge of the horses.	Such was their case; but as regards King Teghmus, when he missed his son, he commanded his troops to make search for him in separate bodies; so they dispersed on all sides and a company of them, coming to the sea shore, found there the Prince's white slave whom he had left in charge of the horses.	false	92.81	111.4	20.973206
6494_60801_000003_000005	They asked him what was become of his master and the other six, and he told them what had passed whereupon they took him with them and returned to the King and acquainted him with what they had learnt.	They asked him what was become of his master and the other six, and he told them what had passed whereupon they took him with them and returned to the King and acquainted him with what they had learnt.	false	112.31	122.95	21.099985
6494_60801_000003_000006	When Teghmus heard their report, he wept with sore weeping and cast the crown from his head, biting his hands for vexation.	When Teghmus heard their report, he wept with sore weeping and cast the crown from his head, biting his hands for vexation.	false	123.86	132.52	23.025373
6494_60801_000003_000007	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.	Then he rose forthright and wrote letters and despatched them to all the islands of the sea.	true	133.52	139.24	21.504568
