7933_113272_000000_000000	The old man did not know where to go, but little Nell took his hand and led him gently away.	The old man did not know where to go, but little Nell took his hand and led him gently away.	false	7.08	21.39	22.424957
7933_113272_000001_000000	II	two	false	21.39	22.305	20.02638
7933_113272_000002_000000	THE WANDERERS	THE WANDERERS	true	22.305	23.38	28.560263
7933_113272_000003_000000	It was a bright June morning.	It was a bright June morning.	true	23.66	25.56	19
7933_113272_000003_000001	They walked through many city streets, then through more scattered suburbs, and at last came to the open country.	They walked through many city streets, then through more scattered suburbs, and at last came to the open country.	false	25.56	31.74	22.247301
7933_113272_000003_000002	That night they slept at a cottage where the people were kind to them, and all the next day they walked on and on.	That night they slept at a cottage where the people were kind to them, and all the next day they walked on and on.	true	31.74	37.96	20
7933_113272_000004_000000	At sunset they stopped to rest in a churchyard, where two men were sitting patching a Punch-and-Judy show booth, while the figures of Punch, the doctor, the executioner and the devil were lying on the grass waiting to be mended.	At sunset they stopped to rest in a churchyard, where two men were sitting patching a Punch and Judy show booth, while the figures of Punch, the doctor, the executioner and the devil were lying on the grass waiting to be mended.	true	38.18	51.13	21.889479
7933_113272_000005_000000	The men were mending the dolls very badly, so little Nell took a needle and sewed them all neatly.	The men were mending the dolls very badly, so little Nell took a needle and sewed them all neatly.	true	51.5	57.28	21.74027
7933_113272_000005_000001	They were delighted at this, and took the pair to the inn where they were to show the Punch-and-Judy, and there they found them a place to sleep in an empty loft.	They were delighted at this, and took the pair to the inn where they were to show the Punch and Judy, and there they found them a place to sleep in an empty loft.	false	57.38	66.1	23.409245
7933_113272_000006_000000	The next day the wanderers went on with the showmen.	The next day the wanderers went on with the showmen.	true	66.2	69.58	15
7933_113272_000006_000001	Whenever they came to a village, the booth was pitched and the show took place, and they never left a town without a pack of ragged children at their heels.	Whenever they came to a village, the booth was pitched and the show took place, and they never left a town without a pack of ragged children at their heels.	false	69.74	78.88	23.717947
7933_113272_000006_000002	The Punch-and-Judy show grew tiresome, but the company seemed better than none.	The Punch and Judy show grew tiresome, but the company seemed better than none.	true	79.25	84.46	19.013903
7933_113272_000006_000003	Little Nell was weary with walking, but she tried to hide it from her grandfather.	Little Nell was weary with walking, but she tried to hide it from her grandfather.	false	84.47	89.29	19.286009
7933_113272_000007_000000	The inn at which they lodged the next night was full of showmen with trained dogs, conjurers and others, hurrying to a town where there was to be a fair with horse-races, to which the Punch-and-Judy partners were bound, and little Nell began to distrust their company.	The inn at which they lodged the next night was full of showmen with trained dogs, conjurers and others, hurrying to a town where there was to be a fair with horse races, to which the Punch and Judy partners were bound, and little Nell began to distrust their company.	false	89.48	105.87	20.966494
7933_113272_000008_000000	To tell the truth, the others believed the child and the old man were running away from their friends, and that a reward might be obtained for giving them up.	To tell the truth, the others believed the child and the old man were running away from their friends, and that a reward might be obtained for giving them up.	true	105.87	114.67	17
7933_113272_000008_000001	The way in which the men watched them frightened little Nell, and when they reached the scene of the fair she had determined to escape.	The way in which the men watched them frightened little Nell, and when they reached the scene of the fair she had determined to escape.	false	114.86	122.74	24.36692
7933_113272_000009_000000	It was the second day of the races before a chance came, and then, while the showmen's backs were turned, they slipped away in the crowd to the open fields again.	It was the second day of the races before a chance came, and then, while the showmen's backs were turned, they slipped away in the crowd to the open fields again.	true	122.75	132.52	22
7933_113272_000010_000000	These alarms and the exposure had begun to affect the old man.	These alarms and the exposure had begun to affect the old man.	true	132.62	136.63	20
7933_113272_000010_000001	He seemed to understand that he was not wholly in his right mind.	He seemed to understand that he was not wholly in his right mind.	true	136.67	140.14	21
7933_113272_000010_000002	He was full of the fear that he would be taken from her and chained in a dungeon, and little Nell had great trouble in cheering him.	He was full of the fear that he would be taken from her and chained in a dungeon, and little Nell had great trouble in cheering him.	false	140.33	146.985	18.383284
7933_113272_000011_000000	At evening when they were both worn out, they came to a village where stood a cottage with the sign SCHOOL in big letters in its window.	At evening when they were both worn out, they came to a village where stood a cottage with the sign SCHOOL in big letters in its window.	false	146.985	155.67	22.976616
7933_113272_000011_000001	The pale old schoolmaster sat smoking in the garden.	The pale old schoolmaster sat smoking in the garden.	true	155.67	159.105	20
7933_113272_000011_000002	He was a sad, solitary man, and loved little Nell when he first saw her, because she was like a favorite pupil he once had.	He was a sad, solitary man, and loved little Nell when he first saw her, because she was like a favorite pupil he once had.	false	159.105	167.325	19
